reference_number,focal_consumer_taxon,focal_consumer_life_stage,resource_genus,resource_category,resource_phylum,resource_class,resource_order,resource_family,resource_taxonomic_resolution,general_location_of_study,id.x,resource_species,range,life_stage,body_size_mm,n_s_both,commonality,source,zone,habitat_notes,solitary_aggregating_colonial,mobile_or_sessile,eaten_by,parasitized_by,node_type,node_resolution,kingdom,subclass,infraclass,subterclass,superorder,superfamily,subphylum,subfamily,superclass,suborder,infraorder,parvorder,subkingdom,infrakingdom,tribe,subgenus,infraphylum,parvphylum,gigaclass,megaclass,phylum_division,subphylum_subdivision,subtribe,section,subsection,subspecies,epifamily
258,Gobiesox maeandricus,adult,Peramphithoe,gammarid,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,category,rocky headlands Straight of Juan de Fuca,1303,Peramphithoe plea,NA,adult,12.5,NA,present,Light & Smith,all,Among kelp holdfasts on exposed coasts,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Peracarida,Corophioidea,Crustacea,NA,Multicrustacea,Senticaudata,Corophiida,Corophiidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Peramphithoe,gammarid,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,category,rocky headlands Straight of Juan de Fuca,1304,Peramphithoe stypotrupetes,NA,adult,21,NA,present,Light & Smith,very low,Burrows into Eisenia and Laminaria stipes; cohorts remain and graze on the stipe's interior;,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Peracarida,Corophioidea,Crustacea,NA,Multicrustacea,Senticaudata,Corophiida,Corophiidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Peramphithoe,gammarid,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,category,rocky headlands Straight of Juan de Fuca,1305,Peramphithoe tea,NA,adult,12,NA,present,Light & Smith,all,Among algae of exposed and semiprotected high salinity areas,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Peracarida,Corophioidea,Crustacea,NA,Multicrustacea,Senticaudata,Corophiida,Corophiidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Photis,gammarid,Arthropoda,Malacostraca,Amphipoda,Photidae,category,rocky headlands Straight of Juan de Fuca,1287,Photis californica,NA,adult,6,NA,present,Light & Smith,low,Among Phyllospadix and on open coast rocky shores;,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Peracarida,Photoidea,Crustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Photis,gammarid,Arthropoda,Malacostraca,Amphipoda,Photidae,category,rocky headlands Straight of Juan de Fuca,1288,Photis conchicola,NA,adult,5.5,NA,present,Light & Smith,all,"On rocky beaches with algae and surfgrass, often paguridlike, living in empty gastropod shell",solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Peracarida,Photoidea,Crustacea,NA,Multicrustacea,Senticaudata,Corophiida,Caprellidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Pleusirus,gammarid,Arthropoda,Malacostraca,Amphipoda,Pleustidae,category,rocky headlands Straight of Juan de Fuca,1375,Pleusirus secorrus,NA,adult,3.8,NA,present,Light & Smith,low,Low intertidal and subtidal cobbles; 3.8 mm;,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Peracarida,Amphilochoidea,Crustacea,Pleusirinae,Multicrustacea,Amphilochidea,Amphilochida,Amphilochidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Podocerus,gammarid,Arthropoda,Malacostraca,Amphipoda,Podoceridae,category,rocky headlands Straight of Juan de Fuca,1273,Podocerus spongicolus,NA,adult,6,NA,present,Light & Smith,all,"in sponges, poorly known",solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Peracarida,Caprelloidea,Crustacea,NA,Multicrustacea,Senticaudata,Corophiida,Caprellidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Pontogeneia,gammarid,Arthropoda,Malacostraca,Amphipoda,Pontogeneiidae,category,rocky headlands Straight of Juan de Fuca,1387,Pontogeneia inermis,Pan boreal in northern hemisphere,adult,4.5,NA,present,Light & Smith,all,"mixed sediments, possible echinoderm and coelenterate commensal",solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Peracarida,Calliopioidea,Crustacea,NA,Multicrustacea,Senticaudata,Hadziida,Hadziidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Pontogeneia,gammarid,Arthropoda,Malacostraca,Amphipoda,Pontogeneiidae,category,rocky headlands Straight of Juan de Fuca,1388,Pontogeneia intermedia,NA,adult,7.5,NA,present,Light & Smith,all,Intertidal and shallow subtidal on algae and various rocky sediments,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Peracarida,Calliopioidea,Crustacea,NA,Multicrustacea,Senticaudata,Hadziida,Hadziidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Pontogeneia,gammarid,Arthropoda,Malacostraca,Amphipoda,Pontogeneiidae,category,rocky headlands Straight of Juan de Fuca,1383,Pontogeneia melanophthalma,boreal western Pacific to California,adult,8,Both,present,Light & Smith,all,on mixed algae and sediments,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Peracarida,Calliopioidea,Crustacea,NA,Multicrustacea,Senticaudata,Hadziida,Hadziidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Pontogeneia,gammarid,Arthropoda,Malacostraca,Amphipoda,Pontogeneiidae,category,rocky headlands Straight of Juan de Fuca,1389,Pontogeneia rostrata,NA,adult,6.5,NA,present,Light & Smith,low,On algae and mixed sediments,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Peracarida,Calliopioidea,Crustacea,NA,Multicrustacea,Senticaudata,Hadziida,Hadziidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Protohyale,gammarid,Arthropoda,Malacostraca,Amphipoda,Hyalidae,category,rocky headlands Straight of Juan de Fuca,1338,Protohyale (Leptohyale) longipalpa,NA,adult,8.5,NA,present,Light & Smith,all,Among algae in semiprotected areas,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Peracarida,Hyaloidea,Crustacea,Hyalinae,Multicrustacea,Senticaudata,Talitrida,Talitridira,NA,NA,NA,Protohyale (Leptohyale),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Protohyale,gammarid,Arthropoda,Malacostraca,Amphipoda,Hyalidae,category,rocky headlands Straight of Juan de Fuca,609,Protohyale (Protohyale) frequens,NA,adult,10mm,S,abundant,Amphipoda of the Northeast Pacific; Light & Smith,all,tidepools and kelp holdfasts; particularly abundant among Phyllospadix roots and coralline algae of open and semiprotected coasts;,solitary,mobile,"Oligocottus maculosus, Oligocottus snyderi",NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Peracarida,Hyaloidea,Crustacea,Hyalinae,Multicrustacea,Senticaudata,Talitrida,Talitridira,NA,NA,NA,Protohyale (Protohyale),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Ptilohyale,gammarid,Arthropoda,Malacostraca,Amphipoda,Hyalidae,category,rocky headlands Straight of Juan de Fuca,1339,Ptilohyale littoralis,NA,adult,8,NA,present,Light & Smith,high,"or high-tide, low-salinity pools",solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Peracarida,Hyaloidea,Crustacea,Hyalinae,Multicrustacea,Senticaudata,Talitrida,Talitridira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Quadrimaera,gammarid,Arthropoda,Malacostraca,Amphipoda,Maeridae,category,rocky headlands Straight of Juan de Fuca,1400,Quadrimaera vigota,NA,adult,8.5,NA,abundant,Light & Smith,all,"under cobbles, on sponges and tunicates and rarely on algal holdfasts",solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Peracarida,Hadzioidea,Crustacea,NA,Multicrustacea,Senticaudata,Hadziida,Hadziidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Stenothoe,gammarid,Arthropoda,Malacostraca,Amphipoda,Stenothoidae,category,rocky headlands Straight of Juan de Fuca,1344,Stenothoe estacola,Pt. Conception to south,adult,3,NA,present,Light & Smith,all,associated with Phragmatopoma,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Peracarida,Amphilochoidea,Crustacea,Stenothoinae,Multicrustacea,Amphilochidea,Amphilochida,Amphilochidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Stenothoides,gammarid,Arthropoda,Malacostraca,Amphipoda,Stenothoidae,category,rocky headlands Straight of Juan de Fuca,1345,Stenothoides burbanki,NA,adult,3,NA,rare,Light & Smith,all,"Among tunicates and sponges, algal turf, Egregia and Laminaria holdfasts",solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Peracarida,Amphilochoidea,Crustacea,Stenothoinae,Multicrustacea,Amphilochidea,Amphilochida,Amphilochidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Stenula,gammarid,Arthropoda,Malacostraca,Amphipoda,Stenothoidae,category,rocky headlands Straight of Juan de Fuca,1346,Stenula incola,NA,adult,3,NA,present,Light & Smith,all,algal turf,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Peracarida,Amphilochoidea,Crustacea,Stenothoinae,Multicrustacea,Amphilochidea,Amphilochida,Amphilochidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Thorlaksonius,gammarid,Arthropoda,Malacostraca,Amphipoda,Pleustidae,category,rocky headlands Straight of Juan de Fuca,1376,Thorlaksonius brevirostris,NA,adult,7,NA,present,Light & Smith,all,Among algae on rocks,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Peracarida,Amphilochoidea,Crustacea,Pleustinae,Multicrustacea,Amphilochidea,Amphilochida,Amphilochidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Thorlaksonius,gammarid,Arthropoda,Malacostraca,Amphipoda,Pleustidae,category,rocky headlands Straight of Juan de Fuca,1377,Thorlaksonius depressus,NA,adult,8.5,NA,present,Light & Smith,all,Among algae on rocks and among Phyllospadix. Mimics snails,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Peracarida,Amphilochoidea,Crustacea,Pleustinae,Multicrustacea,Amphilochidea,Amphilochida,Amphilochidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Thorlaksonius,gammarid,Arthropoda,Malacostraca,Amphipoda,Pleustidae,category,rocky headlands Straight of Juan de Fuca,1378,Thorlaksonius grandirostris,NA,adult,6,NA,present,Light & Smith,all,"On rocks with seagrass, probably mimics a snail",solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Peracarida,Amphilochoidea,Crustacea,Pleustinae,Multicrustacea,Amphilochidea,Amphilochida,Amphilochidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Thorlaksonius,gammarid,Arthropoda,Malacostraca,Amphipoda,Pleustidae,category,rocky headlands Straight of Juan de Fuca,1379,Thorlaksonius subcarinatus,NA,adult,9.5,NA,present,Light & Smith,all,on rocks and algae,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Peracarida,Amphilochoidea,Crustacea,Pleustinae,Multicrustacea,Amphilochidea,Amphilochida,Amphilochidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Tiron,gammarid,Arthropoda,Malacostraca,Amphipoda,Synopiidae,category,rocky headlands Straight of Juan de Fuca,1350,Tiron biocellata,NA,adult,4.5999999999999996,NA,present,Light & Smith,all,Rock bottoms associated with the worms Diopatra and Nothria.,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Peracarida,Synopioidea,Crustacea,Tironinae,Multicrustacea,Amphilochidea,Lysianassida,Synopiidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Trachypleustes,gammarid,Arthropoda,Malacostraca,Amphipoda,Pleustidae,category,rocky headlands Straight of Juan de Fuca,1380,Trachypleustes trevori,NA,adult,5,NA,present,Light & Smith,all,Associated with sponges and tunicates under rocks of exposed coasts,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Peracarida,Amphilochoidea,Crustacea,Parapleustinae,Multicrustacea,Amphilochidea,Amphilochida,Amphilochidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Traskorchestia,gammarid,Arthropoda,Malacostraca,Amphipoda,Talitridae,category,rocky headlands Straight of Juan de Fuca,1401,Traskorchestia georgiana,NA,adult,13.5,NA,unclear,Light & Smith,high,"In the drift line of protected stony and pebbly beaches, on sand with windrows of Zostera and Sargassum and usually co-occurring with T. traskiana.",solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Peracarida,Talitroidea,Crustacea,Talitrinae,Multicrustacea,Senticaudata,Talitrida,Talitridira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Talitroidae
258,Gobiesox maeandricus,adult,Traskorchestia,gammarid,Arthropoda,Malacostraca,Amphipoda,Talitridae,category,rocky headlands Straight of Juan de Fuca,1402,Traskorchestia traskiana,NA,adult,17,NA,present,Light & Smith,high,"On rocky beaches, occasionally on sandy beaches with algae",solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Eumalacostraca,NA,NA,Peracarida,Talitroidea,Crustacea,Talitrinae,Multicrustacea,Senticaudata,Talitrida,Talitridira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Talitroidae
258,Gobiesox maeandricus,adult,Alaria,algae,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,category,rocky headlands Straight of Juan de Fuca,645,Alaria marginata,NA,adult,NA,NA,NA,NA,NA,NA,aggregating,sessile,NA,NA,Taxonomic,Species,Chromista,Fucophycidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harosa,Heterokonta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Analipus,algae,Ochrophyta,Phaeophyceae,Ralfsiales,Ralfsiaceae,category,rocky headlands Straight of Juan de Fuca,651,Analipus japonicus,NA,adult,NA,NA,NA,NA,NA,NA,aggregating,sessile,NA,NA,Taxonomic,Species,Chromista,Fucophycidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harosa,Heterokonta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Chondra,algae,NA,Florideophyceae,Gigartinales,Gigartinaceae,category,rocky headlands Straight of Juan de Fuca,657,Chondracanthus exasperatus,NA,adult,NA,Both,NA,2021 Algae ID Workshop,NA,NA,aggregating,sessile,NA,NA,Taxonomic,Species,Plantae,Rhodymeniophycidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Chondracanthus,algae,NA,Florideophyceae,Gigartinales,Gigartinaceae,category,rocky headlands Straight of Juan de Fuca,742,Chondracanthus canaliculatus,NA,adult,NA,NA,NA,NA,NA,NA,aggregating,sessile,NA,NA,Taxonomic,Species,Plantae,Rhodymeniophycidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Biliphyta,NA,NA,NA,NA,NA,NA,NA,Rhodophyta,Eurhodophytina,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Cladophora,algae,NA,Ulvophyceae,Cladophorales,Cladophoraceae,category,rocky headlands Straight of Juan de Fuca,656,Cladophora columbiana,NA,adult,NA,NA,NA,2021 Algae ID Workshop,NA,NA,aggregating,sessile,Cyanoplax hartwegii,NA,Taxonomic,Species,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Viridiplantae,NA,NA,NA,NA,NA,NA,NA,Chlorophyta,Chlorophytina,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Egregia,algae,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,category,rocky headlands Straight of Juan de Fuca,617,Egregia menziesii,NA,adult,NA,NA,common,algaebase,NA,NA,solitary,sessile,NA,NA,Taxonomic,Species,Chromista,Fucophycidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harosa,Heterokonta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Eisenia,algae,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,category,rocky headlands Straight of Juan de Fuca,649,Eisenia arborea,NA,adult,NA,NA,NA,NA,NA,NA,aggregating,sessile,NA,NA,Taxonomic,Species,Chromista,Fucophycidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harosa,Heterokonta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Endocladia,algae,NA,Florideophyceae,Gigartinales,Endocladiaceae,category,rocky headlands Straight of Juan de Fuca,640,Endocladia muricata,NA,adult,NA,Both,present,NA,high,topmost conspicuous band of seaweed on central coast,aggregating,sessile,Cyanoplax hartwegii,NA,Taxonomic,Species,Plantae,Rhodymeniophycidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Biliphyta,NA,NA,NA,NA,NA,NA,NA,Rhodophyta,Eurhodophytina,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,NA,algae,Bacillariophyta,Bacillariophyceae,NA,NA,category,rocky headlands Straight of Juan de Fuca,602,epiphytic diatoms,NA,NA,NA,NA,NA,NA,NA,NA,NA,sessile,NA,NA,Taxonomic,Species,Chromista,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Fucus,algae,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,category,rocky headlands Straight of Juan de Fuca,643,Fucus distichus,NA,adult,NA,NA,NA,NA,NA,NA,aggregating,sessile,NA,NA,Taxonomic,Species,Chromista,Fucophycidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harosa,Heterokonta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Gelidium,algae,Rhodophyta,Florideophyceae,Gelidiales,Delidiaceae,category,rocky headlands Straight of Juan de Fuca,655,Gelidium sp.,NA,adult,NA,NA,NA,NA,NA,NA,aggregating,sessile,Nuttallina californica,NA,Taxonomic,Genus,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Gigartina,algae,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,category,rocky headlands Straight of Juan de Fuca,743,Gigartina non-canaliculata,NA,adult,NA,NA,NA,NA,NA,NA,aggregating,sessile,NA,NA,Taxonomic,Species,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Hildenbrandia,algae,Rhodophyta,Florideophyceae,Hildenbrandiales,Hildenbrandiaceae,category,rocky headlands Straight of Juan de Fuca,653,Hildenbrandia sp.,NA,adult,NA,NA,NA,NA,NA,NA,aggregating,sessile,Cyanoplax hartwegii,NA,Taxonomic,Genus,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Laminaria,algae,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,category,rocky headlands Straight of Juan de Fuca,784,Laminaria sinclairii,British Columbia to Southern California,adult,NA,Both,common,Marine Algae of California,low,"rocky substrates, partial sand",aggregating,sessile,Haliotis fulgens,NA,Taxonomic,Species,Chromista,Fucophycidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harosa,Heterokonta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Laminaria,algae,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,category,rocky headlands Straight of Juan de Fuca,624,Laminaria sp.,NA,adult,NA,both,common,NA,NA,NA,aggregating,sessile,NA,NA,Taxonomic,Species,Chromista,Fucophycidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,NA,algae,NA,NA,NA,NA,category,rocky headlands Straight of Juan de Fuca,759,macroalgae,NA,adult,NA,Both,NA,NA,NA,NA,NA,sessile,NA,NA,Common Name,Assemblage,Chromista,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Macrocystis,algae,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,category,rocky headlands Straight of Juan de Fuca,587,Macrocystis pyrifera,NA,adult,NA,Both,common,NA,low to very low,NA,solitary,sessile,NA,NA,Taxonomic,Species,Chromista,Fucophycidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harosa,Heterokonta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Mastocarpus,algae,NA,Florideophyceae,Gigartinales,Phyllophoraceae,category,rocky headlands Straight of Juan de Fuca,659,Mastocarpus papillatus,NA,adult,150mm,NA,NA,NA,high to middle,NA,aggregating,sessile,NA,NA,Taxonomic,Species,Plantae,Rhodymeniophycidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Biliphyta,NA,NA,NA,NA,NA,NA,NA,Rhodophyta,Eurhodophytina,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Mastocarpus,algae,NA,Florideophyceae,Gigartinales,Phyllophoraceae,category,rocky headlands Straight of Juan de Fuca,654,Mastocarpus sp.,NA,adult,NA,NA,NA,NA,NA,NA,aggregating,sessile,Cyanoplax hartwegii,NA,Taxonomic,Genus,Plantae,Rhodymeniophycidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Mazzaella,algae,NA,Florideophyceae,Gigartinales,Gigartinaceae,category,rocky headlands Straight of Juan de Fuca,663,Mazzaella laminarioides,NA,adult,NA,NA,NA,NA,NA,NA,aggregating,sessile,NA,NA,Taxonomic,Genus,Plantae,Rhodymeniophycidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Biliphyta,NA,NA,NA,NA,NA,NA,NA,Rhodophyta,Eurhodophytina,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Mazzaella,algae,NA,Florideophyceae,Gigartinales,Gigartinaceae,category,rocky headlands Straight of Juan de Fuca,646,Mazzaella splendens,NA,adult,NA,NA,NA,NA,NA,NA,aggregating,sessile,NA,NA,Taxonomic,Species,Plantae,Rhodymeniophycidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Biliphyta,NA,NA,NA,NA,NA,NA,NA,Rhodophyta,Eurhodophytina,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Pelvetiopsis,algae,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,category,rocky headlands Straight of Juan de Fuca,650,Pelvetiopsis limitata,NA,adult,NA,N,NA,NA,NA,NA,aggregating,sessile,Hermit crabs,NA,Taxonomic,Species,Chromista,Fucophycidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harosa,Heterokonta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Plocamium,algae,NA,Florideophyceae,Plocamiales,Plocamiaceae,category,rocky headlands Straight of Juan de Fuca,664,Plocamium violaceum,NA,adult,NA,NA,NA,NA,NA,NA,aggregating,sessile,NA,NA,Taxonomic,Genus,Plantae,Rhodymeniophycidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Biliphyta,NA,NA,NA,NA,NA,NA,NA,Rhodophyta,Eurhodophytina,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Polysiphonia,algae,Rhodophyta,Florideophyceae,Ceramiales,Rhodmelaceae,category,rocky headlands Straight of Juan de Fuca,661,Polysiphonia sp.,NA,adult,NA,NA,NA,NA,NA,NA,aggregating,sessile,NA,NA,Taxonomic,Genus,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Porphyra,algae,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,category,rocky headlands Straight of Juan de Fuca,714,Porphyra sp.,NA,NA,NA,NA,NA,"Morris, Abbott, and Haderlie",NA,NA,aggregating,sessile,NA,NA,Taxonomic,Species,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Gobiesox maeandricus,adult,Postelsia,algae,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,category,rocky headlands Straight of Juan de Fuca,644,Postelsia palmaeformis,NA,adult,NA,NA,NA,NA,NA,NA,aggregating,sessile,NA,NA,Taxonomic,Species,Chromista,Fucophycidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harosa,Heterokonta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
