fixed_y_n,id,species,alternate_nomenclature,category,common_name,functional_role,range,life_stage,body_size_mm,n_s_both,commonality,source,zone,habitat_notes,solitary_aggregating_colonial,mobile_or_sessile,preys_on,trophic_strategy,how_picky,eaten_by,non_trophic_epicommensal_w,mutualist_w,parasitized_by,unknown_symbiosis,parasitic_on,how_picky_symbiotically,notes,node_type,node_resolution,web_enter_code,enter_code_2,googled,justification,confidence,x41,clean_zone,kingdom,phylum,class,subclass,order,family,genus
Hymedesmia (Stylopus) arndti,35,Hymedesmia arndti,Astylinifer arndti,sponge,NA,NA,NA,adult,NA,Central,uncommon,Light & Smith; DeLaubenfels 1932,very low,NA,solitary,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,confirm whether to include,Taxonomic,Species,NA,NA,NA,NA,NA,NA,very low,NA,NA,NA,NA,NA,NA,NA
Hymeniacidon actites,49,Hymeniacidon actities,NA,sponge,NA,NA,NA,adult,NA,Central,uncommon,Light & Smith,low,NA,NA,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,confirm whether to include,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Pentidotea kirchanskii,492,Idotea kirchanskii,NA,isopod,NA,NA,NA,adult,NA,N,present,"Morris, Abbott, & Haderlie; Light & Smith",low,Phyllospadix scouleri,solitary,mobile,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,little known,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Pentidotea schmitti,1255,Idotea schmitti,NA,isopod,NA,NA,NA,adult,NA,NA,present,Light & Smith,all,NA,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Integripelta bilabiata,134,Integripelta bilibiata,Eurystomella bilibiata,bryozoan,NA,NA,"Alaska to Tenacatita, Mexico",adult,NA,N,common,"Morris, Abbott, & Haderlie",low,encrusting on shells,colonial,sessile,NA,filter feeder,NA,eaten by Hopkinsia rosacea (same color),small black foliculinid ciliates,NA,NA,NA,NA,NA,"reddish color is a caratinoid, hopkinsiaxanthin, transferred intact to the predator nudibranch Okenia rosacea;",Taxonomic,Species,3,fix,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Lepidozona interstincta,395,Ischnochiton interstinctus,Ischnochiton interstinctus,chiton,NA,NA,NA,adult,NA,N,fairly common,"Morris, Abbott, & Haderlie",low,under rocks,solitary,mobile,microalgal film,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,assuming all chiton eat microalgal film unless otherwise noted,Taxonomic,Species,2,fix,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Ismaila belciki,1179,Ismaila besicki,NA,copepod,NA,invertebrate endoparasite,NA,adult,NA,NA,present,Light & Smith,all,In the nudibranch Flabellina trophina,solitary,sessile,NA,parasite,specialist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,1460,Isobactrus spp.,NA,mite,NA,NA,NA,adult,0.18-2,NA,unclear,Light & Smith,all,usually confined to brackish tide pools or estuaries,solitary,mobile,NA,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one (but doubled in WORMS),612,Jania crassa,"J. micrarthrodia , J. natalensis and Corallina natalensis",corraline algae,NA,NA,NA,adult,70mm,S,present,http://biology.fullerton.edu/biol317/Murray/Fall97/coralline_algae.html,middle to low,rocks,aggregating,sessile,NA,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,middle,NA,NA,NA,NA,NA,NA,NA
Janolus anulatus,1927,Janolus annulatus,NA,nudibranch,NA,NA,Southern California,adult,NA,S,present,Light & Smith,all,NA,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one,1213,Joeropsis dubia dubia,NA,isopod,NA,NA,"Dillon Beach, Marin County to South",adult,NA,Both,present,Light & Smith,low,"on algal holdfasts, bryozoans, tunicates, hydroids, barnacles and under rocks",solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Subspecies,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one,1214,Joeropsis dubia paucispinis,NA,isopod,NA,NA,Marin County,adult,NA,N,present,Light & Smith,all,NA,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Subspecies,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Kaburakia excelsa,113,Kaburakia exelsa,NA,flatworm,NA,NA,NA,adult,NA,Both,rare,"Morris, Abbott, & Haderlie; Light & Smith",low,"among mussels, Under rocks, in holes of rock burrowing bivalves",solitary,mobile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
as is,1076,Laophonte sp.,NA,copepod,NA,zooplankton,NA,adult,NA,NA,present,Light & Smith,all,in tide pools near macroalgae (Watkins 1983) and also in epiphytes and microalgae in Puget Sound.,aggregating,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Laqueus californianus,892,Laqueus califomianus,NA,brachiopod,NA,NA,Alaska to Baja California,adult,NA,Both,present,Light & Smith,low,intertidally,solitary,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one (but doubled in WORMS),1547,Lepidasthenia longicirrata,NA,polychaete,NA,NA,Vancouver Island to southern California,adult,NA,NA,present,Light & Smith,all,"among rocks, or in shelly substrata; often associated with parchmentlike, sand and shell-covered tubes that the worm apparently constructs; reported as a commensal with maldanid polychaetes;",solitary,mobile,NA,unknown,generalist,NA,with malanid polychaetes,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Lepidozona mertensii,397,Lepidozona mertenzii,NA,chiton,NA,NA,NA,adult,NA,Both,abundant,"Morris, Abbott, & Haderlie; Light & Smith",low,NA,solitary,mobile,microalgal film,grazer,generalist,NA,ctenostome bryozoan Farella elongata on ventral surface of girdle,NA,NA,NA,NA,NA,assuming all chiton eat microalgal film unless otherwise noted,Taxonomic,Species,2,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Chondrochelia dubia,499,Leptochelia dubia,NA,isopod,NA,NA,NA,adult,NA,Both,fairly common,"Morris, Abbott, & Haderlie",tidepools,tidepools,solitary,mobile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,748,Leptochelia sp.,NA,tanaid,NA,NA,NA,adult,NA,NA,present,OIMB; Light & Smith,all,more common in soft substrate - tube builders,solitary,mobile,"Detritus and associated microorganisms, often scraped from the surface of larger organisms (Kozloff 1993)",detritivore,NA,"juvenile Leptocottus armatus (Staghorn Sculpin) (Tamales Bay, California, Mendoza 1982)",NA,NA,NA,NA,NA,NA,NA,Taxonomic,Unidentified Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Lernaeodiscus porcellanae,474,Lernaeodiscus porcelanae,NA,parasitic barnacle,rhizocephalan,adult,NA,adult,NA,S,present,"Morris, Abbott, & Haderlie",low,on the porcelain crab,solitary,sessile,NA,parasitic castrator,obligate specialist,NA,NA,NA,NA,NA,Petrolisthes cabrilloi,NA,NA,Taxonomic,Species,1,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Dicranomyia (Idioglochina) marmorata,578,Limonia marmorata,NA,insect,crane fly,larvae,NA,larva,NA,N,common,"Morris, Abbott, & Haderlie; Light & Smith",high to middle,"living in filamentous algae under Fucus and among barnacles, small mussels, and other marine animals. Most commonly the larvae are found in the bright green Ulva, which cover rocks a foot or two below high-water mark. The larvae are most often observed feeding on the vegetation from the end of their loosely woven silken tubes.",solitary,mobile,"Enteromorpha sp., Porphyra sp., Pelvetia sp., Ulva sp.",grazer,NA,NA,NA,NA,NA,NA,NA,NA,tube dweller,Taxonomic,Species,5,NA,NA,NA,NA,NA,high,NA,NA,NA,NA,NA,NA,NA
Dicranomyia (Idioglochina) marmorata,579,Limonia marmorata,NA,insect,crane fly,NA,NA,adult,NA,N,common,"Morris, Abbott, & Haderlie; Light & Smith",high to middle,"swarming over algae, overhanging rocks",aggregating,mobile,"""body fluids of dead animals""",scavenger,generalist,"""mites, bats""",NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,fix,NA,NA,NA,NA,high,NA,NA,NA,NA,NA,NA,NA
Lionyx hedgepethi,1534,Lionyx hedgpethi,NA,other arthropod,NA,NA,Tomales Bay,adult,25,NA,unclear,Light & Smith,all,NA,solitary,mobile,NA,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
possibly Neostylidium eschrichtii ,1793,Lirobittium esuriens,NA,snail,NA,NA,Columbia River to Point Conception,adult,NA,N,unclear,Light & Smith,all,NA,solitary,mobile,NA,detritivore,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Lirobittium interfossa,1794,Lirobittium interfossum,NA,snail,NA,NA,Columbia River to Point Conception,adult,NA,N,uncommon,Light & Smith,low,"In gravel, under algae",solitary,mobile,NA,detritivore,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
,1795,Lirobittium latifilosum,NA,snail,NA,NA,Columbia River to Point Conception,adult,NA,N,uncommon,Light & Smith,low,"In gravel, under algae",solitary,mobile,NA,detritivore,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Lithothrix aspergillum,610,Lithothrix aspergillum ,Amphiroa aspergillum ,corraline algae,NA,NA,NA,adult,30-130mm,S,present,http://biology.fullerton.edu/biol317/Murray/Fall97/coralline_algae.html,low to very low,external surfaces of animals and rocks,aggregating,sessile,NA,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one (but doubled in WORMS),1879,Littorina saxatilis,NA,limpet,NA,NA,introduced from East Coast to San Francisco Bay,adult,NA,N,unclear,Light & Smith,all,"in upper eulittoral, among barnacles",solitary,mobile,"broad range of diatoms, blue-green algae, ephemeral filamentous and foliose macroalgae, and macrophyte litter",unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
,1000,Lophopanopeus bellus bellus,NA,true crab,NA,NA,"Resurrection Bay, AK to Cayucos, CA",adult,50,N,present,Light & Smith,all,under rocks; stones of protected and unprotected coast,solitary,mobile,NA,NA,NA,NA,NA,NA,Loxothylacus panopaei,NA,NA,NA,NA,Taxonomic,Subspecies,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
,1001,Lophopanopeus bellus digensis,NA,true crab,NA,NA,"Monterey Bay, CA to San Diego, CA",adult,50,Both,present,NA,all,under rocks; stones of protected and unprotected coast,solitary,mobile,NA,NA,NA,NA,NA,NA,Loxothylacus panopaei,NA,NA,NA,NA,Taxonomic,Subspecies,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
,557,Lophopanopeus leucomanus leucomanus,NA,true crab,NA,NA,NA,adult,NA,Both,abundant,"Morris, Abbott, & Haderlie",low,"under rocks, buried in sand, among tubes, piles of drift algae",solitary,mobile,"""algae, crustose coralline algae, some animal material""",omnivore,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
,1876,Lottia digitalis situs,NA,limpet,NA,NA,NA,adult,NA,Both,present,Light & Smith,all,on plates of Pollicipes polymerus;,solitary,mobile,NA,unknown,generalist,NA,on Pollicipes polymerus,NA,NA,NA,NA,NA,NA,Taxonomic,Subspecies,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,211,Lottia sp.,NA,true limpet,undescribed species,NA,NA,adult,NA,N,NA,Light & Smith,low,"on shells of Haliotis rufescens, Haliotis kamtschatkana",solitary,mobile,NA,grazer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Unidentified Species,2,fix,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
as is,777,Loxosomella sp.,NA,entoproct,NA,NA,NA,adult,NA,Both,present,Light & Smith,all,on surface of filter feeding organisms,solitary,sessile,NA,filter feeder,generalist,NA,"on colonies of Dendrobeania lichenoides, Hippodiplosia insculpta, Schizoporella japónica, Tegella aquilirostris, and other bryozoans (low intertidal, San Juan Island)",NA,NA,NA,NA,NA,NA,Taxonomic,Genus,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,95,Manania sp.,NA,scyphozoan,NA,NA,to santa rosa island,adult,NA,N,rare,"Morris, Abbott, & Haderlie",low,to santa rosa island,colonial,sessile,NA,filter feeder,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Genus,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Marphysa sanguinea,1606,Marphysa sanguínea,NA,polychaete,NA,NA,"Southern California to Mexico, introduced to San Francisco Bay",adult,NA,Both,present,Light & Smith,all,shaley rocks and hard-packed clays;,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Megastraea undosa,244,Megastrea undosa,NA,topsnail,wavy turban snail,NA,NA,adult,< 50 mm,S,NA,"Morris, Abbott, & Haderlie",low,more common subtidally,solitary,mobile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Membranipora raymondi,819,Membranipora fusca,NA,bryozoan,NA,NA,"northern, central California",adult,2 - 200,N,present,Light & Smith,all,"encrusting shells, stones",colonial,sessile,NA,filter feeder,generalist,Doridella steinbergae,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Microjassa barnardi,1317,Microjassa bamardi,NA,gammarid,NA,NA,NA,adult,2.5,NA,present,Light & Smith,all,on algal holdfasts and rocks,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,tube building,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Microporella californica,865,Microporelloides (Cribriporella) californica,NA,bryozoan,NA,NA,"British Columbia; central, southern California",adult,2 - 200,Both,present,Light & Smith,all,NA,colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Microporella cribrosa,867,Microporelloides (Cribriporella) cribrosa,NA,bryozoan,NA,NA,"Mussel Point, central California, to Gulf of California;",adult,2 - 200,Both,present,Light & Smith,low,"on rock, shell, algae, pilings",colonial,sessile,NA,filter feeder,generalist,NA,algae,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Microporella infundibulipora,868,Microporelloides (Cribriporella) infundibulipora,Microporella californica,bryozoan,NA,NA,"Recent of southern California, probably central California; reports of ""M. californica"" range from British Columbia to Gulf of California, Baja California, Galapagos Islands; M. infundibulipora, described from Channel Island;",adult,2 - 200,Both,present,Light & Smith,low,NA,colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Microporella planata,869,Microporelloides (Cribriporella) planata,NA,bryozoan,NA,NA,from off Channel Islands,adult,2 - 200,S,present,Light & Smith,low,"on shell, stone",colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Microporella catalinensis,866,Microporelloides (Microporelloides) catalinensis,M. ciliata,bryozoan,NA,NA,"Channel Islands, probably recorded elsewhere in California as ""M. californica""-",adult,2 - 200,S,present,Light & Smith,all,"on shell, algae",colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Microporella umboniformis,870,Microporelloides (Microporelloides) umboniformis,NA,bryozoan,NA,NA,"a Puget Sound species, it may occur in northern, central California",adult,2 - 200,N,present,Light & Smith,low,NA,colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
as is,1800,Mistostigma sp.,NA,microsnail,NA,NA,Columbia River to Point Conception,adult,1.4,N,present,Light & Smith,all,Rocky intertidal and sublittoral near brown algae. Common in sediment samples,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Multipeniata californica,2039,Multipeniata califomica,NA,turbellarian,NA,NA,"Hopkins Marine Station, Pacific Grove, CA",adult,NA,N,present,Light & Smith,all,gravel under algae,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,single record?,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Mytilimeria nuttalli,393,Mytilimeria nuttallii,NA,clam,sea bottle clam,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie",low,embedded in colonies of compound ascidians,solitary,mobile,NA,filter feeder,NA,NA,"Archidistoma psammion, Cystodytes lobatus",NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one (but doubled in WORMS),1619,Naineris dendritica,NA,polychaete,NA,NA,Columbia River to Point Conception,adult,NA,N,common,Light & Smith,all,"rocky intertidal areas; found in algal holdfasts, bryozoan masses, and debris under and between rocks;",solitary,mobile,NA,deposit feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,1199,Nebalia sp.,NA,Leptostracan,NA,NA,NA,adult,45427,Both,present,Light & Smith,low,associated with organic material,solitary,sessile,NA,omnivore,generalist,NA,NA,NA,NA,NA,NA,NA,broods eggs,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one (but doubled in WORMS),1724,Nemertopsis gracilis,NA,nemertean,ribbon worm,NA,Washington to Mexico.,adult,NA,Both,present,Light & Smith,all,"among algae and other surface cover on rocks and pilings exposed to surf, also in rocky cracks and under rocks in muddy situations, usually in low intertidal, although Roe found specimens associated with the high-intertidal ""Pantinonemertes"" califomiensis at Elkhorn Slough",solitary,mobile,Lasaea adansoni,micropredator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
not in WORMS,1480,Neochthebius vandykei,NA,insect,NA,NA,NA,adult,NA,NA,common,Light & Smith,high,in crevices and the high-intertidal zone on rocky shores,solitary,mobile,detritus,detritivore,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,high,NA,NA,NA,NA,NA,NA,NA
not in WORMS,1481,Neochthebius vandykei,NA,insect,NA,NA,NA,larvae,NA,NA,common,Light & Smith,high,in crevices and the high-intertidal zone on rocky shores,solitary,mobile,other hydraenid larvae,carnivore (scavenger + predator),generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Life Stage,NA,NA,NA,NA,NA,NA,high,NA,NA,NA,NA,NA,NA,NA
Nitocra californica,1035,Nitokra affinis californica,NA,copepod,NA,zooplankton,Hopkins Marine Station,adult,NA,N,present,Light & Smith,all,"tide pool with shell sand, stones, and algae near HMS",aggregating,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Subspecies,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
not in WORMS,1470,Nocticanace arnaudi,NA,insect,shore fly,NA,NA,adult,NA,Both,present,Light & Smith,all,tide-covered rocks that are clothed with Ulva,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Norrisia norrisii,235,Norrisia norrisi,NA,topsnail,Norris topsnail,NA,NA,adult,45 - 55,S,common,"Morris, Abbott, & Haderlie; Light & Smith",low,on macroalgae,solitary,mobile,"Macrocystis pyrifera, Egregia menziesii, Laminaria sp.",grazer,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Tectura paleacea,214,Notoacmea paleacea,Lottia paleacea,true limpet,surfgrass limpet,NA,Oregon to Northern California,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,only on Phyllospadix sp.,solitary,mobile,"Phyllospadix sp., microalgal film",grazer,specialist,NA,NA,NA,NA,NA,Phyllospadix sp.,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Notocomplana saxicola,2051,Notocomplana saxícola,Notoplana,turbellarian,NA,NA,Oregon to California,adult,NA,N,present,Light & Smith,all,On masses of algae in tide pools and on algal holdfasts,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Notocomplana timida,2053,Notocomplana tímida,Notoplana,turbellarian,NA,NA,Oregon to California,adult,NA,N,rare,Light & Smith,all,rocky intertidal in Monterey Bay,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Notodelphys affinis,1166,Notodelphys afftnis,NA,copepod,NA,invertebrate endoparasite,NA,adult,NA,NA,present,Light & Smith,all,In the simple ascidians Ascidia paratropa and Corella willmeriana,solitary,sessile,NA,parasite,specialist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
WORMS doesn't recognize,1845,Nucella analoga analoga,N. canaliculata,snail,NA,NA,Columbia River to Point Conception,adult,NA,N,common,Light & Smith,all,living exposed among mussels on which it feeds,solitary,mobile,mussels,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
WORMS doesn't recognize,1846,Nucella analoga compressa,NA,snail,NA,NA,Columbia River to Point Conception,adult,NA,N,uncommon,Light & Smith,middle,"occurs sparsely in the exposed mussel zone in Monterey County, south of Pacific Grove",solitary,mobile,NA,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,middle,NA,NA,NA,NA,NA,NA,NA
Nyctunguis heathi,573,Nyctunguis heathii,NA,other arthropod,centipede,NA,NA,adult,45,Both,fairly common,"Morris, Abbott, & Haderlie",high,"crevices, nocturnal",solitary,mobile,"""insects and mites""",typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,NA,NA,NA,NA,NA,high,NA,NA,NA,NA,NA,NA,NA
Paciocinebrina,1837,Ocinebrina aspera,NA,snail,NA,NA,Columbia River to Point Conception,adult,NA,N,present,Light & Smith,all,NA,solitary,mobile,NA,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Paciocinebrina,1838,Ocinebrina aspera,NA,snail,NA,NA,Columbia River to Point Conception,eggs,NA,N,present,Light & Smith,all,NA,solitary,mobile,NA,non-feeding life stage,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Paciocinebrina,276,Ocinebrina circumtexta,Ocenebra circumtexta,murex,circled rock snail,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",middle to low,heavy surf,solitary,mobile,NA,typical predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,NA,NA,NA,NA,NA,middle,NA,NA,NA,NA,NA,NA,NA
Paciocinebrina,1842,Ocinebrina minor,O. atropurpúrea,snail,NA,NA,Columbia River to Point Conception,adult,NA,N,present,Light & Smith,all,NA,solitary,mobile,NA,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Paciocinebrina,1843,Ocinebrina munda,O. lurida,snail,NA,NA,Columbia River to Point Conception,adult,NA,N,present,Light & Smith,all,"Where sympatric with O. lurida, this occurs in sublittoral zone",solitary,mobile,NA,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Paciocinebrina,1844,Ocinebrina subangulata,NA,snail,NA,NA,Columbia River to Point Conception,adult,NA,N,unclear,Light & Smith,all,NA,solitary,mobile,NA,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Boonea bisuturalis,1866,Odetta bisuturalis,NA,snail,NA,NA,Introduced to San Francisco Bay,adult,NA,N,unclear,Light & Smith,all,"Ilyanassa obsoleta,, to be expected with other hosts; ectoparasitic on invertebrate hosts, in general",solitary,mobile,NA,parasite,generalist,NA,NA,NA,NA,NA,"Ilyanassa obsoleta,",NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
