reference_number,nsboth,ca,ep_riz,general_location_of_study
248,n,n,y,"Victoria, British Columbia"
248,n,n,y,"Victoria, British Columbia"
249,na,n,n,"Dogger Bank, North Sea"
249,na,n,n,"Dogger Bank, North Sea"
249,na,n,n,"Dogger Bank, North Sea"
249,na,n,n,"Dogger Bank, North Sea"
250,n,n,y,"Trinidad Line and Newport Line (Northern California Current), OR"
250,n,n,y,"Trinidad Line and Newport Line (Northern California Current), OR"
250,n,n,y,"Trinidad Line and Newport Line (Northern California Current), OR"
250,n,n,y,"Trinidad Line and Newport Line (Northern California Current), OR"
250,n,n,y,"Trinidad Line and Newport Line (Northern California Current), OR"
250,n,n,y,"Trinidad Line and Newport Line (Northern California Current), OR"
251,n,y,y,"Horseshoe Cove, CA"
251,s,y,y,"Naples Reef, CA"
251,n,y,y,"Shell Beach, CA"
252,n,y,y,"Moss Beach, San Mateo County, CA"
252,n,y,y,"Moss Beach, San Mateo County, CA"
253,s,y,y,"San Diego, CA"
254,n,n,y,"Wasp Passage, San Juan Islands, WA"
254,n,n,y,"Wasp Passage, San Juan Islands, WA"
254,n,n,y,"Wasp Passage, San Juan Islands, WA"
254,n,n,y,"Wasp Passage, San Juan Islands, WA"
254,n,n,y,"Wasp Passage, San Juan Islands, WA"
254,n,n,y,"Wasp Passage, San Juan Islands, WA"
254,n,n,y,"Wasp Passage, San Juan Islands, WA"
254,n,n,y,"Wasp Passage, San Juan Islands, WA"
254,n,n,y,"Wasp Passage, San Juan Islands, WA"
254,n,n,y,"Wasp Passage, San Juan Islands, WA"
254,n,n,y,"Wasp Passage, San Juan Islands, WA"
254,n,n,y,"Wasp Passage, San Juan Islands, WA"
254,n,n,y,"Wasp Passage, San Juan Islands, WA"
254,n,n,y,"Wasp Passage, San Juan Islands, WA"
254,n,n,y,"Wasp Passage, San Juan Islands, WA"
254,n,n,y,"Wasp Passage, San Juan Islands, WA"
254,n,n,y,"Wasp Passage, San Juan Islands, WA"
254,n,n,y,"Wasp Passage, San Juan Islands, WA"
254,n,n,y,"Wasp Passage, San Juan Islands, WA"
254,n,n,y,"Wasp Passage, San Juan Islands, WA"
255,s,y,y,"Long Beach Marina, Long Beach, CA"
255,s,y,y,"Long Beach Marina, Long Beach, CA"
255,s,y,y,"Long Beach Marina, Long Beach, CA"
255,s,y,y,"Long Beach Marina, Long Beach, CA"
255,s,y,y,"Long Beach Marina, Long Beach, CA"
255,s,y,y,"Long Beach Marina, Long Beach, CA"
255,s,y,y,"Long Beach Marina, Long Beach, CA"
255,s,y,y,"Long Beach Marina, Long Beach, CA"
255,s,y,y,"Long Beach Marina, Long Beach, CA"
255,s,y,y,"Long Beach Marina, Long Beach, CA"
255,s,y,y,"Long Beach Marina, Long Beach, CA"
255,s,y,y,"Long Beach Marina, Long Beach, CA"
255,s,y,y,"Long Beach Marina, Long Beach, CA"
255,s,y,y,"Long Beach Marina, Long Beach, CA"
255,s,y,y,"Long Beach Marina, Long Beach, CA"
255,s,y,y,"Long Beach Marina, Long Beach, CA"
255,s,y,y,"Long Beach Marina, Long Beach, CA"
255,s,y,y,"Long Beach Marina, Long Beach, CA"
255,s,y,y,"Long Beach Marina, Long Beach, CA"
255,s,y,y,"Long Beach Marina, Long Beach, CA"
255,s,y,y,"Long Beach Marina, Long Beach, CA"
255,s,y,y,"Long Beach Marina, Long Beach, CA"
255,s,y,y,"Long Beach Marina, Long Beach, CA"
255,s,y,y,"Long Beach Marina, Long Beach, CA"
255,s,y,y,"Long Beach Marina, Long Beach, CA"
256,NA,NA,NA,Lab
256,NA,NA,NA,
257,s,y,y,"Newport Bay, California"
257,s,y,y,"Newport Bay, California"
257,s,y,y,"Newport Bay, California"
257,s,y,y,"Newport Bay, California"
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
258,n,n,y,Straight of Juan de Fuca
259,n,n,y,"Tatoosh Island, WA"
259,n,n,y,"Tatoosh Island, WA"
259,n,n,y,"Tatoosh Island, WA"
259,n,n,y,"Tatoosh Island, WA"
259,n,n,y,"Tatoosh Island, WA"
259,n,n,y,"Tatoosh Island, WA"
260,n,y,y,"Moss Beach, CA"
261,n,n,y,"Cape Arago, OR"
262,s,y,y,"Catalina Island, CA"
262,n,y,y,"Mendocino County, CA"
262,s,y,y,"Santa Barbara, CA"
263,na,n,n,"Mt. Qiniang, Shenzhen, China"
263,n,n,n,"Mt. Qiniang, Shenzhen, China"
264,n,y,y,"Sea Ranch, Sonoma County, CA"
264,n,y,y,"Jenner, Sonoma County, CA"
264,n,y,y,"Horseshoe Cove, Sonoma County, CA"
265,both,y,y,"From Bering Sea to San Diego Bay, California"
266,NA,NA,NA,
267,s,y,y,"south Mission Bay Jetty, San Diego, CA"
267,s,y,y,"south Mission Bay Jetty, San Diego, CA"
267,s,y,y,"south Mission Bay Jetty, San Diego, CA"
267,s,y,y,"south Mission Bay Jetty, San Diego, CA"
267,s,y,y,"south Mission Bay Jetty, San Diego, CA"
268,both,y,y,"Bodega Bay, CA, and San Pedro, CA"
269,NA,NA,NA,
270,na,n,n,
271,NA,NA,NA,
272,NA,NA,NA,
273,n,y,y,"Monterey Bay, CA"
274,na,n,y,NE Pacific
274,na,n,y,NE Pacific
274,na,n,y,NE Pacific
274,na,n,y,NE Pacific
274,na,n,y,NE Pacific
274,na,n,y,NE Pacific
274,na,n,y,NE Pacific
274,na,n,y,NE Pacific
274,na,n,y,NE Pacific
274,na,n,y,NE Pacific
275,na,n,y,NE Pacific
276,s,y,y,"Punta Banda, Baja California"
276,s,y,y,"Punta Banda, Baja California"
276,s,y,y,"Punta Banda, Baja California"
276,s,y,y,"Punta Banda, Baja California"
276,s,y,y,"Punta Banda, Baja California"
276,s,y,y,"Punta Banda, Baja California"
276,s,y,y,"Punta Banda, Baja California"
276,s,y,y,"Punta Banda, Baja California"
276,s,y,y,"Punta Banda, Baja California"
276,s,y,y,"Punta Banda, Baja California"
276,s,y,y,"Punta Banda, Baja California"
276,s,y,y,"Punta Banda, Baja California"
276,s,y,y,"Punta Banda, Baja California"
276,s,y,y,"Punta Banda, Baja California"
276,s,y,y,"Punta Banda, Baja California"
276,s,y,y,"Punta Banda, Baja California"
276,s,y,y,"Punta Banda, Baja California"
277,NA,NA,NA,
278,n,n,y,"San Juan Islands, WA"
279,s,y,y,"Big Fisherman's Cove, Santa Catalina Island, CA"
280,n,n,y,"Rosario, WA"
281,na,n,n,Tanabe Bay
281,na,n,n,Tanabe Bay
281,na,n,n,Tanabe Bay
281,na,n,n,Tanabe Bay
281,na,n,n,Tanabe Bay
282,NA,NA,NA,
282,NA,NA,NA,
283,both,y,y,Eastern Pacific
284,n,y,y,"Monterey Bay, CA"
284,n,y,y,"Monterey Bay, CA"
284,n,y,y,"Monterey Bay, CA"
284,n,y,y,"Monterey Bay, CA"
284,n,y,y,"Monterey Bay, CA"
284,n,y,y,"Monterey Bay, CA"
284,n,y,y,"Monterey Bay, CA"
284,n,y,y,"Monterey Bay, CA"
285,both,y,y,California
285,both,y,y,California
285,both,y,y,California
285,both,y,y,California
286,NA,NA,NA,NA
287,s,n,y,"Pernambuco State, northeast Brazil"
288,s,y,y,"Lunada Bay, Palos Verdes, CA"
288,s,y,y,"Lunada Bay, Palos Verdes, CA"
288,s,y,y,"Lunada Bay, Palos Verdes, CA"
288,s,y,y,"Lunada Bay, Palos Verdes, CA"
288,s,y,y,"Lunada Bay, Palos Verdes, CA"
289,n,y,y,"Hopkins Marine Reserve, CA"
289,n,y,y,"Hopkins Marine Reserve, CA"
290,both,y,y,California
291,na,n,n,"Normandy, France"
292,n,n,y,British Columbia
293,s,y,y,California
293,s,y,y,California
293,s,y,y,California
293,s,y,y,California
293,s,y,y,California
293,s,y,y,California
293,s,y,y,California
293,s,y,y,California
293,s,y,y,California
293,s,y,y,California
293,s,y,y,California
293,s,y,y,California
293,s,y,y,California
293,s,y,y,California
293,s,y,y,California
294,NA,NA,NA,
295,s,y,y,"San Diego, CA"
296,s,y,y,"Abalone Cove, CA"
296,s,y,y,
296,s,y,y,
296,s,y,y,
297,n,y,y,"Bodega Harbor, CA"
297,n,y,y,"Bodega Harbor, CA"
297,n,y,y,"Bodega Harbor, CA"
297,n,y,y,"Bodega Harbor, CA"
298,s,n,y,"Puerto Penasco, Sonora, Mexico"
298,s,n,y,"Puerto Penasco, Sonora, Mexico"
298,s,n,y,"Puerto Penasco, Sonora, Mexico"
299,corraline algae,n,n,
300,na,n,n,Sea of Japan
300,na,n,n,Sea of Japan
300,na,n,n,Sea of Japan
300,na,n,n,Sea of Japan
300,na,n,n,Sea of Japan
300,na,n,n,Sea of Japan
300,na,n,n,Sea of Japan
300,na,n,n,Sea of Japan
301,n,n,y,"Vancouver Island, British Columbia"
301,n,n,y,"Vancouver Island, British Columbia"
302,n,y,y,"Hopkins Marine Life Refuge, CA"
302,n,y,y,"Hopkins Marine Life Refuge, CA"
302,n,y,y,"Hopkins Marine Life Refuge, CA"
302,n,y,y,"Hopkins Marine Life Refuge, CA"
302,n,y,y,"Hopkins Marine Life Refuge, CA"
302,n,y,y,"Hopkins Marine Life Refuge, CA"
302,n,y,y,"Hopkins Marine Life Refuge, CA"
302,n,y,y,"Hopkins Marine Life Refuge, CA"
302,n,y,y,"Hopkins Marine Life Refuge, CA"
302,n,y,y,"Hopkins Marine Life Refuge, CA"
302,n,y,y,"Hopkins Marine Life Refuge, CA"
302,n,y,y,"Hopkins Marine Life Refuge, CA"
302,n,y,y,"Hopkins Marine Life Refuge, CA"
303,n,n,y,"San Juan Island, WA"
303,n,n,y,"San Juan Island, WA"
303,n,n,y,"San Juan Island, WA"
303,n,n,y,"San Juan Island, WA"
303,n,n,y,"San Juan Island, WA"
303,n,n,y,"San Juan Island, WA"
303,n,n,y,"San Juan Island, WA"
303,n,n,y,"San Juan Island, WA"
303,n,n,y,"San Juan Island, WA"
304,both,y,y,
305,s,y,y,"Cortes Bank, CA"
305,s,y,y,"Cortes Bank, CA"
306,na,n,n,Antarctic Peninsula
306,na,n,n,Antarctic Peninsula
306,na,n,n,Antarctic Peninsula
306,na,n,n,Antarctic Peninsula
307,n,y,y,"Diablo Canyon, CA"
308,na,n,n,"Lobster Bay (Hok Tsui Wan), Cape d' Aguilar,"
308,na,n,n,"Lobster Bay (Hok Tsui Wan), Cape d' Aguilar,"
309,na,n,n,"Long Island Sound, Conneticut"
309,na,n,n,"Long Island Sound, Conneticut"
309,na,n,n,"Long Island Sound, Conneticut"
309,na,n,n,"Long Island Sound, Conneticut"
309,na,n,n,"Long Island Sound, Conneticut"
309,na,n,n,"Long Island Sound, Conneticut"
309,na,n,n,"Long Island Sound, Conneticut"
309,na,n,n,"Long Island Sound, Conneticut"
310,n,n,n,"Sao Paolo, Brazil"
310,n,n,n,"Sao Paolo, Brazil"
310,n,n,n,"Sao Paolo, Brazil"
310,n,n,n,"Sao Paolo, Brazil"
310,n,n,n,"Sao Paolo, Brazil"
310,n,n,n,"Sao Paolo, Brazil"
310,n,n,n,"Sao Paolo, Brazil"
310,n,n,n,"Sao Paolo, Brazil"
311,n,y,y,"San Mateo County, CA"
311,n,y,y,"San Mateo County, CA"
311,n,y,y,"San Mateo County, CA"
311,n,y,y,"San Mateo County, CA"
311,n,y,y,"San Mateo County, CA"
311,n,y,y,"San Mateo County, CA"
311,n,y,y,"San Mateo County, CA"
311,n,y,y,"San Mateo County, CA"
311,n,y,y,"San Mateo County, CA"
312,n,n,y,"Point Dume, CA"
312,n,n,y,"Point Dume, CA"
312,n,n,y,"Tomales Point, CA"
312,n,n,y,"Tomales Point, CA"
312,n,n,y,"San Juan Archipelago, WA"
312,n,n,y,"San Juan Archipelago, WA"
312,n,n,y,"SE Alaska; Brown Island, WA; Flat Point, Lopez Island, WA; Frost Island, WA"
312,n,n,y,"Orcas Island, WA"
312,n,n,y,"Orcas Island, WA"
312,n,n,y,"Orcas Island, WA"
313,n,n,y,"British Columbia; Southeast Alaska; Puget Sound, WA"
314,s,y,y,"Santa Barbara Channel, CA"
315,NA,NA,NA,
315,NA,NA,NA,
315,NA,NA,NA,
315,NA,NA,NA,
315,NA,NA,NA,
315,NA,NA,NA,
315,NA,NA,NA,
315,NA,NA,NA,
316,n,n,y,Lab
316,n,n,y,"San Juan Islands, WA"
316,n,n,y,Lab
317,NA,NA,NA,Southern California Bight
318,n,n,y,"San Juan Islands, WA"
318,n,n,y,"San Juan Islands, WA"
318,n,n,y,"San Juan Islands, WA"
318,n,n,y,"San Juan Islands, WA"
318,n,n,y,"San Juan Islands, WA"
318,n,n,y,"San Juan Islands, WA"
318,n,n,y,"San Juan Islands, WA"
318,n,n,y,"San Juan Islands, WA"
318,n,n,y,"San Juan Islands, WA"
318,n,n,y,"San Juan Islands, WA"
318,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"San Juan Islands, WA"
319,n,n,y,"Waddah and Tatoosh Islands, WA"
319,n,n,y,"Waddah and Tatoosh Islands, WA"
319,n,n,y,"Waddah and Tatoosh Islands, WA"
319,n,n,y,"Waddah and Tatoosh Islands, WA"
