reference_number,reference
295,"Hopkins, Thomas S; Scanland, Thomas Boyd. 1964. The host relations of a pinnotherid crab, opisthopus transversus rathbun. Bulletin - Southern California Academy of Sciences. 6. 4. 175-180"
296,"Wicksten, Mary K.. 1988. Antennary cast-net feeding in california hermit crabs (decapoda, paguridea). Crustaceana. 54. 3. 321-322"
297,"Best, Rebecca J.; Stachowicz, John J.. 2014. Phenotypic and phylogenetic evidence for the role of food and habitat in the assembly of communities of marine amphipods. Ecology. 95. 3. 775-786. 10.1890/13-0163.1"
298,"Shuster, Stephen M; Guthrie, Erin E. 1999. Effects of temperature and food availability on adult body length in natural and laboratory populations of paracerceis sculpta (holmes), a gulf of california isopod. Journal of Experimental Marine Biology and Ecology. 233. 2. 269-284. 10.1016/S0022-0981(98)00133-6"
299,"Chow, Lai Him; Ahyong, Shane T.; Tsang, Chandler T. T.; Lam, Yu Fung; Naruse, Tohru; Ng, Peter K. L.; Tsang, Ling Ming. 2023. Shift in symbiotic lifestyle as the major process shaping the evolution of pea crabs (decapoda: brachyura: pinnotheroidea). Molecular Phylogenetics and Evolution. 188. 107904. 10.1016/j.ympev.2023.107904"
300,"Burukovsky, R. N., & Marin, I. N. (2018). The food composition of the symbiotic crab Pinnixa rathbunae Sakai, 1934 (Brachyura: Pinnotheridae) from burrows of the spoon worm Urechis unicinctus (von Drasche, 1881) (Echiurida: Urechidae) in Vostok Bay of the Sea of Japan. Arthropoda Selecta, 27(1), 319324–0. https://doi.org/10.15298/arthsel.27.4.06"
301,"Griffiths, Allison M.; Gosselin, Louis A.. 2008. Ontogenetic shift in susceptibility to predators in juvenile northern abalone, haliotis kamtschatkana. Journal of Experimental Marine Biology and Ecology. 360. 2. 85-93. 10.1016/j.jembe.2008.04.004"
302,"Hines, Anson H.. 1982. Coexistence in a kelp forest: size, population dynamics, and resource partitioning in a guild of spider crabs (brachyura, majidae). Ecological Monographs. 52. 2. 179-198. 10.2307/1942610"
303,"Shinn, George L. 1981. The diet of three species of umagillid neorhabdocoel turbellarians inhabiting the intestine of echinoids. Hydrobiologia. 84. 155-162"
304,"Cadien, D. B. (2015). Review of the gammaridean amphipoda of the northeast pacific. In: Amphipoda of the Northeast Pacific (Equator to Aleutians, Intertidal to the Abyss). Los Angeles City Sanitation District."
305,"Moretto, Wave I.; Taylor, Jennifer R. A.. 2023. Temperature-dependent feeding behavior in the brown box crab, lopholithodes foraminatus. Frontiers in Marine Science. 10.3389/fmars.2023.1241950"
306,"Schabes, Mauricio; Hamner, William. 1992. Mysid locomotion and feeding: kinematics and water-flow patterns of antarctomysis sp., acanthomysis sculpta, and neomysis rayii. Journal of Crustacean Biology. 12. 1. 10-Jan. 10.2307/1548713"
307,"Setran, Aaron Carr. 1992. A new plankton trap for use in the collection of rocky intertidal zooplankton. Limnology and Oceanography. 37. 3. 669-674. 10.4319/lo.1992.37.3.0669"
308,"Zhinan, Z. 1997. Phytal meiofauna of a rocky shore at the cape d'aguilar marine reserve, hong kong. The Marine Flora and Fauna of Hong Kong and Southern China IV. Hong Kong University Press. 205"
309,"Hausman, Leon Augustus. 1919. The orange striped anemone (sagartia luciae, verrill). An ecological study.. The Biological Bulletin. 37. 6. 363-370. 10.2307/1536371"
310,"Yokoyama, Leonardo Q.; Amaral, Antonia C. Z.. 2008. The diet of ophionereis reticulata (echinodermata: ophiuroidea) in southeastern brazil. Revista Brasileira de Zoologia. 25. 3. 576-578. 10.1590/S0101-81752008000300029"
311,"Putman, Barry Folsom. 1990. The diet and feeding selectivity of the chiton stenoplax heathiana berry, 1946 (mollusca: polyplacophora). The Veliger. 33. 4. 372-374"
312,"Dudley, Patricia L. (Patricia Louise). 1964. Some gastrodelphyid copepods from the pacific coast of north america. American Museum Novitates. 2194"
313,"Lambert, P. (1997). Sea Cucumbers of British Columbia, Southeast Alaska and Puget Sound. UBC Press."
314,"Yorke, C. E., Page, H. M., & Miller, R. J. (2019). Sea urchins mediate the availability of kelp detritus to benthic consumers. Proceedings of the Royal Society B: Biological Sciences, 286(1906), 20190846. https://doi.org/10.1098/rspb.2019.0846"
315,"Cheng, L.. 1976. Marine insects. North-Holland Publ. Co"
316,"Hessler, R. R., & Strömberg, J.-O. (1989). Behavior of janiroidean isopods (Asellota), with special reference to deep-sea genera. Sarsia, 74(3), 145–159. https://doi.org/10.1080/00364827.1989.10413424"
317,"Stebbins, T. D., & Wetzer, R. (2023). Review and guide to the isopods (Crustacea, Isopoda) of littoral and sublittoral marine habitats in the Southern California Bight. ZooKeys, 1162, 1–167. https://doi.org/10.3897/zookeys.1162.100390"
318,"Birkeland, Charles; Dayton, Paul K.; Engstrom, Norman A.. 1982. A stable system of predation on a holothurian by four asteroids and their top predator. Australian Museum Memoir. 16. 175-189. 10.3853/j.0067-1967.16.1982.365"
319,"Mauzey, Karl P.; Birkeland, Charles; Dayton, Paul K.. 1968. Feeding behavior of asteroids and escape responses of their prey in the puget sound region. Ecology. 49. 4. 603-619"
320,"Caine, Edsel A.. 1978. Habitat adaptations of north american caprellid amphipoda (crustacea). The Biological Bulletin. 155. 2. 288-296. 10.2307/1540953"
321,"Wyckmans, Marisa; Chepurnov, Victor A.; Vanreusel, Ann; De Troch, Marleen. 2007. Effects of food diversity on diatom selection by harpacticoid copepods. Journal of Experimental Marine Biology and Ecology. 345. 2. 119-128. 10.1016/j.jembe.2007.02.002"
322,"Rieper, M. (1978). Bacteria as food for marine harpacticoid copepods. Marine Biology, 45(4), 337–345. https://doi.org/10.1007/BF00391820"
323,"Anderson, Roland C.. 1999. Determination of the diet of octopus rubescens berry, 1953 (cephalopoda: octpododae), through examination of its beer bottle dens in puget sound.. Malacologia. 41. 2. 455-460"
324,"Onthank, Kirt L.; Cowles, David L.. 2011. Prey selection in octopus rubescens: possible roles of energy budgeting and prey nutritional composition. Marine Biology. 158. 12. 2795-2804. 10.1007/s00227-011-1778-4"
325,"Onthank, K. L. (2008). Aerobic metabolism and dietary ecology of Octopus rubescens [Master of Science]. Walla Walla University."
326,"Womacks, C.H.; Seroy, S.K.; Dobkowski, K.A.. 2024. Effects of warming temperatures on the feeding interactions of an omnivorous crab, pugettia producta (crustacea: brachyura: epialtidae). Pacific Science. 77. 4. 10.2984/77.4.2"
327,"Johnson, Katrina H.; Dobkowski, Katie A.; Seroy, Sasha K.; Fox, Shelby; Meenan, Natalie. 2023. Feeding preferences and the effect of temperature on feeding rates of the graceful kelp crab, pugettia gracilis. PeerJ. 11. e15223. 10.7717/peerj.15223"
328,"Dobkowski, Katie. 2017. The role of kelp crabs as consumers in bull kelp forests: evidence from laboratory feeding trials and field enclosures. PeerJ. 5. e3372. 10.7717/peerj.3372"
329,"Hultgren, K. M.; Stachowicz, J. J.. 2009. Evolution of decoration in majoid crabs: a comparative phylogenetic analysis of the role of body size and alternative defensive strategies.. The American Naturalist. 173. 5. 566-578. 10.1086/597797"
330,"Child, Gary. 1977. Feeding biology and ecological aspects of a cancroid crab cancer oregonensis (dana) rathbun (decapoda, brachyura). Brigham Young University"
331,"Schroeter, Stephen Craig. 1972. Characterization of field populations of margarites pupillus (gould) (gastropoda, prosobranchia). Brigham Young University"
332,"Holyoak, Alan H.. 1986. Behavioral strategies of the trochid gastropods margarites pupillus and calliostoma ligatum. Brigham Young University"
333,"Malaquias, Manuel António E.; Condinho, Silvia; Cervera, Juan L.; Sprung, Martin. 2004. Diet and feeding biology of haminoea orbygniana (mollusca: gastropoda: cephalaspidea). Journal of the Marine Biological Association of the United Kingdom. 84. 4. 767-772. 10.1017/S0025315404009890h"
334,"Day, J. H., & History), B. M. (Natural. (1967). Part 1: Errantia. In A monograph on the Polychaeta of southern Africa: Vol. Vol 1 (pp. 1–498). BM(NH). https://doi.org/10.5962/bhl.title.8596"
335,"Hori, M. (2008). Between-habitat interactions in coastal ecosystems: Current knowledge and future challenges for understanding community dynamics. Plankton and Benthos Research, 3(2), 53–63. https://doi.org/10.3800/pbr.3.53"
336,"Hori, M., & Noda, T. (2001). Spatio-Temporal Variation of Avian Foraging in the Rocky Intertidal Food Web. Journal of Animal Ecology, 70(1), 122–137."
337,"Johnson, Martin W.. 1943. Studies on the life history of the marine annelid nereis vexillosa. The Biological Bulletin. 84. 1. 106-114. 10.2307/1538053"
338,"Copeland, Manton; Wieman, H. L.. 1924. The chemical sense and feeding behavior of nereis virens. Sars. Biological Bulletin. 47. 4. 231-238. 10.2307/1536502"
339,"Rudman, W. B. (2010). The Sea Slug Forum—Chromodoris macfarlandi on Aplysilla polyraphis. http://www.seaslugforum.net/find/2561. Accessed 6/11/2024"
340,"Rudman, W. B. (2010). The Sea Slug Forum—Chromodoris macfarlandi on Aplysilla polyraphis. http://www.seaslugforum.net/find/2561. Accessed 6/11/2024"
341,"Molinski, Tadeusz F.; Faulkner, D. John; He, Cun Heng; Van Duyne, Gregory D.; Clardy, Jon. 1986. Three new rearranged spongian diterpenes from chromodoris macfarlandi: reappraisal of the structures of dendrillolides a and b. The Journal of Organic Chemistry. 51. 24. 4564-4567. 10.1021/jo00374a014"
342,"Reish, Donald J.. 1954. The life history and ecology of the polychaetous annelid nereis grubei (kinberg). University of Southern California Press"
343,"Kozloff, E. N. (1983). Seashore Life of the Northern Pacific Coast: An Illustrated Guide to Northern California, Oregon, Washington, and British Columbia. University of Washington Press."
344,"Bücking, Jens. 1998. Investigations on the feeding habits of the rocky-shore mite hyadesia fusca (acari: astigmata : hyadesiidae): diet range, food preference, food quality, and the implications for distribution patterns jens bricking. Helgol√§nder Meeresuntersuchungen. 52. 159-177"
346,"Krantz, G. W.. 1973. Four new predatory species of halacaridae (acari: prostigmata) from oregon, with remarks on their distribution in the intertidal mussel habitat (pelecypoda : mytilidae1). Annals of the Entomological Society of America. 66. 5. 975-985. 10.1093/aesa/66.5.975"
347,"Wallace, Robert L.; Snell, Terry W.; Ricci, Claudia; Nogrady, Thomas. 2006. Rotifera, vol. 1: biology, ecology and systematics. Backhuys"
348,"Beeler, Heather E. 2009. Community succession in macroalgal wrack: implications for prey resources of breeding western snowy plovers (charadrius alexandrinus nivosus) on northern california beaches.. Humboldt State University"
349,"Robles, Carlos. 1982. Disturbance and predation in an assemblage of herbivorous diptera and algae on rocky shores. Oecologia. 54. 1. 23-31. 10.1007/BF00541103"
350,"Robles, Carlos D.; Cubit, John. 1981. Influence of biotic factors in an upper intertidal community: dipteran larvae grazing on algae. Ecology. 62. 6. 1536-1547. 10.2307/1941510"
351,"Topp, Werner; Ring, Richard A.. 1988. Adaptations of coleoptera to the marine environment. Ii. Observations on rove beetles (staphylinidae) from rocky shores. Canadian Journal of Zoology. 66. 11. 2469-2474. 10.1139/z88-366"
352,"Vance, R. R. (1972). Competition and Mechanism of Coexistence in Three Sympatric of Intertidal Hermit Crabs. Ecology, 53(6), 1062–1074. https://doi.org/10.2307/1935418"
353,"Demetropoulos, C. L.; Braithwaite, L. F.; Maurer, B. A.; Whiting, D.. 1990. Foraging and dietary strategies of two sublittoral cottids, jordania zonope and artedius harringtoni. Journal of Fish Biology. 37. 1. 19-32. 10.1111/j.1095-8649.1990.tb05923.x"
354,"Cook, Amy Elizabeth. 1998. The feeding biology of juvenile cottids. University of California Irvine"
355,"Clemens, W A; Wilby, G V. 1961. Fishes of the pacific coast of canada. Fisheries Research Board of Canada"
357,"North, W. J., & Hubbs, C. L. (1968). Observations on the food of kelp forest fishes. In: Fish Bulletin 139. Utilization of Kelp-Bed Resources in Southern California. https://escholarship.org/uc/item/22w5w2zp"
358,"Logothetis, E. A.; Horn, M. H.; Dickson, K. A.. 2001. Gut morphology and function in atherinops affinis (teleostei: atherinopsidae), a stomachless omnivore feeding on macroalgae. Journal of Fish Biology. 59. 5. 1298-1312. 10.1111/j.1095-8649.2001.tb00193.x"
359,"Setran, Aaron Carr; Behrens, David W.. 1993. Transitional ecological requirements for early juveniles of two sympatric stichaeid fishes,cebidichthys violaceus andxiphister mucosus. Environmental Biology of Fishes. 37. 4. 381-395. 10.1007/BF00005205"
360,"Horn, M. H.; Murray, S. N.; Edwards, T. W.. 1982. Dietary selectivity in the field and food preferences in the laboratory for two herbivorous fishes (cebidichthys violaceus and xiphister mucosus) from a temperate intertidal zone. Marine Biology. 67. 3. 237-246. 10.1007/BF00397664"
361,"Johnson, Clifford Ray. 1968. Food of the buffalo sculpin, enophrys bison. Journal of the Fisheries Research Board of Canada. 25. 4. 807-812. 10.1139/f68-072"
361,"Grossman, Gary D.. 1986. Food resource partitioning in a rocky intertidal fish assemblage. Journal of Zoology. 1. 2. 317-355. 10.1111/j.1096-3642.1986.tb00642.x"
362,"Brodeur, Richard D; Livingston, Patricia A. 1988. Food habits and diet overlap of various eastern bering sea fishes. Resource Ecology and Fisheries Management Division Northwest and Alaska Fisheries Center; National Marine Fisheries Service National Oceanic and Atmospheric Administration"
363,"Cogliati, K. M.; Danukarjanto, C.; Pereira, A. C.; Lau, M. J.; Hassan, A.; Mistakidis, A. F.; Bolker, B. M.; Neff, B. D.; Balshine, S.. 2015. Diet and cannibalism in plainfin midshipman porichthys notatus. Journal of Fish Biology. 86. 4. 1396-1415. 10.1111/jfb.12649"
364,"Crane, Jules M.. 1981. Feeding and growth by the sessile larvae of the teleost porichthys notatus. Copeia. 1981. 4. 895. 10.2307/1444196"
365,"McAdams, Timothy R; Kroll, Gigi; Loehr, Keith. 1992. The feeding preferences of the sculpins, scorpaenichthys marmoratus and leptocottus armatus, between sand crangon and small-eyed shrimp, crangon nigricauda and heptacarpus cf. carinatus. Bulletin of the Southern California Academy of Sciences. 91. 1. 44-48"
366,"Fauchald, Kristian; Jumars, Peter A. 1979. The diet of worms: a study of polychaete feeding guilds. Oceanography and Marine Biology, Annual Review. 17. 193-284"
367,"Bueno, M.; Dena-Silva, S.A.; Flores, A.A.V.; Leite, F.P.P.. 2015. Effects of wave exposure on the abundance and composition of amphipod and tanaidacean assemblages inhabiting intertidal coralline algae. Journal of the Marine Biological Association of the United Kingdom. 7-Jan. 10.1017/S002531541500123X"
369,"Burch, J. Q., & California, C. C. of S. (1945). Distributional list of the west American marine mollusks from San Diego, California, to the Polar Sea: Vol. no.55-63=pt.2:v.2 Gastropoda (1945-1946) (pp. 1–462). https://doi.org/10.5962/bhl.title.100019"
370,"Strickler, J. R.. 1985. Feeding currents in calanoid copepods: two new hypotheses. Symposia of the Society for Experimental Biology. 39. 459-485"
371,"Kleppel, G. S.. 1993. On the diets of calanoid copepods. Marine Ecology Progress Series. 99. 2-Jan. 183-195"
372,"Plyuscheva, Maria; Martin, Daniel; Britayev, Temir. 2010. Diet analyses of the scale-worms lepidonotus squamatus and harmothoe imbricata (polychaeta, polynoidae) in the white sea. Marine Biology Research. 6. 3. 271-281. 10.1080/17451000903334694"
373,"Wicksten, Mary K.. 2011. Decapod crustacea of the californian and oregonian zoogeographic provinces"
374,"Zilz, Z. L., Copeland, S., & Young, H. S. (2023). Consistent foraging on marine resources by coyotes (Canis latrans) on the Southern California coast. Food Webs, 37, e00311. https://doi.org/10.1016/j.fooweb.2023.e00311"
375,"Dunne, Jennifer A.; Maschner, Herbert; Betts, Matthew W.; Huntly, Nancy; Russell, Roly; Williams, Richard J.; Wood, Spencer A.. 2016. The roles and impacts of human hunter-gatherers in north pacific marine food webs. Scientific Reports. 6. 1. 21179. 10.1038/srep21179"
376,"Wood, S. A.; Russell, R.; Hanson, D.; Williams, R. J.; Dunne, J. A.. 2015. Effects of spatial scale of sampling on food web structure. Ecology and Evolution. 5. 17. 3769-82. 10.1002/ece3.1640"
377,"Dewey, T. 2009. ""Tringa semipalmata"" (On-line), Animal Diversity Web. Accessed May 29, 2024 at https://animaldiversity.org/accounts/Catoptrophorus_semipalmatus/"
378,"Hom, Calvin W.. 1983. Foraging ecology of herons in a southern san francisco bay salt marsh. Colonial Waterbirds. 6. 37-44. 10.2307/1520965"
379,"Butler, Robert William. 1991. Habitat selection and time of breeding in the great blue heron, (ardea herodias). University of British Columbia"
380,"Carney, Brooke; Tessler, David; Coletti, Heather; Welker, Jeffrey M.; Causey, Douglas. 2023. Stable isotope-determined diets of black oystercatchers haematopus bachmani in the northern gulf of alaska. Marine Ornithology. 51. 123-135"
382,"Hartwick, E. B. (1976). Foraging strategy of the black oyster catcher (Haematopus bachmani Audubon). Canadian Journal of Zoology, 54(2), 142–155. https://doi.org/10.1139/z76-015"
383,"Falxa, G. A. (1992). Prey choice and habitat use by foraging Black Oystercatchers: Interactions between prey quality, habitat availability, and age of bird. https://hdl.handle.net/2027/uc1.x48193"
384,"Lindberg, David R.; Warheit, Kenneth I.; Estes, James A.. 1987. Prey preference and seasonal predation by oystercatchers on limpets at san nicolas island, california, usa. Marine Ecology Progress Series. 39. 2. 105-113"
385,"Sander, Elizabeth L.; Wootton, J. Timothy; Allesina, Stefano. 2015. What can interaction webs tell us about species roles?. PLOS Computational Biology. 11. 7. e1004330. 10.1371/journal.pcbi.1004330"
386,"Ching, Hilda Lei. 1991. Lists of larval worms from marine invertebrates of the pacific coast of north america. Journal of the Helminthological Society of Washington. 58. 1. 57-68"
387,"Ching, Hilda Lei; Grosholz, Edwin D.. 1988. Occurrence of a metacercaria (trematoda: gymnophallidae) in acmaeid gastropods, lottia digitalis and ""collisella"" scabra. Proceedings of the Helminthological Society of Washington. 55. 1. 107-108"
388,"Ching, Hilda Lei. 1960. Some digenetic trematodes of shore birds at friday harbor, washington. Proceedings of the Helminthological Society of Washington. 27. 1. 53-62"
389,"Park, James. 1935. New trematodes from birds: plagiorchis noblei (plagiorchidae) from agelaius phoeniceus californicus; galactosomum humbargari (heterophidae) from larus californicus. University of the Pacific Theses and Dissertations. 13"
390,"Young, R. T.. 1949. A note concerning certain microphallid trematodes infecting shore birds (limosa fedoa and catoptrophorus semipalmatus inornatus) with description of a new species (levinseniella charadriformis). The Journal of Parasitology. 35. 4. 353-357. 10.2307/3273421"
391,"Duerr, Frederick G. 1965. Survey of digenetic trematode parasitism in some prosobranch gastropods of the cape arago region, oregon. The Veliger. 8. 42"
392,"Tangren, Gerald V. 1982. Feeding behavior of crows and gulls on a puget sound beach. Western Birds. 13. 4-Jan. 12-Jan"
393,"Kent, Donald M.. 1986. Behavior, habitat use, and food of three egrets in a marine habitat. Colonial Waterbirds. 9. 1. 25-30. 10.2307/1521140"
394,"Frank, Peter W.. 1982. Effects of winter feeding on limpets by black oystercatchers, haematopus bachmani. Ecology. 63. 5. 1352-1362. 10.2307/1938863"
395,"Stenzel, Lynne E.; Huber, Harriet R.; Page, Gary W.. 1976. Feeding behavior and diet of the long-billed curlew and willet. The Wilson Bulletin. 88. 2. 314-332"
396,"Connors, Carolyn Sue. Foraging ecology of black turnstones and surfbirds on their wintering grounds at Bodega Bay, California. University of California, Berkeley, 1977."
397,"Martin, P. D.. 1993. Effects of the exxon valdez oil spill on migrant shorebirds using rocky intertidal habitats of prince william sound, alaska, during spring, 1989. Exxon valdez oil spill state/federal natural resource damage assessment final report. Fish and Wildlife Service, Anchorage, AK (United States). Migratory Bird Management"
398,"Norton, D. W., Senner, S. E., Jr, R. E. G., Martin, P. D., Wright, J. M., & Fukuyama, A. K. (1990). Shorebirds and herring roe in Prince William Sound, Alaska. American Birds, 44(3), 367–508."
399,"Marsh, Christopher P. 1983. The role of avian predators in an oregon rocky intertidal community. Oregon State University"
400,"Horn, M. H., P. A. Cole and W. E. Loeffler. (1996b). Prey resource base of the tern and skimmer colonies at Bolsa Chica Ecological Reserve, Orange County, and the Western Salt Works, South San Diego Bay. Carlsbad, CA: U.S. Fish and Wildl. Serv."
401,"Feeding ecology of four species of sandpipers in western washington. Diss. University of washington, 1966."
402,"Holmberg, Nevin D.. 1975. The ecology of seven species of shorebirds (charadrii) in north humboldt bay, california - 1970 to 1971. Humboldt State University"
403,"Recher, Harry F.. 1966. Some aspects of the ecology of migrant shorebirds. Ecology. 47. 3. 393-407. 10.2307/1932979"
404,"Stenzel, L. E., G. W. Page and J. Young. (1983). The trophic relationships between shorebirds and their prey. Stinson Beach, CA: Point Reyes Bird Observ."
405,"McLellan, Nicolas R.; Shutler, Dave. 2009. Sources of food delivered to ring-billed, herring and great black-backed gull chicks in marine environments. Waterbirds. 32. 4. 507-513. 10.1675/063.032.0403"
406,"Ellis, Julie C.; Shulman, Myra J.; Wood, Megan; Witman, Jon D.; Lozyniak, Sara. 2007. Regulation of intertidal food webs by avian predators on new england rocky shores. Ecology. 88. 4. 853-863. 10.1890/06-0593"
407,"Vermeer, Kees; Szabo, Ddy; Greisman, Paul. 1987. The relationship between plankton-feeding bonaparte's and mew gulls and tidal upwelling at active pass, british columbia. Journal of Plankton Research. 9. 3. 483-501. https://doi.org/10.1093/plankt/9.3.483"
408,"Vermeer, Kees; Devito, Kevin. 1986. The nesting biology of mew gulls (larus canus) on kennedy lake, british columbia, canada: comparison with mew gulls in northern europe. Colonial Waterbirds. 9. 1. 95-103. 10.2307/1521148"
409,"Elphick, C. S. and T. L. Tibbitts (2020). Greater Yellowlegs (Tringa melanoleuca), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy.library.ucsb.edu/10.2173/bow.greyel.01"
410,"Dierks, Ann Jennifer. 1990. Parental care and diet of california gull (larus californicus) chicks at alviso, california. San Jose State University"
411,"Baltz, D. M., & Morejohn, G. V. (1977). Food Habits and Niche Overlap of Seabirds Wintering on Monterey Bay, California. The Auk, 94(3), 526–543."
412,"Storer, R. W. (2000). The metazoan parasite fauna of grebes (Aves: Podicipediformes) and its relationship to the birds' biology. Miscellaneous Publications-Museum of Zoology, University of Michigan, 188."
413,"Takekawa, J. Y. and N. D. Warnock (2020). Long-billed Dowitcher (Limnodromus scolopaceus), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy.library.ucsb.edu/10.2173/bow.lobdow.01"
413,"Reeder, William G.. 1951. Stomach analysis of a group of shorebirds. The Condor. 53. 1. 43-45. 10.2307/1364586"
414,"Weseloh, D. V., C. E. Hebert, M. L. Mallory, A. F. Poole, J. C. Ellis, P. Pyle, and M. A. Patten (2020). Herring Gull (Larus argentatus), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy.library.ucsb.edu/10.2173/bow.hergul.01"
414,"Robertson, Ian. 1974. The food of nesting double-crested and pelagic cormorants at mandarte island, british columbia, with notes on feeding ecology. The Condor. 76. 3. 346-348. 10.2307/1366353"
415,"Ainley, David G.; Anderson, Daniel W.; Kelly, Paul R.. 1981. Feeding ecology of marine cormorants in southwestern north america. The Condor. 83. 2. 120-131. 10.2307/1367418"
415,"Parsons, K. C. and T. L. Master (2020). Snowy Egret (Egretta thula), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy.library.ucsb.edu/10.2173/bow.snoegr.01"
416,"Ainley, David G.. 1990. Seabirds of the farallon islands: ecology, dynamics, and structure of an upwelling-system community. Stanford University Press"
416,"Ainley, D. G., G. S. Strong, T. M. Penniman, and R. J. Boekelheide (1990). The feeding ecology of Farallon seabirds. In Seabirds of the Farallon Islands: Ecology, Dynamics, and Structure of an Upwelling-System Community (D. G. Ainley and R. J. Boekelheide, Editors), Stanford University Press, Stanford, CA, USA. pp. 51‚Äì127."
417,"Snellen, C.L.; Hodum, P.J.; Fernández-Juricic, E.. 2007. Assessing western gull predation on purple sea urchins in the rocky intertidal using optimal foraging theory. Canadian Journal of Zoology. 85. 2. 221-231. 10.1139/z06-203"
418,"Pierotti, Raymond; Annett, Cynthia. 2001. The ecology of western gulls in habitats varying in degree of urban influence. Avian Ecology and Conservation in an Urbanizing World. Springer US. 307-329"
419,"Pierotti, R.J., C. A. Annett, S. A. Shaffer, and D. M. Devincenzi (2024). Western Gull (Larus occidentalis), version 2.0. In Birds of the World (N. D. Sly and B. K. Keeney, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy.library.ucsb.edu/10.2173/bow.wesgul.02"
420,"Anderson, E. M., R. D. Dickson, E. K. Lok, E. C. Palm, J.-P. L. Savard, D. Bordage, and A. Reed (2020). Surf Scoter (Melanitta perspicillata), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy.library.ucsb.edu/10.2173/bow.sursco.01"
421,"Crane, J. M. (1969). Mimicry of the gastropod mitrella carinata by the amphipod pleustes platypa. The Veliger, 12, 200–200."
422,"Thiel, M. (1999). Host-use and population demographics of the ascidian-dwelling amphipod Leucothoe spinicarpa: Indication for extended parental care and advanced social behaviour. Journal of Natural History, 33(2), 193–206. https://doi.org/10.1080/002229399300371"
423,"Guzman, Hector M.; Obando, Vilma L.; Brusca, Richard C.; Delaney, Paul M.. 1988. Aspects of the population biology of the marine isopod excorallana tricornis occidentalis richardson, 1905 (crustacea: isopoda: corallanidae) at cano island, pacific costa rica. Bulletin of Marine Science. 43. 1. 77-87"
424,"Segal, Earl. 1987. Behavior of juvenile nerocila acuminata (isopoda, cymothoidae) during attack, attachment and feeding on fish prey. Bulletin of Marine Science. 41. 2. 351-360"
425,"Brusca, Richard C.. 1981. A monograph on the isopoda cymothoidae (crustacea) of the eastern pacific. Zoological Journal of the Linnean Society. 73. 2. 117-199. 10.1111/j.1096-3642.1981.tb01592.x"
426,"Negromonte, Aurinete Oliveira; Lucatelli, Debora; Paiva, Ricardo José de Carvalho; Souza-Filho, Jesser F.. 2022. Three new species of the genus cleantioides kensley and kaufman, 1978 (isopoda: valvifera) from brazil, with new record of the family holognathidae from brazil. Journal of Natural History. 56. 13-16. 923‚Äì941. 10.1080/00222933.2022.2056538"
427,"Müller, Hans-Georg. 1988. The genus gnathia leach (isopoda) from the santa marta area, northern colombia, with a review of gnathiidea from the caribbean sea and gulf of mexico. 10.1163/26660644-05801008"
428,"Penfold, R; Grutter, As; Kuris, Am; McCormick, Mi; Jones, Cm. 2008. Interactions between juvenile marine fish and gnathiid isopods: predation versus micropredation. Marine Ecology Progress Series. 357. 111-119. 10.3354/meps07312"
429,"Herberholz, J.; Schmitz, B.. 1998. Role of mechanosensory stimuli in intraspecific agonistic encounters of the snapping shrimp (alpheus heterochaelis). The Biological Bulletin. 195. 2. 156-167. 10.2307/1542823"
430,"MacGinitie, G. E.. 1937. Notes on the natural history of several marine crustacea. The American Midland Naturalist. 18. 6. 1031-1037. 10.2307/2420601"
431,"MacGinitie, G. E.; MacGinitie, Nettie. 1968. Natural history of marine animals. McGraw-Hill"
432,"Hazlett, Brian A.. 1962. Aspects of the biology of snapping shrimp (alpheus and synalpheus). 10.1163/156854062X00094"
433,"Bauer, R. T. (2023). Symbioses. In R. T. Bauer (Ed.), Shrimps: Their Diversity, Intriguing Adaptations and Varied Lifestyles (pp. 515–581). Springer International Publishing. https://doi.org/10.1007/978-3-031-20966-6_10"
434,"Moore, P. g. (1992). A study on amphipods from the superfamily Stegocephaloidea Dana 1852 from the northeastern Pacific region: Systematics and distributional ecology. Journal of Natural History, 26(5), 905–936. https://doi.org/10.1080/00222939200770551"
435,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon, Completely Revised and Expanded (4th ed.)."
436,"Morris, R. H., Abbott, D. P., & Haderlie, E. C. (1980). Intertidal invertebrates of California. Stanford University Press."
437,"Lindsay, T., & Valdés, Á. (2016). The Model Organism Hermissenda crassicornis (Gastropoda: Heterobranchia) Is a Species Complex. PLOS ONE, 11(4), e0154265. https://doi.org/10.1371/journal.pone.0154265"
