Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Title,Publisher,Place,
2004,"Malaquias, Manuel António E.; Condinho, Silvia; Cervera, Juan L.; Sprung, Martin",Diet and feeding biology of <i>Haminoea orbygniana </i>(Mollusca: Gastropoda: Cephalaspidea),Journal of the Marine Biological Association of the United Kingdom,,"1469-7769, 0025-3154",10.1017/S0025315404009890h,https://www.cambridge.org/core/journals/journal-of-the-marine-biological-association-of-the-united-kingdom/article/diet-and-feeding-biology-of-haminoea-orbygniana-mollusca-gastropoda-cephalaspidea/43A55626E67E9BC29DA709A163682F4B,"The diet and functional biology of the digestive system of the cephalaspidean gastropod Haminoea orbygniana was investigated by gut content analysis of animals collected in the Ria Formosa, a coastal lagoon in southern Portugal. The results show that this species is herbivorous, stenophagic and probably non-selective, feeding mainly on diatoms (67·61%) and occasionally on vegetal detritus (4·16%) and Foraminifera (0·04%), but also including sand grains as an important part of the gut contents (28·34%). The role of the gizzard plates in the fragmentation of diatom frustules was demonstrated and is discussed. Data reveal that this process, although possibly important for the digestion and assimilation of food, seems not to be crucial. The role of sand as an additional food source and as an accessory tool complementary to the gizzard plates is discussed. A general review of the diet within the family Haminoeidae is presented, with all recent work indicating that they feed on diatoms and green algae.",2004-08,767-772,,4,84,,,Diet and feeding biology of Haminoea orbygniana (Mollusca,,,,,,"Malaquias, M. A. E., Condinho, S., Cervera, J. L., & Sprung, M. (2004). Diet and feeding biology of Haminoea orbygniana (Mollusca: Gastropoda: Cephalaspidea). Journal of the Marine Biological Association of the United Kingdom, 84(4), 767–772. https://doi.org/10.1017/S0025315404009890h"
1983,"Marsh, Christopher P",The role of avian predators in an Oregon rocky intertidal community,,,,,,,1983,,,,,,,,,,,Oregon State University,,"Marsh, C. P. (1983). The role of avian predators in an Oregon rocky intertidal community [PhD]. Oregon State University."
2007,"Martin, Joel W.; Carlton, James T.; Hessler, Robert; Belk, Denton; Cohen, Anne C.; Peterson, Dawn E.; Maddocks, Rosalie F.; Cordell, Jeffery R.; Kuris, Armand M.; Newman, William A.; Haney, Todd A.; Vetter, Eric W.; Modlin, Richard F.; Watling, Les; Brusca, Richard C.; Coelho, Vânia R.; Taiti, Stefano; Chapman, John W.; Bousfield, Edward L.; Bowers, Darl E.; Lavaniegos, Bertha E.; Caldwell, Roy L.; Quetin, Langdon; Ross, Robin; Sadeghian, Patricia S.; Campos, Ernesto; Child, C. Allan; Hedhpeth, Joel W.; Newell, Irwin M.; Bartsch, Ilse; Lee, Vincent F.; Daly, Howell V.; Strum, Helmut; Christiansen, Kenneth; Bellinger, Howel; Schlinger, Evert I.; White, David; Nelson, Amanda; Hoffman, Richard",Arthropoda,The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon,978-0-520-93043-8,,,https://www.degruyter.com/document/doi/10.1525/9780520930438-031/html,Arthropoda was published in The Light and Smith Manual on page 411.,2007,411-693,,,,,,,,,,University of California Press,,"Martin, J. W., Carlton, J. T., Hessler, R., Belk, D., Cohen, A. C., Peterson, D. E., Maddocks, R. F., Cordell, J. R., Kuris, A. M., Newman, W. A., Haney, T. A., Vetter, E. W., Modlin, R. F., Watling, L., Brusca, R. C., Coelho, V. R., Taiti, S., Chapman, J. W., Bousfield, E. L., … Hoffman, R. (2007). Arthropoda. In The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon (pp. 411–693). University of California Press. https://doi.org/10.1525/9780520930438-031"
1993,"Martin, P. D.","Effects of the Exxon Valdez oil spill on migrant shorebirds using rocky intertidal habitats of Prince William Sound, Alaska, during spring, 1989. Exxon Valdez oil spill state/federal natural resource damage assessment final report",,,,,https://www.osti.gov/biblio/481305,"A minimum of a few 10,000`s of surfbirds (Aphriza virgata) and black turnstones (Arenaria melanocephala) used rocky intertidal habitats of southwestern Prince William sound in spring 1989. Virtually all the shorebirds were found using shorelines, primarily on northern Montague Island, subjectively classified in the field as lightly oiled or unoiled. Surfbirds and black turnstones preyed mainly on herring eggs, blue mussels, and barnacles. Samples of these prey items from oiled areas contained petroleum-derived hydrocarbons, as did at some of the samples from the relatively clean portions of Montague Island. The results of chemical analysis of a small sample of shorebird liver tissues provided only limited support for the hypothesis that shorebirds had ingested significant quantities of petroleum-derived hydrocarbons. Surfbirds and black turnstones probably escaped significant population impacts as a result of the EVOs because shorelines which received heavy use by these species were largely spared contamination.",12/1/93,,,,,,,,,,,"Fish and Wildlife Service, Anchorage, AK (United States). Migratory Bird Management",,"Martin, P. D. (1993). Effects of the Exxon Valdez oil spill on migrant shorebirds using rocky intertidal habitats of Prince William Sound, Alaska, during spring, 1989. Exxon Valdez oil spill state/federal natural resource damage assessment final report (PB-97-155998/XAB; BIRD-STUDY-12-1). Fish and Wildlife Service, Anchorage, AK (United States). Migratory Bird Management. https://www.osti.gov/biblio/481305"
1968,"Mauzey, Karl P.; Birkeland, Charles; Dayton, Paul K.",Feeding behavior of asteroids and escape responses of their prey in the Puget Sound region,Ecology,,1939-9170,,,,1968,603-619,,4,49,,Ecology,,,,,,,"Mauzey, K. P., Birkeland, C., & Dayton, P. K. (1968). Feeding behavior of asteroids and escape responses of their prey in the Puget Sound region. Ecology, 49(4), 603–619."
2017,"Mazariegos-Villarreal, Alejandra; Fierro-Jaúregui, María De Lourdes; León-Cisneros, Karla; Serviere-Zaragoza, Elisa","Diet of the Wavy Turban Snail, <i>Megastraea undosa</i> (Gastropoda: Turbinidae), in Subtropical Rocky Reefs",Pacific Science,,"0030-8870, 1534-6188",10.2984/71.4.9,http://www.bioone.org/doi/10.2984/71.4.9,"The wavy turban snail, Megastraea undosa ( W. Wood), is an important fishery resource along the Mexican Pacific coast and a keystone species in subtropical rocky reefs. Its diet was determined from stomach contents of 125 specimens collected in three rocky reefs of the western coast of the Baja California Peninsula in July and November 2006 and March 2007. The snail consumed 20 taxa of seaweeds, 1 seagrass, and 11 taxa of invertebrates. The diet had significant variation depending on site and date. Main food items were Macrocystis pyrifera, Ecklonia arborea, and Corallina spp. Of secondary importance were red algae of the family Delesseriaceae and the genera Plocamium and Gelidium, the brown alga Stephanocystis osmundacea, the seagrasses Phyllospadix spp., the hydrozoan Dynamena, and the isopod Idotea. Analysis showed that the snail was a ­grazer with a mixed feeding strategy, feeding abundantly on kelp or coralline algae and also consuming many other resources, which was reflected in its variable trophic niche width with a Levins index ranging from 0.21 to 0.79.",2017-10,523-534,,4,71,,Pacific Science,"Diet of the Wavy Turban Snail, <i>Megastraea undosa</i> (Gastropoda",,,,,,"Mazariegos-Villarreal, A., Fierro-Jaúregui, M. D. L., León-Cisneros, K., & Serviere-Zaragoza, E. (2017). Diet of the Wavy Turban Snail, Megastraea undosa (Gastropoda: Turbinidae), in Subtropical Rocky Reefs. Pacific Science, 71(4), 523–534. https://doi.org/10.2984/71.4.9"
1992,"McAdams, Timothy R; Kroll, Gigi; Loehr, Keith","The Feeding Preferences of the Sculpins, <i>Scorpaenichthys marmoratus</i> and <i>Leptocottus armatus</i>, between Sand Crangon and Small-eyed Shrimp, <i>Crangon nigricauda</i> and <i>Heptacarpus</i> cf. <i>carinatus</i>",Bulletin of the Southern California Academy of Sciences,,,,,,1992,44-48,,1,91,,,,,,,,,"McAdams, T. R., Kroll, G., & Loehr, K. (1992). The Feeding Preferences of the Sculpins, Scorpaenichthys marmoratus and Leptocottus armatus, between Sand Crangon and Small-eyed Shrimp, Crangon nigricauda and Heptacarpus cf. Carinatus. Bulletin of the Southern California Academy of Sciences, 91(1), 44–48."
1993,"McAlary, Florence A.","Population Structure and Reproduction of the Fissiparous Seastar, <i>Linckia columbiae </i>Gray, on Santa Catalina Island, California",Third California Islands Symposium,,,,http://dspace.calstate.edu/handle/10139/3393,"Linckia columbiae is a sexual species that also reproduces asexually by ray autotomy. Seventy percent of L. columbiae surveyed at the Catalina Marine Science Center Marine Life Refuge, Santa Catalina Island were regenerating autotomized rays. Autotomy occurred throughout the year with the highest incidence in late summer. The incidence of autotomy correlates with growth, but not gender or depth. Regeneration experiments suggest that 3 yr, or longer, may be required for a single ray to reach the adult stage. Gametogenesis was generally confined to non-regenerating rays. Oocyte production was low and spawning occurred in late summer. Lacking evidence of recent larval recruitment at the study site, population densities and morphometric features of L. columbiae are best explained by continuous asexual reproduction.",1993,233-248,,,,,,,,,,,,"McAlary, F. A. (1993). Population Structure and Reproduction of the Fissiparous Seastar, Linckia columbiae Gray, on Santa Catalina Island, California. Third California Islands Symposium, 233–248."
1971,"McBeth, James W.",Studies on the Food of Nudibranchs,The Veliger,,,,,,1971,158-161,,2,14,,,,,,,,,"McBeth, J. W. (1971). Studies on the Food of Nudibranchs. The Veliger, 14(2), 158–161."
1965,"McCormick, Jon Michael",Some aspects of marine hydroid ecology off Oregon,,,,,,,1965,,,,,,,,,,,Oregon State University,,"McCormick, J. M. (1965). Some aspects of marine hydroid ecology off Oregon [Master of Science]. Oregon State University."
1978,"McDonald, Gary R.; Nybakken, James W.",Additional notes on the food of some California nudibranchs with a summary of known food habits of California species,The Veliger,,,,,,1978,110-119,,1,21,,,,,,,,,"McDonald, G. R., & Nybakken, J. W. (1978). Additional notes on the food of some California nudibranchs with a summary of known food habits of California species. The Veliger, 21(1), 110–119."
2003,"McFadden, Catherine S.; Hochberg, F.g.","Biology and taxonomy of encrusting alcyoniid soft corals in the northeastern Pacific Ocean with descriptions of two new genera (Cnidaria, Anthozoa, Octocorallia)",Invertebrate Biology,,1744-7410,10.1111/j.1744-7410.2003.tb00076.x,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1744-7410.2003.tb00076.x,"Abstract. In this paper we summarize current knowledge of the distribution, ecology, and reproductive biology of 4 encrusting species in the soft coral family Alcyoniidae, with descriptions of 2 new genera and 2 new species. The new genus Discophyton is erected for Alcyonium rudyi, a species common in the lower intertidal of exposed rocky headlands from Vancouver Island, British Columbia, Canada south to Point Lobos, California, USA. Discophyton rudyi n. gen. & n. comb. propagates extensively by clonal fission, giving rise to characteristic aggregations of small, regularly spaced, disc-shaped colonies. We describe 2 new species and place them in a new genus, Thrombophyton. Thrombophyton coronatum n. gen. & n. sp. forms irregularly shaped, membranous colonies on rock surfaces; it occurs subtidally along the southern California coast from the Palos Verdes Peninsula to San Diego and on the California Islands. Thrombophyton trachydermum n. gen. & n. sp. has a similar, membranous growth form; it occurs both intertidally and subtidally on Vancouver Island, British Columbia, Canada, and in the San Juan Archipelago, Washington, and intertidally in central California, USA. Alcyonium pacificum, reported for the first time from North American waters, occurs in subtidal kelp beds around the Aleutian islands of Attu and Adak; its mushroom-shaped colonies are raised above the substrate on a short stalk. D. rudyi, T. trachydermum, and A. pacificum are all gonochores that reproduce in late summer; in contrast, T. coronatum appears to reproduce in the spring. D. rudyi and T. coronatum brood larvae internally to a late planula stage. A key to species is presented for all shallow-water soft corals known to occur in the northeastern Pacific Ocean.",2003,93-113,,2,122,,,,,,,,,"McFadden, C. S., & Hochberg, F. g. (2003). Biology and taxonomy of encrusting alcyoniid soft corals in the northeastern Pacific Ocean with descriptions of two new genera (Cnidaria, Anthozoa, Octocorallia). Invertebrate Biology, 122(2), 93–113. https://doi.org/10.1111/j.1744-7410.2003.tb00076.x"
2009,"McLellan, Nicolas R.; Shutler, Dave","Sources of Food Delivered to Ring-Billed, Herring and Great Black-Backed Gull Chicks in Marine Environments",Waterbirds,,"1524-4695, 1938-5390",10.1675/063.032.0403,https://bioone.org/journals/waterbirds/volume-32/issue-4/063.032.0403/Sources-of-Food-Delivered-to-Ring-Billed-Herring-and-Great/10.1675/063.032.0403.full,"Beginning in the 1960s, Ring-billed Gulls' (Larus delawarensis) historic breeding range expanded from inland habitats and freshwater wetlands to marine sites in Atlantic North America. Adults winter on salt water but salt tolerance may entail costs (e.g. maintenance of salt glands) and favor reduced parental use of marine resources for feeding chicks. Diets of Ring-billed Gull chicks nesting on a marine island off Prince Edward Island, Canada, were investigated using soft regurgitant collection and stable isotope (δ13C and δ15N) analysis of both regurgitants and blood samples. Isotopic signatures in blood of chicks of Ring-billed and sympatrically-nesting Herring (L. argentatus) and Great Black-backed Gulls (L. marinus) were also compared. Regurgitants of Ring-billed Gull chicks contained freshwater/ terrestrial and marine invertebrates and fish. A stable isotope mixing model incorporating both δ13C and δ15N in chick regurgitants and blood estimated that 42.2% of Ring-billed Gull chick diet came from the marine environment, whereas estimates from blood for Herring and Great Black-backed Gulls were 43.6%, and 73.5%, respectively. Further, differences existed among gull species in estimates for dietary contribution from various food sources from marine and terrestrial/freshwater environments. Although Ring-billed Gulls can use marine food sources to feed their young, whether salt in marine food imposes a physiological cost on these young in comparison to young reared exclusively on non-marine foods is unclear.",2009-12,507-513,,4,32,,cowa,,,,,,,"McLellan, N. R., & Shutler, D. (2009). Sources of Food Delivered to Ring-Billed, Herring and Great Black-Backed Gull Chicks in Marine Environments. Waterbirds, 32(4), 507–513. https://doi.org/10.1675/063.032.0403"
1972,"Menge, Bruce A.",Competition for Food between Two Intertidal Starfish Species and its Effect on Body Size and Feeding,Ecology,,1939-9170,10.2307/1934777,https://onlinelibrary.wiley.com/doi/abs/10.2307/1934777,"Two predaceous intertidal starfish that overlap broadly with respect to food, space, and time were found to compete for a limited food supply in the San Juan Islands, Washington State. The experiment involved complete removal of a larger (up to 600 g average wet weight) starfish (Pisaster ochraceus) from a small island—reef and addition of them to a second island—reef while a third reef served as a control. In response to Pisaster removal, the mean individual wet weight of the smaller (maximum size = 45 g wet weight) asteroid (Leptasterias hexactis) increased significantly in 15 months. Addition of Pisaster resulted in a significant decrease in Leptasterias size; no change in average Leptasterias size was observed on the control reef. A highly significant inverse correlation between the estimated biomass densities (wet weight/m2) of the two species at 10 areas suggests that competition is widespread and that the species are generally in competitive equilibrium. A major consequence of the small size of Leptasterias is an apparent inability to capture larger prey. Coexistence seems based upon 'specialization' by each predator on different—sized prey. Evidently, reduced competition stress results in an increase in Leptsterias's community role as a predator. Conversely, when competition is severe, the community role of Leptasterias appears unimportant.",1972,635-644,,4,53,,,,,,,,,"Menge, B. A. (1972). Competition for Food between Two Intertidal Starfish Species and its Effect on Body Size and Feeding. Ecology, 53(4), 635–644. https://doi.org/10.2307/1934777"
1974,"Menge, Jane Lubchenco","Prey selection and foraging period of the predaceous rocky intertidal snail, <i>Acanthina punctulata</i>",Oecologia,,1432-1939,10.1007/BF00345748,https://doi.org/10.1007/BF00345748,"The diet and foraging period of the neogastropod Acanthina punctulata were investigated in order to test various aspects of recent optimal foraging strategy models. This intertidal snail is an actively searching predator which preys on snails and barnacles by boring a hole in the shell and rasping out the flesh. Unlike many gastropod predators, Acanthina drill its gastropod prey at a very specific location on the columella, the thickest portion of the shell.",12/1/74,293-316,,4,17,,Oecologia,,,,,,,"Menge, J. L. (1974). Prey selection and foraging period of the predaceous rocky intertidal snail, Acanthina punctulata. Oecologia, 17(4), 293–316. https://doi.org/10.1007/BF00345748"
1974,"Menge, Jane Lubchenco; Menge, Bruce A.","Role of resource allocation, aggression and spatial heterogeneity in coexistence of two competing intertidal starfish",Ecological Monographs,,1557-7015,,,,1974,189-209,,2,44,,Ecol Monogr,,,,,,,"Menge, J. L., & Menge, B. A. (1974). Role of resource allocation, aggression and spatial heterogeneity in coexistence of two competing intertidal starfish. Ecological Monographs, 44(2), 189–209."
1986,"Miles, A. Keith",Turf assemblage of a <i>Macrocystis </i>kelp forest: experiments on competition and herbivory,,,,,,,1986,,,,,,,Turf assemblage of a Macrocystis kelp forest,,,,Oregon State University,,"Miles, A. K. (1986). Turf assemblage of a Macrocystis kelp forest: Experiments on competition and herbivory [PhD]. Oregon State University."
1972,"Miller, Daniel J.; Lea, Robert N.",Guide To The Coastal Marine Fishes of California,Fish Bulletin,,,,https://escholarship.org/uc/item/6s04v367,"This is a comprehensive identification guide encompassing all shallow marine fishes within California waters.Geographic range limits, maximum size, depth range, a brief color description, and some meristic counts including, if available: fin ray counts, lateral line pores, lateral line scales, gill rakers, and vertebrae are given. Body proportions and shapes are used in the keys and a statement concerning the rarity or commonness in California is given for each species.In all, 554 species are described. Three of these have not been recorded or confirmed as occurring in California waters but are included since they are apt to appear. The remainder have been recorded as occurring in an area between the Mexican and Oregon borders and offshore to at least 50 miles. Five of California species as yet have not been named or described, and ichthyologists studying these new forms have given information on identification to enable inclusion here. A dichotomous key to 144 families includes an outline figure of a representative for all but two families. Keys are presented for all larger families, and diagnostic features are pointed out on most of the figures. Illustrations are presented for all but eight species.of the 554 species, 439 are found primarily in depths less than 400 ft., 48 are meso- or bathypelagic species, and 67 are deepwater bottom dwelling forms rarely taken in less than 400 ft. depth. The deepwater forms included are those taken in commercial trawling gear or that occasionally occur near the surface.An illustrated glossary is included to facilitate use of the identification keys and species descriptions. A comments section presents in detail reasons for certain taxonomic choices and to acknowledge personal communications.Original data presented include a ventral sensory pore pattern key for the skates, 170 geographic range limit extensions, and several depth range and maximum size records. Many of the family keys have been revised to incorporate recent taxonomic changes and to clarify previously ambiguous terminology.",12/1/72,,,,157,,,,,,,,,"Miller, D. J., & Lea, R. N. (1972). Guide To The Coastal Marine Fishes of California. Fish Bulletin, 157. https://escholarship.org/uc/item/6s04v367"
1968,"Miller, Richard L.",Some Observations on the Ecology and Behavior of <i>Lucapinella callomarginata</i>,The Veliger,,,,https://www.biodiversitylibrary.org/partpdf/93511,,1968,130 - 132,,2,11,,,,,,,,,"Miller, R. L. (1968). Some Observations on the Ecology and Behavior of Lucapinella callomarginata. The Veliger, 11(2), 130–132."
2000,"Mills, Claudia E.","The life cycle of <i>Halimedusa typus</i>, with discussion of other species closely related to the family Halimedusidae (Hydrozoa, Capitata, Anthomedusae)",Scientia Marina,,1886-8134,10.3989/scimar.2000.64s197,https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/796,"The little-known Anthomedusa Halimedusa typus has been collected from several locations in California, Oregon, and British Columbia on the Pacific coast of the United States. The adult medusa is redescribed based on new observations of living material and is found to have capitate tentacles. Polyps of H. typus were raised several times after spawning field-collected medusae in the laboratory; the cultures on one occasion lived for more than a year. The capitate polyp is solitary and very tiny, emerging from a basal perisarc measuring 200-300 µm in diameter. One cultured polyp produced a medusa, which is described. The taxonomic positions of several other morphologically-similar Anthomedusae in the Capitata are compared and discussed here. Tiaricodon coeruleus and Urashimea globosa are moved from the Polyorchidae to the Halimedusidae, and the similarity of Boeromedusa auricogonia (Boeromedusidae) to all of these medusae and to the genera Polyorchis, Scrippsia and Spirocodon of the family Polyorchidae is considered. The group of species under consideration is basically restricted to the Pacific Ocean, except for T. coeruleus and U. globosa, which have also been collected in the south Atlantic and south Atlantic/Antarctic. It is noted that medusae of the Halimedusidae are typically found quiescent near the surface, whereas those of the Polyorchidae either rest on the bottom or must continue pulsating to stay up in the water column, indicating a basic underlying difference in buoyancy and resultant behavior between the medusae in these two families.",12/30/00,97-106,,S1,64,,,,,,,,,"Mills, C. E. (2000). The life cycle of Halimedusa typus, with discussion of other species closely related to the family Halimedusidae (Hydrozoa, Capitata, Anthomedusae). Scientia Marina, 64(S1), Article S1. https://doi.org/10.3989/scimar.2000.64s197"
2007,"Mills, Claudia E.; Maeques, Antonio C.; Migotto, Alvaro E.; Calder, Dale R.; Hand, Cadet; Rees, John T.; Haddock, Steven H. D.; Dunn, Casey W.; Pugh, Philip R.; Larson, Roland J.; Fautin, Daphne G.; Williams, Gary C.",Cnidaria,The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon,978-0-520-93043-8,,,https://www.degruyter.com/document/doi/10.1525/9780520930438-014/html,Cnidaria was published in The Light and Smith Manual on page 118.,2007,118-188,,,,,,,,,,University of California Press,,"Mills, C. E., Maeques, A. C., Migotto, A. E., Calder, D. R., Hand, C., Rees, J. T., Haddock, S. H. D., Dunn, C. W., Pugh, P. R., Larson, R. J., Fautin, D. G., & Williams, G. C. (2007). Cnidaria. In The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon (pp. 118–188). University of California Press. https://doi.org/10.1525/9780520930438-014"
2023,"Mills, Claudia E.; Westlake, Hannah; Hirano, Yayoi M.; Miranda, Lucília S.","Description of a common stauromedusa on the Pacific Coast of the United States and Canada, <i>Haliclystus sanjuanensis</i> new species (Cnidaria: Staurozoa)",PeerJ,,2167-8359,10.7717/peerj.15944,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10512941/,"Haliclystus “sanjuanensis” nomen nudum is the most common staurozoan on the west coast of the United States and Canada. This species was described in the M.S. Thesis by Gellermann (1926) and although that name has been in use nearly continuously since that time, no published description exists. Furthermore, the most popular operative name for this species has varied between several related species names over time, resulting in confusion. Herein, we provide a detailed description and synonymy of Haliclystus sanjuanensis n. sp., whose distribution is verified from Unalaska Island in the Aleutians (53.4° N, 166.8° W) in the northwest, to Santa Barbara County, California, just north of Point Conception (34.5° N, 120.5° W), in the south. Haliclystus sanjuanensis n. sp. is compared with the twelve other described species of Haliclystus and illustrations of both macroscopic and microscopic anatomy are provided. Haliclystus sanjuanensis n. sp. is unique among species of Haliclystus in the arrangement of the bright-white nematocyst spots in its calyx and the pattern of dark stripes running the length of the stalk and up the outside of the calyx.",9/18/23,e15944,,,11,,PeerJ,"Description of a common stauromedusa on the Pacific Coast of the United States and Canada, Haliclystus sanjuanensis new species (Cnidaria",,,,,,"Mills, C. E., Westlake, H., Hirano, Y. M., & Miranda, L. S. (2023). Description of a common stauromedusa on the Pacific Coast of the United States and Canada, Haliclystus sanjuanensis new species (Cnidaria: Staurozoa). PeerJ, 11, e15944. https://doi.org/10.7717/peerj.15944"
1953,"Mitchell, D. F.",An Analysis of Stomach Contents of California Tide Pool Fishes,American Midland Naturalist,,0003-0031,Doi 10.2307/2485213,,,1953,862-871,,3,49,,Am Midl Nat,,,,,,,"Mitchell, D. F. (1953). An Analysis of Stomach Contents of California Tide Pool Fishes. American Midland Naturalist, 49(3), 862–871. https://doi.org/Doi 10.2307/2485213"
2019,"Miyamoto, Hiroomi; Vijai, Dharmamony; Okazaki, Yuji; Saito, Hiroaki","Feeding Ecology of Chaetognath Flaccisagitta enflata in the Kuroshio Region, Western North Pacific",Kuroshio Current,978-1-119-42842-8,,,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119428428.ch16,"We examined the feeding ecology of dominant chaetognath species, Flaccisagitta enflata in the Kuroshio region, western North Pacific Ocean, by gut content analysis. Zooplankton samples were collected in the survey lines transecting the Kuroshio, while tracking surface-drifting buoys in April and August 2013. The feeding rate ranged from 0 to 6.22 prey chaetognath−1 day−1 and increased with increasing body length. Although chaetoganths were found in the gut contents of F. enflata, the main prey was copepods. Of these copepods, oncaeid copepods were the preferred prey. Contrastingly, the selectivity indices of calanoid and the other cyclopoid copepods (e.g., oithonid copepods), which were the dominant taxa in the ambient environment, were low. Furthermore, the larger individuals tended to feed on larger oncaeid copepods. The predation impact of F. enflata on the copepods was <1.5% d−1 in most regions; however, the impact on oncaeid copepods reached 4.3% d−1 in the Kuroshio axis region in August. In this region, a high clearance rate for oncaeid copepods was also found. These results indicated that selective predation of F. enflata occasionally influence the population structure and dynamics of oncaeids in the Kuroshio region which were main prey for larvae such as Japanese sardine and Pacific saury.",2019,257-272,,,,,,,,,,American Geophysical Union (AGU),,"Miyamoto, H., Vijai, D., Okazaki, Y., & Saito, H. (2019). Feeding Ecology of Chaetognath Flaccisagitta enflata in the Kuroshio Region, Western North Pacific. In Kuroshio Current (pp. 257–272). American Geophysical Union (AGU). https://doi.org/10.1002/9781119428428.ch16"
1986,"Molinski, Tadeusz F.; Faulkner, D. John; He, Cun Heng; Van Duyne, Gregory D.; Clardy, Jon",Three new rearranged spongian diterpenes from <i>Chromodoris macfarlandi</i>: reappraisal of the structures of dendrillolides A and B,The Journal of Organic Chemistry,,"0022-3263, 1520-6904",10.1021/jo00374a014,https://pubs.acs.org/doi/abs/10.1021/jo00374a014,,1986-11,4564-4567,,24,51,,J. Org. Chem.,Three new rearranged spongian diterpenes from chromodoris macfarland,,,,,,"Molinski, T. F., Faulkner, D. J., He, C. H., Van Duyne, G. D., & Clardy, J. (1986). Three new rearranged spongian diterpenes from Chromodoris macfarlandi: Reappraisal of the structures of dendrillolides A and B. The Journal of Organic Chemistry, 51(24), 4564–4567. https://doi.org/10.1021/jo00374a014"
2003,"Montero, Francisco E.; Javier Aznar, F.; Fernández, Mercedes; Raga, Juan A.","<i>Pseudoallencotyla </i>gen. n., a new genus for <i>Allencotyla pricei</i> (Kritsky, Noble et Moser, 1978) (Monogenea: Heteraxinidae), with a key to genera of Heteraxininae",Folia Parasitologica,,"00155683, 18036465",10.14411/fp.2003.007,http://folia.paru.cas.cz/doi/10.14411/fp.2003.007.html,"In this study, we clarify the taxonomic status of Allencotyla pricei based on a re-examination of paratypes and voucher specimens. Four important characters are added to previous descriptions: the vagina is ventral; the cirrus is absent; the eggs are fusiform and have two polar filaments (one about 3.5 times longer than the other); and, there are two flat sclerites at each side of the dorsal trident-shaped sclerite in the clamps. A comparison of A. pricei with species from all the genera of the Heteraxininae, including Allencotyla mcintoshi, indicates that A. pricei has several exclusive characters, i.e., a ventral vagina, vaginal armature, two additional dorsal sclerites in the clamps, a ventral mouth, and a question mark-shaped ovary. The combination of characters found in A. pricei is not shared with any other species within the Heteraxininae. In view of these features, A. pricei is assigned to a new genus, Pseudoallencotyla gen. n., as P. pricei comb. n.",3/1/03,43-47,,1,50,,FOLIA PARASIT,"Pseudoallencotyla gen. n., a new genus for Allencotyla pricei (Kritsky, Noble et Moser, 1978) (Monogenea",,,,,,"Montero, F. E., Javier Aznar, F., Fernández, M., & Raga, J. A. (2003). Pseudoallencotyla gen. N., a new genus for Allencotyla pricei (Kritsky, Noble et Moser, 1978) (Monogenea: Heteraxinidae), with a key to genera of Heteraxininae. Folia Parasitologica, 50(1), 43–47. https://doi.org/10.14411/fp.2003.007"
2010,"Moore, Eliza C.; Hovel, Kevin A.",Relative influence of habitat complexity and proximity to patch edges on seagrass epifaunal communities,Oikos,,1600-0706,10.1111/j.1600-0706.2009.17909.x,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1600-0706.2009.17909.x,"Habitat structure at many scales influences faunal communities. Although habitat structure at different scales often covaries, studies rarely examine the relative effects of structure at multiple scales on faunal density and diversity. In shallow-water seagrass systems, epifaunal density at local scales generally increases with increased habitat structural complexity (e.g. shoot density per unit area). In turn, structural complexity often varies with other aspects of habitat structure at patch scales, such as proximity to patch edges, which itself modifies ecological processes that structure epifaunal communities. We conducted surveys and a manipulative experiment in the eelgrass Zostera marina beds of San Diego Bay, California, USA, to determine (1) whether eelgrass structural complexity, epifaunal density and diversity, and fish (predator) density and diversity vary with proximity to patch edges, and (2) the relative influences of structural complexity, proximity to patch edges and predator presence on epifaunal distribution. Seagrass structural complexity generally increased from patch edges to patch interiors at all sites and in all sampling periods. However, patterns of epifaunal density, diversity, and biomass varied among sites and sampling periods, with density and biomass increasing from patch edges to interiors at some sites and decreasing at others. In the manipulative experiment, we allowed epifauna to colonize sparse or dense artificial seagrass habitat at both the edge and interior of a seagrass patch, and enclosed a subset of experimental units in predator exclusion cages. Overall, proximity to patch edges had a larger influence on epifaunal density and community structure than did structural complexity or predation, with the exception of some common taxa which responded more strongly to either complexity or predator exclusion. Our results emphasize the importance of addressing and evaluating habitat structure at multiple scales to better understand the distribution and interactions of organisms in a particular environment.",2010,1299-1311,,8,119,,,,,,,,,"Moore, E. C., & Hovel, K. A. (2010). Relative influence of habitat complexity and proximity to patch edges on seagrass epifaunal communities. Oikos, 119(8), 1299–1311. https://doi.org/10.1111/j.1600-0706.2009.17909.x"
