reference_number,focal_consumer_taxon,focal_consumer_life_stage,resource_genus,resource_taxonomic_resolution,general_location_of_study,id.x,resource_species,alternate_nomenclature,resource_category,common_name,functional_role,range,life_stage,body_size_mm,n_s_both,commonality,source,zone,habitat_notes,solitary_aggregating_colonial,mobile_or_sessile,preys_on,trophic_strategy,how_picky,eaten_by,non_trophic_epicommensal_w,mutualist_w,parasitized_by,unknown_symbiosis,parasitic_on,how_picky_symbiotically,notes,node_type,node_resolution,web_enter_code,enter_code_2,googled,justification,confidence,x41,clean_zone,id.y,kingdom,resource_phylum,resource_class,resource_order,resource_family,subclass,infraclass,subterclass,superorder,superfamily,subphylum,subfamily,superclass,suborder,infraorder,parvorder,subkingdom,infrakingdom,tribe,subgenus,infraphylum,parvphylum,gigaclass,megaclass,phylum_division,subphylum_subdivision,subtribe,section,subsection,subspecies,epifamily
191,Haliclystus auricula,adult,Bostrycapulus,class,NA,260,Bostrycapulus aculeatus,Crepidula aculeata,slipper snail,spiny slipper snail,NA,NA,adult,NA,Both,uncommon,"Morris, Abbott, & Haderlie",low,NA,solitary,mobile,"zooplankton, phytoplankton",filter feeder,generalist,Pteropurpura trialata,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,3,fix,NA,NA,NA,NA,NA,419700,Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Caenogastropoda,NA,NA,NA,Calyptraeoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Cadlina,class,NA,311,Cadlina flavomaculata,NA,nudibranch,yellow spotted cadlina,NA,NA,adult,NA,both,uncommon,"Morris, Abbott, & Haderlie; Light & Smith",low tidepools,"under stones, tidepools",solitary,mobile,Aplysilla glacialis,micropredator,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,562477,Animalia,Mollusca,Gastropoda,Nudibranchia,Cadlinidae,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Chromodoridoidea,NA,NA,NA,Doridina,Doridoidei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Cadlina,class,NA,310,Cadlina limbaughorum,Cadlina limbaughi,nudibranch,Limbaugh's cadlina,NA,Southern California to Mexico,adult,NA,S,uncommon,"Morris, Abbott, & Haderlie; Light & Smith",low,under stones,solitary,mobile,"Axinella sp., Dysidea amblia, and Leiosella idia.",micropredator,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,581803,Animalia,Mollusca,Gastropoda,Nudibranchia,Cadlinidae,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Chromodoridoidea,NA,NA,NA,Doridina,Doridoidei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Cadlina,class,NA,312,Cadlina luteomarginata,NA,nudibranch,yellow edged cadlina,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,under ledges with sponges and tunicates,solitary,mobile,"Halichondria panicea, Myxilla incrustans, Higginsia sp.; Aplysilla glacialis, Dysidea amblia",micropredator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,562476,Animalia,Mollusca,Gastropoda,Nudibranchia,Cadlinidae,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Chromodoridoidea,NA,NA,NA,Doridina,Doridoidei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Cadlina,class,NA,313,Cadlina modesta,NA,nudibranch,modest cadlina,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,among sponges,solitary,mobile,"Aplysilla glacialis, Halisarca sp.",micropredator,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,564148,Animalia,Mollusca,Gastropoda,Nudibranchia,Cadlinidae,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Chromodoridoidea,NA,NA,NA,Doridina,Doridoidei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Cadlina,class,NA,314,Cadlina sparsa,NA,nudibranch,dark spotted cadlina,NA,Northern to Southern California,adult,NA,Both,rare,"Morris, Abbott, & Haderlie; Light & Smith",low,NA,solitary,mobile,Aplysilla glacialis,micropredator,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,430397,Animalia,Mollusca,Gastropoda,Nudibranchia,Cadlinidae,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Chromodoridoidea,NA,NA,NA,Doridina,Doridoidei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Caecum,class,NA,1809,Caecum californicum,NA,microsnail,NA,NA,Columbia River to Point Conception,adult,2,N,present,Light & Smith,middle to low,"Interstitial in sand, gravel, especially near roots of surfgrass Phyllospadix",solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,middle,545250,Animalia,Mollusca,Gastropoda,Littorinimorpha,Caecidae,Caenogastropoda,NA,NA,NA,Truncatelloidea,NA,Caecinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Caecum,class,NA,1810,Caecum dalli,NA,microsnail,NA,NA,Columbia River to Point Conception,adult,2,N,unclear,Light & Smith,low,Lower intertidal; more abundant in sublittoral,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,545125,Animalia,Mollusca,Gastropoda,Littorinimorpha,Caecidae,Caenogastropoda,NA,NA,NA,Truncatelloidea,NA,Caecinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Callianax,class,NA,294,Callianax baetica,Olivella biplicata,snail,purple olive,NA,NA,adult,NA,Both,rare,"Morris, Abbott, & Haderlie",low,more common offshore sandy beaches,solitary,mobile,"Macrocystis pyrifera, Tegula funebralis, Mytilus californianus, carrion, detritus",scavenger,generalist,"Octopus sp., Conus californicus, Polinices reclusianus, Polinices lewisii, Pisaster brevispinus, Astropecten Armatus, ""shorebirds"", ""crabs and fishes""",NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,fix,NA,NA,NA,NA,NA,1674301,Animalia,Mollusca,Gastropoda,Neogastropoda,Olividae,Caenogastropoda,NA,NA,NA,Olivoidea,NA,Olivellinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Callianax,class,NA,293,Callianax biplicata,Olivella baetica,snail,little olive,NA,NA,adult,NA,Both,rare,"Morris, Abbott, & Haderlie",low,more common offshore sandy beaches,solitary,mobile,NA,NA,NA,"""offshore sea stars""",NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,1424883,Animalia,Mollusca,Gastropoda,Neogastropoda,Olividae,Caenogastropoda,NA,NA,NA,Olivoidea,NA,Olivellinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Calliostoma,class,NA,230,Calliostoma annulatum,NA,topsnail,purple ringed topsnail,NA,NA,adult,16-35mm,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,With C. canaliculatum and C. ligatum on offshore Macrocystis stands and in low rocky intertidal zone,solitary,mobile,"Obelia sp., Membranipora, Hippothoa sp., detritus, copepods, Corynactis californica, dead fish",omnivore,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,534197,Animalia,Mollusca,Gastropoda,Trochida,Calliostomatidae,Vetigastropoda,NA,NA,NA,Trochoidea,NA,Calliostomatinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Calliostoma,class,NA,231,Calliostoma canaliculatum,NA,topsnail,channeled topsnail,NA,NA,adult,NA,Both,uncommon,"Morris, Abbott, & Haderlie; Light & Smith",very low,occur on Macrocystis,solitary,mobile,"Macrocystis pyrifera, anything growing on Macrocystis",omnivore,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Mollusca,Gastropoda,Trochida,Calliostomatidae,Vetigastropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Calliostoma,class,NA,233,Calliostoma gemmulatum,NA,topsnail,gem topsnail,NA,NA,adult,NA,Both,uncommon,"Morris, Abbott, & Haderlie",low,little info,solitary,mobile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,437189,Animalia,Mollusca,Gastropoda,Trochida,Calliostomatidae,Vetigastropoda,NA,NA,NA,Trochoidea,NA,Calliostomatinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Calliostoma,class,NA,232,Calliostoma ligatum,NA,topsnail,blue topsnail,NA,NA,adult,NA,Both,uncommon,"Morris, Abbott, & Haderlie; Light & Smith",low,uncommon in intertidal in SoCal,solitary,mobile,"Macrocystis pyrifera, anything growing on Macrocystis, Cystodytes lobatus, microalgal film, detritus",omnivore,generalist,Pisaster ochraceus,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,3,NA,NA,NA,NA,NA,NA,580412,Animalia,Mollusca,Gastropoda,Trochida,Calliostomatidae,Vetigastropoda,NA,NA,NA,Trochoidea,NA,Calliostomatinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Calliostoma,class,NA,1788,Calliostoma tricolor,NA,topsnail,NA,NA,Southern California to South,adult,NA,S,rare,Light & Smith,middle to low,NA,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,middle,580416,Animalia,Mollusca,Gastropoda,Trochida,Calliostomatidae,Vetigastropoda,NA,NA,NA,Trochoidea,NA,Calliostomatinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Catriona,class,NA,1939,Catriona columbiana,Cuthona columbiana,nudibranch,NA,NA,Columbia River to Point Conception,adult,NA,N,present,Light & Smith,all,NA,solitary,mobile,"Obelia sp., Sarsia eximia, and Pinauay crocea",micropredator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,581879,Animalia,Mollusca,Gastropoda,Nudibranchia,Trinchesiidae,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Fionoidea,NA,NA,NA,Cladobranchia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Ceratostoma,class,NA,272,Ceratostoma foliatum,NA,murex,leafy hornmouth,NA,NA,adult,NA,N,present,"Morris, Abbott, & Haderlie",low,uncommon S.,solitary,mobile,"in WA: Balanus glandula, Semibalanus cariosus, Pododesmus cepio, Penitella penita; S.CA: Serpulorbis squamigerus",typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,1,NA,NA,NA,NA,NA,NA,240767,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Caenogastropoda,NA,NA,NA,Muricoidea,NA,Ocenebrinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Ceratostoma,class,NA,1835,Ceratostoma foliatum,NA,snail,NA,NA,Columbia River to Point Conception,eggs,NA,N,present,Light & Smith,low,egg capsules on rocks,aggregating,sessile,NA,non-feeding life stage,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Life Stage,NA,NA,NA,NA,NA,NA,NA,240767,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Caenogastropoda,NA,NA,NA,Muricoidea,NA,Ocenebrinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Ceratostoma,class,NA,273,Ceratostoma nuttalli,NA,murex,Nuttall's hornmouth,NA,NA,adult,NA,S,present,"Morris, Abbott, & Haderlie",middle to low,rubble,solitary,mobile,"Mytilus californianus, Mytilus edulis",typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,1,NA,NA,NA,NA,NA,middle,403965,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Caenogastropoda,NA,NA,NA,Muricoidea,NA,Ocenebrinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Ceratostoma,class,NA,1836,Ceratostoma nuttalli,NA,snail,Nuttall's hornmouth,NA,Columbia River to Point Conception,eggs,NA,S,present,Light & Smith,middle to low,egg capsules on rocks,aggregating,sessile,NA,non-feeding life stage,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Life Stage,NA,NA,NA,NA,NA,NA,middle,403965,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Caenogastropoda,NA,NA,NA,Muricoidea,NA,Ocenebrinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Cerithiopsis,class,NA,1829,Cerithiopsis berryi,NA,snail,NA,NA,Columbia River to Point Conception,adult,NA,N,unclear,Light & Smith,all,living specimens should be found on sponge colonies,solitary,mobile,sponges,micropredator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,580751,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Cerithiopsidae,Caenogastropoda,NA,NA,NA,Triphoroidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Chromodoris,class,NA,1904,Chromodoris galexorum,NA,nudibranch,NA,NA,Southern California to Mexico,adult,NA,S,present,Light & Smith,all,NA,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,549418,Animalia,Mollusca,Gastropoda,Nudibranchia,Chromodorididae,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Chromodoridoidea,NA,Chromodoridinae,NA,Doridina,Doridoidei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Chromodoris,class,NA,1905,Chromodoris macfarlandi,Glossodoris macfarlandi).,nudibranch,NA,NA,Central California to Mexico,adult,NA,Both,present,Light & Smith,all,NA,solitary,mobile,Aplysilla polyraphis and Aplysilla glacialis,micropredator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,549419,Animalia,Mollusca,Gastropoda,Nudibranchia,Chromodorididae,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Chromodoridoidea,NA,Chromodoridinae,NA,Doridina,Doridoidei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Chrysallida,class,NA,1861,Chrysallida lucca,NA,snail,NA,NA,Columbia River to Point Conception,adult,NA,N,unclear,Light & Smith,all,"ectoparasitic on invertebrate hosts, in general",solitary,mobile,NA,parasite,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,1600853,Animalia,Mollusca,Gastropoda,NA,Pyramidellidae,Heterobranchia,Euthyneura,Tectipleura,Pylopulmonata,Pyramidelloidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Clathromangelia,class,NA,1853,Clathromangelia fuscoligata,NA,snail,NA,NA,Columbia River to Point Conception,adult,NA,N,very rare,Light & Smith,all,rocky intertidal,solitary,mobile,polychaetes,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,433232,Animalia,Mollusca,Gastropoda,Neogastropoda,Raphitomidae,Caenogastropoda,NA,NA,NA,Conoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Clathurella,class,NA,1854,Clathurella canfieldi,NA,snail,NA,NA,Columbia River to Point Conception,adult,NA,N,unclear,Light & Smith,all,In sand among surfgrass roots,solitary,mobile,polychaetes,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,436206,Animalia,Mollusca,Gastropoda,Neogastropoda,Clathurellidae,Caenogastropoda,NA,NA,NA,Conoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Conualevia,class,NA,309,Conualevia alba,NA,nudibranch,smooth horned dorid,NA,Central California to Galapagos,adult,NA,Both,uncommon,"Morris, Abbott, & Haderlie; Light & Smith",low,under stones,solitary,mobile,NA,micropredator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,575063,Animalia,Mollusca,Gastropoda,Nudibranchia,Dorididae,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Doridoidea,NA,NA,NA,Doridina,Doridoidei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Conus,class,NA,298,Conus californicus,NA,snail,California cone,NA,NA,adult,NA,Both,uncommon,"Morris, Abbott, & Haderlie; Light & Smith",low,"""common to scarce"", buries in sand",solitary,mobile,"Olivella biplicata, Nassarius fossatus, Bulla gouldiana, Macoma nasuta, Tagelus californianus, Solen rosaceus, ""polychaetes"",carrion",typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,426439,Animalia,Mollusca,Gastropoda,Neogastropoda,Conidae,Caenogastropoda,NA,NA,NA,Conoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Corambe,class,NA,329,Corambe pacifica,NA,nudibranch,frost spot,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,"seasonally common, on Membranipora sp.",solitary,mobile,Membranipora sp.,micropredator,specialist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,5,NA,NA,NA,NA,NA,NA,535677,Animalia,Mollusca,Gastropoda,Nudibranchia,Corambidae,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Onchidoridoidea,NA,NA,NA,Doridina,Doridoidei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Corambe,class,NA,330,Corambe steinbergae,Doridella steinbergae,nudibranch,NA,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,"seasonally common, on Membranipora sp.",solitary,mobile,Membranipora sp.,micropredator,specialist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,5,NA,NA,NA,NA,NA,NA,535679,Animalia,Mollusca,Gastropoda,Nudibranchia,Corambidae,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,Onchidoridoidea,NA,NA,NA,Doridina,Doridoidei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Crepidula,class,NA,258,Crepidula adunca,Garnotia,slipper snail,hooked slipper snail,> 4mm,NA,adult,NA,Both,abundant,"Morris, Abbott, & Haderlie",middle,"uncommon S., on shells of larger snails, OMG SMALL ONES ARE MALES AND LARGE ONES ARE FEMALES AND THE MALES CHILL ON TOP OF THE FEMALES ITS SO CUTE",solitary (in stacks of two),sessile,"zooplankton, phytoplankton",filter feeder,obligate,Pteropurpura trialata,"Tegula funebralis, Tegula brunnea, Calliostoma ligatum",NA,NA,NA,NA,NA,NA,Taxonomic,Life Stage,3,NA,NA,NA,NA,NA,NA,572177,Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Caenogastropoda,NA,NA,NA,Calyptraeoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Crepidula,class,NA,259,Crepidula adunca,Garnotia,slipper snail,hooked slipper snail,< 4mm,NA,juvenile,NA,Both,abundant,"Morris, Abbott, & Haderlie",middle,"uncommon S., on shells of larger snails, OMG SMALL ONES ARE MALES AND LARGE ONES ARE FEMALES AND THE MALES CHILL ON TOP OF THE FEMALES ITS SO CUTE",solitary,mobile,microalgal film,grazer,generalist,Pteropurpura trialata,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Life Stage,3,fix,NA,NA,NA,NA,NA,572177,Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Caenogastropoda,NA,NA,NA,Calyptraeoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Crepidula,class,NA,1813,Crepidula convexa,NA,slipper limpet,NA,NA,Introduced to San Francisco Bay,adult,10,N,unclear,Light & Smith,all,often on shells including hermit crab-occupied Ilyanassa obsoleta,solitary,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Caenogastropoda,NA,NA,NA,Calyptraeoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Crepidula,class,NA,1814,Crepidula fornicata,NA,slipper limpet,NA,NA,Introduced to Puget Sound to California,adult,NA,Both,unclear/uncommon,Light & Smith,all,occurs in characteristic stacks with male on top,aggregating,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,138963,Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Caenogastropoda,NA,NA,NA,Calyptraeoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Crepidula,class,NA,1816,Crepidula norrisiarum,NA,slipper limpet,NA,NA,"Puget Sound, Washington, south to at least Punta Banda, Baja California",adult,NA,Both,present,Light & Smith,all,In southern California occurs chiefly on the teguline trochid Norrisia norrisi; here reported on the teguline trochid Promartynia pulligo at Carmel,solitary,mobile,NA,filter feeder,generalist,NA,on Norrisia norrisi (S) and Promartynia pulligo (N),NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,572184,Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Caenogastropoda,NA,NA,NA,Calyptraeoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Crepidula,class,NA,262,Crepidula nummaria,NA,slipper snail,white slipper snail,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,"protected areas, under rocks, in holes or abandoned shells OR inside apertures of gastropod shells",solitary,mobile,"zooplankton, phytoplankton, detritus",filter feeder,facultative,Pteropurpura trialata,"Pagurus sp., gastropods?",NA,NA,NA,NA,NA,NA,Taxonomic,Species,3,fix,NA,NA,NA,NA,NA,572185,Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Caenogastropoda,NA,NA,NA,Calyptraeoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Crepidula,class,NA,263,Crepidula onyx,NA,slipper snail,onyx slipper snail,NA,NA,adult,NA,S,NA,"Morris, Abbott, & Haderlie",low,protected areas,solitary,mobile,"zooplankton, phytoplankton, detritus",filter feeder,generalist,Pteropurpura trialata,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,3,fix,NA,NA,NA,NA,NA,397063,Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Caenogastropoda,NA,NA,NA,Calyptraeoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Crepidula,class,NA,261,Crepidula perforans,NA,slipper snail,Western white slipper snail,NA,NA,adult,NA,Both,NA,"Morris, Abbott, & Haderlie; Light & Smith",low,"under rocks, inside gastropod shell apertures, inside burrows -- M & H account of this guy and C. nummaria is super confusing… are they separate or not? Investigate",solitary,mobile,NA,filter feeder,obligate,Pteropurpura trialata,Pagurus sp. in Tegula shells,NA,NA,NA,NA,NA,NA,Taxonomic,Species,1,NA,NA,NA,NA,NA,NA,572100,Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Caenogastropoda,NA,NA,NA,Calyptraeoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Haliclystus auricula,adult,Crepidula,class,NA,1815,Crepidula plana,NA,slipper limpet,NA,NA,Introduced to San Francisco Bay,adult,NA,N,present,Light & Smith,all,on rocks and often (as concave specimens) in hermit crab shells.,solitary,mobile,NA,filter feeder,generalist,NA,in hermit crab shells,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Caenogastropoda,NA,NA,NA,Calyptraeoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
