reference_number,title,author,year,link_or_doi
218,"Food preferences of triopha maculata  and  triopha carpenteri  on the monterey peninsula, california",James Eastman,1975,12/20/2023 12:14PM
219,Changes in parasite-chaetognath species assemblages in the mexican central pacific before and during el niño 1997-1998 (published 2018),"Lozano-Cobo, H. et al.",1996,12/20/2023 12:14PM
220,"Helmintos parásitos en quetognatos en el alto golfo de california, méxico","Lozano-Cobo, H. et al.",2012,12/20/2023 12:14PM
221,The discovery of acanthocephalans parasitizing chaetognaths,"Lozano-Cobo, H. et al.",2017,12/20/2023 12:14PM
222,Feeding of flaccisagitta enflata (chaetognatha) upon copepods in the southern gulf of mexico,Sanvicente et al,2020,12/20/2023 12:14PM
223,Preliminary results on the feeding and gut content of flaccisagittaenflatain coastal areas of i̇skenderun bay (northeastern mediterranean sea),Tuba TERBIYIK KURT,2018,12/20/2023 12:14PM
224,"Feeding ecology of chaetognath flaccisagitta enflata in the kuroshio region, western north pacific",Miyamoto et al,2019,12/20/2023 12:14PM
225,"Diel vertical migration and feeding of three species of chaetognaths (flaccisagitta enflata, aidanosagitta delicata and aidanosagitta neglecta) in two shallow, subtropical bays in hong kong",Lie et al,2012,12/20/2023 12:14PM
226,Chaetognaths in the south adriatic: vertical distribution and feeding,Batistic,2003,12/20/2023 12:14PM
227,Reproduction and feeding of sagitta enflata in the humboldt current system off chile,Giesecke and Gonzales,2008,12/20/2023 12:14PM
228,Feeding of sagitta enflata and vertical distribution of chaetognaths in relation to low oxygen concentrations,Giesecke and Gonzales,2004,12/20/2023 12:14PM
229,Sbc lter: reef: feeding relationships for kelp forest species. Santa barbara coastal lter; long term ecological research network,"Byrnes, Jarrett Edward; Reed, Daniel C; Cardinale, Bradley Joseph; Cavanaugh, Kyle C; Holbrook, Sally J; Schmitt, Russell J",2012,12/20/2023 01:06PM
230,"Gerard, v. A. 1976. Some aspects of material dynamics and energy flow in a kelp forest in monterey bay, california. Ph. D. Thesis. University of california santa cruz, santa cruz, ca.",NA,NA,12/20/2023 02:58PM
231,"Love, m. 1996. Probably more than you want to know about the fishes of the pacific coast. Really big press, santa barbara, ca.",NA,NA,12/20/2023 03:10PM
232,"Mauzey, k. P., c. Birkeland, and p. K. Dayton. 1968. Feeding behavior of asteroids and escape responses of their prey in the puget sound region. Ecology 49:603-619.",NA,NA,12/20/2023 03:01PM
233,"Nakashima, r. 1974. Asteroid predation in monterey bay. B. S. Thesis. University of california santa barbara.",NA,NA,12/20/2023 03:00PM
234,"Byrnes, j. E. and j. J. Stachowicz. 2009. The consequences of consumer diversity loss: different answers from different experimental designs. Ecology 90:2879-2888.",NA,NA,12/20/2023 03:00PM
