publication_year,firstauthor,title,reference
2011,Goddard,"Impacts associated with the recent range shift of the aeolid nudibranch phidiana hiltoni (mollusca, opisthobranchia) in california","Goddard, Jeffrey H. R.; Gosliner, Terrence M.; Pearse, John S.. 2011. Impacts associated with the recent range shift of the aeolid nudibranch phidiana hiltoni (mollusca, opisthobranchia) in california. Marine Biology. 158. 5. 1095-1109. 10.1007/s00227-011-1633-7"
2011,Herstoff,"Individuals of crepidula adunca (mollusca, gastropoda) avoid shared doom through host specificity","Herstoff, Emily M.; Iyengar, Erika V.. 2011. Individuals of crepidula adunca (mollusca, gastropoda) avoid shared doom through host specificity. Journal of Experimental Marine Biology and Ecology. 406. 1. 79-86. 10.1016/j.jembe.2011.06.007"
1981,Robles,Influence of biotic factors in an upper intertidal community: dipteran larvae grazing on algae,"Robles, Carlos D.; Cubit, John. 1981. Influence of biotic factors in an upper intertidal community: dipteran larvae grazing on algae. Ecology. 62. 6. 1536-1547. 10.2307/1941510"
2009,Tuskes,"Influence of habitat on growth and prey selection of pteropurpura festiva, the festive murex","Tuskes, Paul; Tuskes, Ann. 2009. Influence of habitat on growth and prey selection of pteropurpura festiva, the festive murex. The Festivus. 48. 4. 211-220"
1997,Khan,"Influence of haemobaphes cyclopterina and h . intermedius (copepoda) on arctic cod ( boreogadus saida ) and tidepool sculpins ( oligocottus maculosus ), respectively","Khan, R. A.; Ryan, K.; Lawson, J. W.; Munehara, H.. 1997. Influence of haemobaphes cyclopterina and h . intermedius (copepoda) on arctic cod ( boreogadus saida ) and tidepool sculpins ( oligocottus maculosus ), respectively. Canadian Journal of Zoology. 75. 8. 1280-1284. 10.1139/z97-151"
2003,West,Integrating spatial and temporal variability into the analysis of fish food web linkages in tijuana estuary,"West, Janelle M.; Williams, Gregory D.; Madon, Sharook P.; Zedler, Joy B.. 2003. Integrating spatial and temporal variability into the analysis of fish food web linkages in tijuana estuary. Environmental Biology of Fishes. 67. 3. 297-309. 10.1023/A:1025843300415"
2008,Penfold,Interactions between juvenile marine fish and gnathiid isopods: predation versus micropredation,"Penfold, R; Grutter, As; Kuris, Am; McCormick, Mi; Jones, Cm. 2008. Interactions between juvenile marine fish and gnathiid isopods: predation versus micropredation. Marine Ecology Progress Series. 357. 111-119. 10.3354/meps07312"
1986,West,Interindividual variation in prey selection by the snail nucella (= thais) emarginata,"West, Lani. 1986. Interindividual variation in prey selection by the snail nucella (= thais) emarginata. Ecology. 67. 3. 798-809. 10.2307/1937702"
1981,Cross,Intertidal fishes of southern california,"Cross, Jeffrey N.. 1981. Intertidal fishes of southern california. 99-101"
2009,Shinen,Invasion resistance on rocky shores: direct and indirect effects of three native predators on an exotic and a native prey species,"Shinen, J. S.; Morgan, S. G.; Chan, A. L.. 2009. Invasion resistance on rocky shores: direct and indirect effects of three native predators on an exotic and a native prey species. Marine Ecology Progress Series. 378. 47-54. 10.3354/meps07870"
1998,Bücking,"Investigations on the feeding habits of the rocky-shore mite hyadesia fusca (acari: astigmata : hyadesiidae): diet range, food preference, food quality, and the implications for distribution patterns jens bricking","Bücking, Jens. 1998. Investigations on the feeding habits of the rocky-shore mite hyadesia fusca (acari: astigmata : hyadesiidae): diet range, food preference, food quality, and the implications for distribution patterns jens bricking. Helgol√§nder Meeresuntersuchungen. 52. 159-177"
2007,Wasson,Kamptozoa (entoprocta),"Wasson, Kerstin; Mariscal, Richard N.. 2007. Kamptozoa (entoprocta). The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 283-287"
1986,Stepien,"Life history and larval development of the giant kelpfish, heterostichus rostratus girard, 1854","Stepien, Carol A.. 1986. Life history and larval development of the giant kelpfish, heterostichus rostratus girard, 1854"
2023,Alves,Life history and population dynamics of the enigmatic tanaid chondrochelia dubia (tanaidacea: leptocheliidae) in a tropical seaweed bed,"Alves, Rodrigo V. A.; Lucena Frédou, Flávia; Craveiro, Nykon; Nolé Eduardo, Leandro; Rosa Filho, José S.. 2023. Life history and population dynamics of the enigmatic tanaid chondrochelia dubia (tanaidacea: leptocheliidae) in a tropical seaweed bed. Scientia Marina. 87. 1. e059. 10.3989/scimar.05322.059"
1975,Dayneko,"Life history of the rockpool blenny, hypsoblennius gilberti (jordan), at point fermin, california.","Dayneko, Jack Ronald. 1975. Life history of the rockpool blenny, hypsoblennius gilberti (jordan), at point fermin, california.. California State University, Long Beach"
1991,Ching,Lists of larval worms from marine invertebrates of the pacific coast of north america,"Ching, Hilda Lei. 1991. Lists of larval worms from marine invertebrates of the pacific coast of north america. Journal of the Helminthological Society of Washington. 58. 1. 57-68"
1984,Fawcett,Local and latitudinal variation in predation on an herbivorous marine snail,"Fawcett, Michael H.. 1984. Local and latitudinal variation in predation on an herbivorous marine snail. Ecology. 65. 4. 1214-1230. 10.2307/1938329"
1960,Illg,Marine copepods of the genus anthessius from the northeastern pacific ocean,"Illg, Paul L.. 1960. Marine copepods of the genus anthessius from the northeastern pacific ocean. Pacific Science. 14. 36"
1976,Cheng,Marine insects,"Cheng, L.. 1976. Marine insects. North-Holland Publ. Co"
2016,Hovel,"Mesopredator foraging success in eelgrass (zostera marina l.): relative effects of epiphytes, shoot density, and prey abundance","Hovel, Kevin A.; Warneke, Alexandria M.; Virtue-Hilborn, Stacey P.; Sanchez, Alterra E.. 2016. Mesopredator foraging success in eelgrass (zostera marina l.): relative effects of epiphytes, shoot density, and prey abundance. Journal of Experimental Marine Biology and Ecology. 474. 142-147. 10.1016/j.jembe.2015.10.014"
2019,Retallack,"Metagenomic next-generation sequencing reveals miamiensis avidus (ciliophora: scuticociliatida) in the 2017 epizootic of leopard sharks (triakis semifasciata) in san francisco bay, california, usa","Retallack, Hanna; Okihiro, Mark S.; Britton, Elliot; Sommeran, Sean Van; DeRisi, Joseph L.. 2019. Metagenomic next-generation sequencing reveals miamiensis avidus (ciliophora: scuticociliatida) in the 2017 epizootic of leopard sharks (triakis semifasciata) in san francisco bay, california, usa. Journal of Wildlife Diseases. 55. 2. 375-386. 10.7589/2018-04-097"
1983,Ambrose,Midden formation by octopuses: the role of biotic and abiotic factors,"Ambrose, Richard F.. 1983. Midden formation by octopuses: the role of biotic and abiotic factors. Marine Behaviour and Physiology. 10. 2. 137‚Äì144. 10.1080/10236248309378613"
2015,Boonstra,Milbemycin oxime (interceptor) treatment of amphipod parasites (hyperiidae) from several host jellyfish species,"Boonstra, Jennifer L.; Koneval, Maureen E.; Clark, James D.; Schick, Mark; Smith, Malissa; Stark, Amy L.. 2015. Milbemycin oxime (interceptor) treatment of amphipod parasites (hyperiidae) from several host jellyfish species. Journal of Zoo and Wildlife Medicine. 46. 1. 158-160. 10.1638/2014-0087R.1"
2020,Shanebeck,Missing link: california rock crabs serve as intermediate hosts for the parasite helicometrina nimia,"Shanebeck, K. M.; Presswell, B.; Lagrue, C.. 2020. Missing link: california rock crabs serve as intermediate hosts for the parasite helicometrina nimia. Journal of Helminthology. 94. e143. 10.1017/S0022149X20000218"
2007,Lindberg,Mollusca,"Lindberg, David R.; Scheltema, Amelie H.; Shimek, Ronald L.; Hochberg, F. G.; Shulman, Danna Joy; Eernisse, Douglas J.; Clark, Roger N.; Draeger, Anthony; Mclean, James H.; Reid, David; Seapy, Roger R.; Lalli, Carol M.; Williams, Gary C.; Goddard, Jeffrey H. R.; Gosliner, Terence M.; McDonald, Gary R.; Coan, Eugene V.; Valentich-Scott, Paul. 2007. Mollusca. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 694-859"
2006,Kicklighter,Multiple components in ink of the sea hare aplysia californica are aversive to the sea anemone anthopleura sola,"Kicklighter, Cynthia E.; Derby, Charles D.. 2006. Multiple components in ink of the sea hare aplysia californica are aversive to the sea anemone anthopleura sola. Journal of Experimental Marine Biology and Ecology. 334. 2. 256-268. 10.1016/j.jembe.2006.02.002"
1992,Schabes,"Mysid locomotion and feeding: kinematics and water-flow patterns of antarctomysis sp., acanthomysis sculpta, and neomysis rayii","Schabes, Mauricio; Hamner, William. 1992. Mysid locomotion and feeding: kinematics and water-flow patterns of antarctomysis sp., acanthomysis sculpta, and neomysis rayii. Journal of Crustacean Biology. 12. 1. 10-Jan. 10.2307/1548713"
1939,Noble,Myxosporidia from tide pool fishes of california,"Noble, Elmer R.. 1939. Myxosporidia from tide pool fishes of california. The Journal of Parasitology. 25. 4. 359-364. 10.2307/3272019"
1968,MacGinitie,Natural history of marine animals,"MacGinitie, G. E.; MacGinitie, Nettie. 1968. Natural history of marine animals. McGraw-Hill"
1965,Paine,"Natural history, limiting factors and energetics of the opisthobranch navanax inermis","Paine, Robert T.. 1965. Natural history, limiting factors and energetics of the opisthobranch navanax inermis. Ecology. 46. 5. 603-619. 10.2307/1935000"
2007,Hope,Nematoda,"Hope, W. Duane. 2007. Nematoda. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 234-266"
2007,Kuris,Nematomorpha,"Kuris, Armand M.. 2007. Nematomorpha. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 274-274"
2007,Roe,Nemertea,"Roe, Pamela; Norenburg, Jon L.; Maslakova, Svetlana. 2007. Nemertea. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 221-233"
1912,Heath,"New polyclads from monterey bay, california","Heath, Harold; McGregor, Ernest A.. 1912. New polyclads from monterey bay, california. Proceedings of the Academy of Natural Sciences of Philadelphia. 64. 455-488"
1984,Wicksten,New records of snapping shrimps (family alpheidae) from california,"Wicksten, Mary K. 1984. New records of snapping shrimps (family alpheidae) from california. Proceedings of the Biological Society of Washington. 97. 1. 186-190"
1981,Levine,"New species of lankesteria (apicomplexa, eugregarinida) from ascidians on the central california coast1","Levine, Norman D.. 1981. New species of lankesteria (apicomplexa, eugregarinida) from ascidians on the central california coast1. The Journal of Protozoology. 28. 3. 363-370. 10.1111/j.1550-7408.1981.tb02868.x"
1935,Park,New trematodes from birds: plagiorchis noblei (plagiorchidae) from agelaius phoeniceus californicus; galactosomum humbargari (heterophidae) from larus californicus,"Park, James. 1935. New trematodes from birds: plagiorchis noblei (plagiorchidae) from agelaius phoeniceus californicus; galactosomum humbargari (heterophidae) from larus californicus. University of the Pacific Theses and Dissertations. 13"
1958,Illg,North american copepods of the family notodelphyidae,"Illg, Paul L.. 1958. North american copepods of the family notodelphyidae. Proceedings of the United States National Museum. 108. 3390. 463-649. 10.5479/si.00963801.108-3390.463"
2019,Valdés,Northeast pacific benthic shelled sea slugs,"Valdés, √Ångel. 2019. Northeast pacific benthic shelled sea slugs. Zoosymposia. 13. 1. 242-304. 10.11646/zoosymposia.13.1.21"
1998,Campos,Notes on distribution and taxonomy of five poorly known species of pinnotherid crabs from the eastern pacific (crustacea: brachyura: pinnotheridae),"Campos, Ernesto; Diaz, Victoria; Gamboa-Contreras, J A. 1998. Notes on distribution and taxonomy of five poorly known species of pinnotherid crabs from the eastern pacific (crustacea: brachyura: pinnotheridae). Proceedings of the Biological Society of Washington. 111. 2. 372-381"
1933,Glassell,Notes on parapinnixa affinis holmes and its allies,"Glassell, Steve A. 1933. Notes on parapinnixa affinis holmes and its allies. Transactions of the San Diego Society of Natural History. 7. 319-330. 10.5962/bhl.part.6163"
1970,Johnson,"Notes on the intertidal life history of the northern clingfish, gobiesox maeandricus (girard)","Johnson, Clifford Ray. 1970. Notes on the intertidal life history of the northern clingfish, gobiesox maeandricus (girard). The American Midland Naturalist. 83. 2. 625-627. 10.2307/2423966"
1937,MacGinitie,Notes on the natural history of several marine crustacea,"MacGinitie, G. E.. 1937. Notes on the natural history of several marine crustacea. The American Midland Naturalist. 18. 6. 1031-1037. 10.2307/2420601"
2010,Polkinghorne,Novel chlamydiales associated with epitheliocystis in a leopard shark triakis semifasciata,"Polkinghorne, A.; Schmidt-Posthaus, H.; Meijer, A.; Lehner, A.; Vaughan, L.. 2010. Novel chlamydiales associated with epitheliocystis in a leopard shark triakis semifasciata. Diseases of Aquatic Organisms. 91. 1. 75-81. 10.3354/dao02255"
1989,Walker,Nutrition and development of brooded embryos in the brittlestar amphipholis squamata: do endosymbiotic bacteria play a role?,"Walker, C. W.; Lesser, M. P.. 1989. Nutrition and development of brooded embryos in the brittlestar amphipholis squamata: do endosymbiotic bacteria play a role?. Marine Biology. 103. 4. 519-530. 10.1007/BF00399584"
1954,Lasker,"Nutrition of the sea urchin, strongylocentrotus purpuratus","Lasker, Reuben; Giese, Arthur C.. 1954. Nutrition of the sea urchin, strongylocentrotus purpuratus. The Biological Bulletin. 106. 3. 328-340. 10.2307/1538767"
1988,Stebbins,"Observations and experiments on the natural history and behavior of the commensal isopod colidotea rostrata (benedict, 1898) (isopoda: idoteidae)","Stebbins, Timothy D.. 1988. Observations and experiments on the natural history and behavior of the commensal isopod colidotea rostrata (benedict, 1898) (isopoda: idoteidae). Journal of Crustacean Biology. 8. 4. 539-547"
2013,Russo,"Observations on the ectoparasites of elasmobranchs in san francisco bay, california","Russo, Ron. 2013. Observations on the ectoparasites of elasmobranchs in san francisco bay, california. California Fish and Game. 99. 233-236"
1987,Goddard,"Observations on the opisthobranch mollusks of punta gorda, california, with notes on the distribution and biology of crimoria coneja","Goddard, J. H. R. 1987. Observations on the opisthobranch mollusks of punta gorda, california, with notes on the distribution and biology of crimoria coneja. Observations on the opisthobranch mollusks of Punta Gorda, California, with notes on the distribution and biology of Crimoria coneja. 29. 3. 267-273"
1982,Coyer,"Observations on the reproductive behavior of the giant kelpfish, heterostichus rostratus (pisces: clinidae)","Coyer, James A.. 1982. Observations on the reproductive behavior of the giant kelpfish, heterostichus rostratus (pisces: clinidae). Copeia. 1982. 2. 344-350. 10.2307/1444613"
1968,Johnson,"Occurrence and behaviour of hyale grandicornis, a gammarid amphipod commensal in the genus acmaea","Johnson, Samuel E.. 1968. Occurrence and behaviour of hyale grandicornis, a gammarid amphipod commensal in the genus acmaea. Veliger. 11. 56-60"
1988,Ching,"Occurrence of a metacercaria (trematoda: gymnophallidae) in acmaeid gastropods, lottia digitalis and ""collisella"" scabra","Ching, Hilda Lei; Grosholz, Edwin D.. 1988. Occurrence of a metacercaria (trematoda: gymnophallidae) in acmaeid gastropods, lottia digitalis and ""collisella"" scabra. Proceedings of the Helminthological Society of Washington. 55. 1. 107-108"
1991,Forsythe,"Octopus bimaculoides (pickford & mcconnaughey, 1949): a marine invertebrate host for ectoparasitic protozoans","Forsythe, J. W.; Hanlon, R. T.; Bullis, R. A.; Noga, E. J.. 1991. Octopus bimaculoides (pickford & mcconnaughey, 1949): a marine invertebrate host for ectoparasitic protozoans. Journal of Fish Diseases. 14. 4. 431-442. 10.1111/j.1365-2761.1991.tb00595.x"
1950,Rees,"On cladonema myersi, a new species of hydroid from the californian coast","Rees, W. J.. 1950. On cladonema myersi, a new species of hydroid from the californian coast. Proceedings of the Zoological Society of London. 119. 4. 861-865. 10.1111/j.1096-3642.1950.tb00912.x"
1993,Kleppel,On the diets of calanoid copepods,"Kleppel, G. S.. 1993. On the diets of calanoid copepods. Marine Ecology Progress Series. 99. 2-Jan. 183-195"
1969,Harada,On the interspecific association of a snapping shrimp and gobioid fishes,"Harada, Eiji. 1969. On the interspecific association of a snapping shrimp and gobioid fishes. Publications of the Seto Marine Biological Laboratory. 16. 5. 315-334. 10.5134/175555"
2008,Griffiths,"Ontogenetic shift in susceptibility to predators in juvenile northern abalone, haliotis kamtschatkana","Griffiths, Allison M.; Gosselin, Louis A.. 2008. Ontogenetic shift in susceptibility to predators in juvenile northern abalone, haliotis kamtschatkana. Journal of Experimental Marine Biology and Ecology. 360. 2. 85-93. 10.1016/j.jembe.2008.04.004"
1996,Cook,Ontogeny of feeding morphology and kinematics in juvenile fishes: a case study of the cottid fish clinocottus analis,"Cook, Amy. 1996. Ontogeny of feeding morphology and kinematics in juvenile fishes: a case study of the cottid fish clinocottus analis. Journal of Experimental Biology. 199. 9. 1961-1971. 10.1242/jeb.199.9.1961"
1960,Roushdy,Ophiuroids feeding on phytoplankton,"Roushdy, H. M.; Hansen, Vagn Kr. 1960. Ophiuroids feeding on phytoplankton. Nature. 188. 4749. 517-518. 10.1038/188517b0"
1935,Wilson,Parasitic copepods from the pacific coast,"Wilson, Charles Branch. 1935. Parasitic copepods from the pacific coast. The American Midland Naturalist. 16. 5. 776-797. 10.2307/2420107"
1990,Dierks,"Parental care and diet of california gull (larus californicus) chicks at alviso, california","Dierks, Ann Jennifer. 1990. Parental care and diet of california gull (larus californicus) chicks at alviso, california. San Jose State University"
1967,Day,Part 1: errantia,"Day, J. H.; History), British Museum (Natural. 1967. Part 1: errantia. A monograph on the Polychaeta of southern Africa. BM(NH). Vol 1"
2014,Best,Phenotypic and phylogenetic evidence for the role of food and habitat in the assembly of communities of marine amphipods,"Best, Rebecca J.; Stachowicz, John J.. 2014. Phenotypic and phylogenetic evidence for the role of food and habitat in the assembly of communities of marine amphipods. Ecology. 95. 3. 775-786. 10.1890/13-0163.1"
2007,Zimmer,Phoronida,"Zimmer, Russel. 2007. Phoronida. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 860-863"
1972,Arenas,Phoronis ovalis wright in chile,"Arenas, José N.. 1972. Phoronis ovalis wright in chile. Studies on Neotropical Fauna. 7. 1. 113-115. 10.1080/01650527209360437"
1993,Boeger,"Phylogeny and a revised classification of the monogenoidea bychowsky, 1937 (platyhelminthes)","Boeger, Walter A.; Kritsky, Delane C.. 1993. Phylogeny and a revised classification of the monogenoidea bychowsky, 1937 (platyhelminthes). Systematic Parasitology. 26. 1. Jan-32. 10.1007/BF00009644"
1992,Conlan,"Phylogeny and ecology of a kelp-boring amphipod, peramphithoe stypotrupetes, new species (corophioidea: ampithoidae)","Conlan, K. E.; Chess, J. R.. 1992. Phylogeny and ecology of a kelp-boring amphipod, peramphithoe stypotrupetes, new species (corophioidea: ampithoidae). Journal of Crustacean Biology. 12. 3. 410-422. 10.2307/1549035"
1997,Zhinan,"Phytal meiofauna of a rocky shore at the cape d'aguilar marine reserve, hong kong","Zhinan, Z. 1997. Phytal meiofauna of a rocky shore at the cape d'aguilar marine reserve, hong kong. The Marine Flora and Fauna of Hong Kong and Southern China IV. Hong Kong University Press. 205"
2007,Holleman,Platyhelminthes,"Holleman, John J.; Hooge, Mathew D.; Kuris, Armand M.. 2007. Platyhelminthes. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 206-220"
1992,Kenner,"Population dynamics of the sea urchin strongylocentrotus purpuratus in a central california kelp forest: recruitment, mortality, growth, and diet","Kenner, M. C.. 1992. Population dynamics of the sea urchin strongylocentrotus purpuratus in a central california kelp forest: recruitment, mortality, growth, and diet. Marine Biology. 112. 1. 107-118. 10.1007/BF00349734"
1993,McAlary,"Population structure and reproduction of the fissiparous seastar, linckia columbiae gray, on santa catalina island, california","McAlary, Florence A.. 1993. Population structure and reproduction of the fissiparous seastar, linckia columbiae gray, on santa catalina island, california. Third California Islands Symposium. 233-248"
1990,Stepien,"Population structure, diets and biogeographic relationships of a rocky intertidal fish assemblage in central chile: high levels of herbivory in a temperate system","Stepien, Carol A.. 1990. Population structure, diets and biogeographic relationships of a rocky intertidal fish assemblage in central chile: high levels of herbivory in a temperate system. Bulletin of Marine Science. 47. 3. 598-612"
1953,Young,"Postmonorchis donacis, a new species of monorchid trematode from the pacific coast, and its life history","Young, R. T.. 1953. Postmonorchis donacis, a new species of monorchid trematode from the pacific coast, and its life history. Journal of the Washington Academy of Sciences. 43. 3. 88-93"
1990,Purcell,Predation and food limitation as causes of mortality in larval herring at a spawning ground in british columbia,"Purcell, Jennifer E.; Grover, Jill J.. 1990. Predation and food limitation as causes of mortality in larval herring at a spawning ground in british columbia. Marine Ecology Progress Series. 59. 2-Jan. 55-61"
1981,Day,Predation by patiria miniata (asteroidea) on bryozoans: prey diversity may depend on the mechanism of succession,"Day, R. W.; Osman, R. W.. 1981. Predation by patiria miniata (asteroidea) on bryozoans: prey diversity may depend on the mechanism of succession. Oecologia. 51. 3. 300-309. 10.1007/BF00540898"
1971,Robilliard,Predation by the nudibranch dirona albolineata on three species of prosobranchs',"Robilliard, Gordon A. 1971. Predation by the nudibranch dirona albolineata on three species of prosobranchs'. Pacific Science. 25. 429-435"
2022,Boukouzis,Predation of crabs on different species of jellyfish,"Boukouzis, Katerina. 2022. Predation of crabs on different species of jellyfish. University of Washington"
1986,Posey,Predation on a burrowing shrimp: distribution and community consequences,"Posey, Martin H.. 1986. Predation on a burrowing shrimp: distribution and community consequences. Journal of Experimental Marine Biology and Ecology. 103. 1. 143-161. 10.1016/0022-0981(86)90138-3"
1962,Winkler,"Predation on the california sea hare, aplysia californica cooper, by the solitary great green sea anemone, anthopleura xanthogrammica (brandt), and the effect of sea hare toxin and acetylcholine on anemone muscle","Winkler, Lindsay R.; Tilton, Bernard E.. 1962. Predation on the california sea hare, aplysia californica cooper, by the solitary great green sea anemone, anthopleura xanthogrammica (brandt), and the effect of sea hare toxin and acetylcholine on anemone muscle"
1984,Harvell,Predator-induced defense in a marine bryozoan,"Harvell, Catherine. 1984. Predator-induced defense in a marine bryozoan. Science (New York, N.Y.). 224. 1357-9. 10.1126/science.224.4655.1357"
1982,Yoshioka,Predator-induced polymorphism in the bryozoan membranipora membranacea (l.),"Yoshioka, Paul M.. 1982. Predator-induced polymorphism in the bryozoan membranipora membranacea (l.). Journal of Experimental Marine Biology and Ecology. 61. 3. 233-242. 10.1016/0022-0981(82)90071-5"
1983,Mace,Predator-prey functional responses and predation by staghorn sculpins (leptocottus armatus) on chum salmon fry (oncorhynchus keta),"Mace, Pamela M.. 1983. Predator-prey functional responses and predation by staghorn sculpins (leptocottus armatus) on chum salmon fry (oncorhynchus keta). University of British Columbia"
2018,Terbiyik,Preliminary results on the feeding and gut content of flaccisagitta enflata in coastal areas of iÃáskenderun bay (northeastern mediterranean sea),"Terbiyik Kurt, Tuba. 2018. Preliminary results on the feeding and gut content of flaccisagitta enflata in coastal areas of iÃáskenderun bay (northeastern mediterranean sea). Kahramanmara≈ü Süt√ßü ƒ∞mam √úniversitesi Tarƒ±m ve Doƒüa Dergisi. 21. 5. 765-771. 10.18016/ksudobil.406362"
2011,Cone,"Prevalence and intensity of gyrodactylus maculosi sp. n. (Monogenea) parasitizing gills of sculpin (oligocottus maculosus) in coastal british columbia, canada","Cone, D K; Roth, M. 2011. Prevalence and intensity of gyrodactylus maculosi sp. n. (Monogenea) parasitizing gills of sculpin (oligocottus maculosus) in coastal british columbia, canada"
1990,Adamson,"Prevalence and intensity of pseudodelphis oligocotti n. gen., n. sp. (Dracunculoidea; guyanemidae) in the tidepool sculpin, oligocottus maculosus (scorpaeniformes; cottidae)","Adamson, M. L.; Roth, Myron. 1990. Prevalence and intensity of pseudodelphis oligocotti n. gen., n. sp. (Dracunculoidea; guyanemidae) in the tidepool sculpin, oligocottus maculosus (scorpaeniformes; cottidae). The Journal of Parasitology. 76. 4. 509-514. 10.2307/3282830"
1978,Van,Prey capture by pisaster brevispinus (asteroidea: echinodermata) on soft substrate,"Van Veldhuizen, H. D.; Phillips, D. W.. 1978. Prey capture by pisaster brevispinus (asteroidea: echinodermata) on soft substrate. Marine Biology. 48. 1. 89-97. 10.1007/BF00390534"
1987,Lindberg,"Prey preference and seasonal predation by oystercatchers on limpets at san nicolas island, california, usa","Lindberg, David R.; Warheit, Kenneth I.; Estes, James A.. 1987. Prey preference and seasonal predation by oystercatchers on limpets at san nicolas island, california, usa. Marine Ecology Progress Series. 39. 2. 105-113"
2002,Costello,"Prey resource use by coexistent hydromedusae from friday harbor, washington","Costello, J. H.; Colin, S. P.. 2002. Prey resource use by coexistent hydromedusae from friday harbor, washington. Limnology and Oceanography. 47. 4. 934-942. 10.4319/lo.2002.47.4.0934"
1974,Menge,"Prey selection and foraging period of the predaceous rocky intertidal snail, acanthina punctulata","Menge, Jane Lubchenco. 1974. Prey selection and foraging period of the predaceous rocky intertidal snail, acanthina punctulata. Oecologia. 17. 4. 293-316. 10.1007/BF00345748"
2011,Onthank,Prey selection in octopus rubescens: possible roles of energy budgeting and prey nutritional composition,"Onthank, Kirt L.; Cowles, David L.. 2011. Prey selection in octopus rubescens: possible roles of energy budgeting and prey nutritional composition. Marine Biology. 158. 12. 2795-2804. 10.1007/s00227-011-1778-4"
2018,López-Peraza,"Protocol for removal of the marine leech stibarobdella moorei (oka, 1910) from the two-spotted octopus, octopus bimaculatus (verril, 1883)","López-Peraza, Diana J.; Hernández-Rodríguez, Mónica; Barón-Sevilla, Benjamín. 2018. Protocol for removal of the marine leech stibarobdella moorei (oka, 1910) from the two-spotted octopus, octopus bimaculatus (verril, 1883). American Malacological Bulletin. 36. 1. 119-124. 10.4003/006.036.0105"
2003,Montero,"Pseudoallencotyla gen. n., a new genus for allencotyla pricei (kritsky, noble et moser, 1978) (monogenea: heteraxinidae), with a key to genera of heteraxininae","Montero, Francisco E.; Javier Aznar, F.; Fernández, Mercedes; Raga, Juan A.. 2003. Pseudoallencotyla gen. n., a new genus for allencotyla pricei (kritsky, noble et moser, 1978) (monogenea: heteraxinidae), with a key to genera of heteraxininae. Folia Parasitologica. 50. 1. 43-47. 10.14411/fp.2003.007"
1981,Goddard,"Range extension and notes on the food, morphology, and color pattern of the dorid nudibranch hallaxa chani","Goddard, Jeffrey H. R.. 1981. Range extension and notes on the food, morphology, and color pattern of the dorid nudibranch hallaxa chani. The Veliger. 24. 2. 155-158"
2019,Kay,"Reciprocal abundance shifts of the intertidal sea stars, evasterias troschelii and pisaster ochraceus, following sea star wasting disease","Kay, Sharon W. C.; Gehman, Alyssa-Lois M.; Harley, Christopher D. G.. 2019. Reciprocal abundance shifts of the intertidal sea stars, evasterias troschelii and pisaster ochraceus, following sea star wasting disease. Proceedings of the Royal Society B: Biological Sciences. 286. 1901. 20182766. 10.1098/rspb.2018.2766"
2014,Hopper,Reduced parasite diversity and abundance in a marine whelk in its expanded geographical range,"Hopper, Julie V.; Kuris, Armand M.; Lorda, Julio; Simmonds, Sara E.; White, Crow; Hechinger, Ryan F.. 2014. Reduced parasite diversity and abundance in a marine whelk in its expanded geographical range. Journal of Biogeography. 41. 9. 1674-1684. 10.1111/jbi.12329"
1992,Witman,Regional variation in fish predation intensity: a historical perspective in the gulf of maine,"Witman, Jon D.; Sebens, Kenneth P.. 1992. Regional variation in fish predation intensity: a historical perspective in the gulf of maine. Oecologia. 90. 3. 305-315. 10.1007/BF00317686"
1986,Stepien,"Regulation of color morphic patterns in the giant kelpfish, heterostichus rostratus girard: genetic versus environmental factors","Stepien, Carol A.. 1986. Regulation of color morphic patterns in the giant kelpfish, heterostichus rostratus girard: genetic versus environmental factors. Journal of Experimental Marine Biology and Ecology. 100. 1. 181-208. 10.1016/0022-0981(86)90162-0"
2007,Ellis,Regulation of intertidal food webs by avian predators on new england rocky shores,"Ellis, Julie C.; Shulman, Myra J.; Wood, Megan; Witman, Jon D.; Lozyniak, Sara. 2007. Regulation of intertidal food webs by avian predators on new england rocky shores. Ecology. 88. 4. 853-863. 10.1890/06-0593"
1979,Tricas,"Relationships of the blue shark, prionace glauca, and its prey species near santa catalina island, california","Tricas, Timothy C. 1979. Relationships of the blue shark, prionace glauca, and its prey species near santa catalina island, california. Fishery Bulletin. 77. 1. 175-182"
2007,Lowry,Relative importance of growth and behaviour to elasmobranch suction-feeding performance over early ontogeny,"Lowry, Dayv; Motta, Philip J. 2007. Relative importance of growth and behaviour to elasmobranch suction-feeding performance over early ontogeny. Journal of The Royal Society Interface. 5. 23. 641-652. 10.1098/rsif.2007.1189"
