publication_year,firstauthor,title,reference,reference_number,author,year,link_or_doi
2003,Montero,"Pseudoallencotyla gen. n., a new genus for allencotyla pricei (kritsky, noble et moser, 1978) (monogenea: heteraxinidae), with a key to genera of heteraxininae","Montero, Francisco E.; Javier Aznar, F.; Fernández, Mercedes; Raga, Juan A.. 2003. Pseudoallencotyla gen. n., a new genus for allencotyla pricei (kritsky, noble et moser, 1978) (monogenea: heteraxinidae), with a key to genera of heteraxininae. Folia Parasitologica. 50. 1. 43-47. 10.14411/fp.2003.007",272,"Francisco E. Montero, F. Javier Aznar, Mercedes Fern√°ndez and Juan A. Raga",2003,NA
1981,Goddard,"Range extension and notes on the food, morphology, and color pattern of the dorid nudibranch hallaxa chani","Goddard, Jeffrey H. R.. 1981. Range extension and notes on the food, morphology, and color pattern of the dorid nudibranch hallaxa chani. The Veliger. 24. 2. 155-158",165,Jeff Goddard,1981,NA
2019,Kay,"Reciprocal abundance shifts of the intertidal sea stars, evasterias troschelii and pisaster ochraceus, following sea star wasting disease","Kay, Sharon W. C.; Gehman, Alyssa-Lois M.; Harley, Christopher D. G.. 2019. Reciprocal abundance shifts of the intertidal sea stars, evasterias troschelii and pisaster ochraceus, following sea star wasting disease. Proceedings of the Royal Society B: Biological Sciences. 286. 1901. 20182766. 10.1098/rspb.2018.2766",35,"Sharon W. C. Kay , Alyssa-Lois M. Gehman  and Christopher D. G. Harley",2019,NA
2014,Hopper,Reduced parasite diversity and abundance in a marine whelk in its expanded geographical range,"Hopper, Julie V.; Kuris, Armand M.; Lorda, Julio; Simmonds, Sara E.; White, Crow; Hechinger, Ryan F.. 2014. Reduced parasite diversity and abundance in a marine whelk in its expanded geographical range. Journal of Biogeography. 41. 9. 1674-1684. 10.1111/jbi.12329",196,"Julie V. Hopper, Armand M. Kuris, Julio Lorda, Sara E. Simmonds, Crow White, Ryan F. Hechinger",2014,NA
1992,Witman,Regional variation in fish predation intensity: a historical perspective in the gulf of maine,"Witman, Jon D.; Sebens, Kenneth P.. 1992. Regional variation in fish predation intensity: a historical perspective in the gulf of maine. Oecologia. 90. 3. 305-315. 10.1007/BF00317686",56,Jon D. Witman and Kenneth P. Sebens,1992,NA
1986,Stepien,"Regulation of color morphic patterns in the giant kelpfish, heterostichus rostratus girard: genetic versus environmental factors","Stepien, Carol A.. 1986. Regulation of color morphic patterns in the giant kelpfish, heterostichus rostratus girard: genetic versus environmental factors. Journal of Experimental Marine Biology and Ecology. 100. 1. 181-208. 10.1016/0022-0981(86)90162-0",91,CAROL A. STEPIENl,1986,NA
2007,Ellis,Regulation of intertidal food webs by avian predators on new england rocky shores,"Ellis, Julie C.; Shulman, Myra J.; Wood, Megan; Witman, Jon D.; Lozyniak, Sara. 2007. Regulation of intertidal food webs by avian predators on new england rocky shores. Ecology. 88. 4. 853-863. 10.1890/06-0593",406,NA,NA,NA
1979,Tricas,"Relationships of the blue shark, prionace glauca, and its prey species near santa catalina island, california","Tricas, Timothy C. 1979. Relationships of the blue shark, prionace glauca, and its prey species near santa catalina island, california. Fishery Bulletin. 77. 1. 175-182",150,TIMOTHY C. TRICAS,1979,NA
2007,Lowry,Relative importance of growth and behaviour to elasmobranch suction-feeding performance over early ontogeny,"Lowry, Dayv; Motta, Philip J. 2007. Relative importance of growth and behaviour to elasmobranch suction-feeding performance over early ontogeny. Journal of The Royal Society Interface. 5. 23. 641-652. 10.1098/rsif.2007.1189",123,Dayv Lowry Philip J Motta,2007,NA
2010,Moore,Relative influence of habitat complexity and proximity to patch edges on seagrass epifaunal communities,"Moore, Eliza C.; Hovel, Kevin A.. 2010. Relative influence of habitat complexity and proximity to patch edges on seagrass epifaunal communities. Oikos. 119. 8. 1299-1311. 10.1111/j.1600-0706.2009.17909.x",93,Eliza C. Moore and Kevin A. Hovel,2010,NA
2008,Giesecke,Reproduction and feeding of sagitta enflata in the humboldt current system off chile,"Giesecke, Ricardo; González, Humberto E.. 2008. Reproduction and feeding of sagitta enflata in the humboldt current system off chile. ICES Journal of Marine Science. 65. 3. 361-370. 10.1093/icesjms/fsn030",227,Giesecke and Gonzales,2008,12/20/2023 12:14PM
2005,Ebert,"Reproduction, diet and habitat use of leopard sharks, triakis semifasciata (girard), in humboldt bay, california, usa","Ebert, David A.; Ebert, Thomas B.. 2005. Reproduction, diet and habitat use of leopard sharks, triakis semifasciata (girard), in humboldt bay, california, usa. Marine and Freshwater Research. 56. 8. 1089-1098. 10.1071/MF05069",122,"David A. EbertA,C and Thomas B. EbertB",2005,NA
1967,Hadfield,"Reproductive biology of the california vermetid gastropods serpulorbis squamigerus (carpenter, 1857) and petaloconchus montereyensis dall, 1919.","Hadfield, Michael Gale. 1967. Reproductive biology of the california vermetid gastropods serpulorbis squamigerus (carpenter, 1857) and petaloconchus montereyensis dall, 1919.. Stanford University",NA,NA,NA,NA
NA,NA,"Reproductive biology of the commercial sea cucumber parastichopus californicus (stimpson) (echinodermata:holothuroidea). Ii. Observations on the ecology of development, recruitment, and the juvenile life stage","Cameron, J. L., & Fankboner, P. V. (1989). Reproductive biology of the commercial sea cucumber Parastichopus californicus (Stimpson) (Echinodermata:Holothuroidea). II. Observations on the ecology of development, recruitment, and the juvenile life stage. Journal of Experimental Marine Biology and Ecology, 127(1), 43–67. https://doi.org/10.1016/0022-0981(89)90208-6",39,J.LaneCameronFankbonerPeter V.,1989,NA
1985,Solé-Cava,Reproductive isolation with little genetic divergence between urticina (=tealia) felina and u. eques (anthozoa: actiniaria),"Solé-Cava, A. M.; Thorpe, J. P.; Kaye, J. G.. 1985. Reproductive isolation with little genetic divergence between urticina (=tealia) felina and u. eques (anthozoa: actiniaria). Marine Biology. 85. 3. 279-284. 10.1007/BF00393248",45,"A. M. Sol√©-Cava, J. P. Thorpe and J. G. Kaye",1985,NA
2009,Solorzano,"Response of newly hatched octopus bimaculoides fed enriched artemia salina: growth performance, ontogeny of the digestive enzyme and tissue amino acid content","Solorzano, Yesika; Viana, María Teresa; López, Lus M.; Correa, Juan Gabriel; True, Conal C.; Rosas, Carlos. 2009. Response of newly hatched octopus bimaculoides fed enriched artemia salina: growth performance, ontogeny of the digestive enzyme and tissue amino acid content. Aquaculture. 289. 1. 84-90. 10.1016/j.aquaculture.2008.12.036",156,YesikaSolorzanoaMar√≠a TeresaVianabLus M.L√≥pezcJuan GabrielCorreabConal C.TruecCarlosRosasd,2009,NA
NA,NA,"Review and guide to the isopods (crustacea, isopoda) of littoral and sublittoral marine habitats in the southern california bight","Stebbins, T. D., & Wetzer, R. (2023). Review and guide to the isopods (Crustacea, Isopoda) of littoral and sublittoral marine habitats in the Southern California Bight. ZooKeys, 1162, 1–167. https://doi.org/10.3897/zookeys.1162.100390",317,Stebbins and Wetzer,2023,NA
NA,NA,Review of the gammaridean amphipoda of the northeast pacific,"Cadien, D. B. (2015). Review of the gammaridean amphipoda of the northeast pacific. In: Amphipoda of the Northeast Pacific (Equator to Aleutians, Intertidal to the Abyss). Los Angeles City Sanitation District.",304,Donald B. Cadien,2015,NA
1968,Abbott,Ritterella rubra and distaplia smithi: two new colonial ascidians from the west coast of north america.,"Abbott, Donald P; Trason, Winona B. 1968. Ritterella rubra and distaplia smithi: two new colonial ascidians from the west coast of north america.. Bulletin - Southern California Academy of Sciences. 67. 3. 143-154",NA,NA,NA,NA
1998,Herberholz,Role of mechanosensory stimuli in intraspecific agonistic encounters of the snapping shrimp (alpheus heterochaelis),"Herberholz, J.; Schmitz, B.. 1998. Role of mechanosensory stimuli in intraspecific agonistic encounters of the snapping shrimp (alpheus heterochaelis). The Biological Bulletin. 195. 2. 156-167. 10.2307/1542823",429,Herberholz,1998,NA
1982,Yoshioka,Role of planktonic and benthic factors in the population dynamics of the bryozoan membranipora membranacea,"Yoshioka, Paul M.. 1982. Role of planktonic and benthic factors in the population dynamics of the bryozoan membranipora membranacea. Ecology. 63. 2. 457-468. 10.2307/1938963",213,Paul Yoshioka,1982,12/20/2023 12:14PM
1974,Menge,"Role of resource allocation, aggression and spatial heterogeneity in coexistence of two competing intertidal starfish","Menge, Jane Lubchenco; Menge, Bruce A.. 1974. Role of resource allocation, aggression and spatial heterogeneity in coexistence of two competing intertidal starfish. Ecological Monographs. 44. 2. 189-209",456,Menge,1974,NA
2007,Fradkin,Rotifera,"Fradkin, Steven C.. 2007. Rotifera. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 280-282",NA,NA,NA,NA
2006,Wallace,"Rotifera, vol. 1: biology, ecology and systematics","Wallace, Robert L.; Snell, Terry W.; Ricci, Claudia; Nogrady, Thomas. 2006. Rotifera, vol. 1: biology, ecology and systematics. Backhuys",347,Wallace et al,2006,NA
NA,NA,Sbc lter: reef: feeding relationships for kelp forest species. Santa barbara coastal lter; long term ecological research network,NA,229,"Byrnes, Jarrett Edward; Reed, Daniel C; Cardinale, Bradley Joseph; Cavanaugh, Kyle C; Holbrook, Sally J; Schmitt, Russell J",2012,12/20/2023 01:06PM
NA,NA,"Sea cucumbers of british columbia, southeast alaska, and puget sound","Lambert, P. (1997). Sea Cucumbers of British Columbia, Southeast Alaska and Puget Sound. UBC Press.",313,Lambert,1997,NA
NA,NA,Sea slug forum: chromodoris macfarlandi on aplysilla polyraphis,"Rudman, W. B. (2010). The Sea Slug Forum—Chromodoris macfarlandi on Aplysilla polyraphis. http://www.seaslugforum.net/find/2561. Accessed 6/11/2024",339,Jeff Goddard,2000,http://www.seaslugforum.net/find/2561
NA,NA,Sea slug forum: sponge prey of chromodoris macfarlandi,"Rudman, W. B. (2010). The Sea Slug Forum—Chromodoris macfarlandi on Aplysilla polyraphis. http://www.seaslugforum.net/find/2561. Accessed 6/11/2024",340,Jeff Goddard,2000,http://www.seaslugforum.net/find/2499
2000,Eckert,Sea star disease and population declines at the channel islands,"Eckert, G. L., John M. Engle, & David J. Kushner. (2000). Sea star disease and population declines at the Channel Islands. 390–393.",19,"Ginny L. Eckert1, John M. Engle2, David J. Kushner",2000,NA
NA,NA,Sea urchins mediate the availability of kelp detritus to benthic consumers,"Yorke, C. E., Page, H. M., & Miller, R. J. (2019). Sea urchins mediate the availability of kelp detritus to benthic consumers. Proceedings of the Royal Society B: Biological Sciences, 286(1906), 20190846. https://doi.org/10.1098/rspb.2019.0846",314,Yorke,2019,http://dx.doi.org/10.1098/rspb.2019.0846
1990,Ainley,"Seabirds of the farallon islands: ecology, dynamics, and structure of an upwelling-system community","Ainley, David G.. 1990. Seabirds of the farallon islands: ecology, dynamics, and structure of an upwelling-system community. Stanford University Press",416,Ainley,1990,NA
NA,NA,Seashore life of the northern pacific coast,"Kozloff, E. N. (1983). Seashore Life of the Northern Pacific Coast: An Illustrated Guide to Northern California, Oregon, Washington, and British Columbia. University of Washington Press.",343,Kozloff,1983,NA
2021,Corrales-Ugalde,Seasonal hydromedusan feeding patterns in an eastern boundary current show consistent predation on primary consumers,"Corrales-Ugalde, Marco; Sponaugle, Su; Cowen, Robert K; Sutherland, Kelly R. 2021. Seasonal hydromedusan feeding patterns in an eastern boundary current show consistent predation on primary consumers. Journal of Plankton Research. 43. 5. 712-724. 10.1093/plankt/fbab059",250,Corrales-Ugalde et al,2021,NA
NA,NA,"Selenidium fauchaldi sp. n. and s. telepsavi (stuart) comb. nov. (Protozoa, apicomplexa), gregarines from polychaetes","Levine, N. D. (1974). Selenidium fauchaldi sp. N. And S. telepsavi (Stuart) comb. Nov. (Protozoa, Apicomplexa), Gregarines from Polychaetes. The Journal of Protozoology, 21(1), 8–9. https://doi.org/10.1111/j.1550-7408.1974.tb03606.x",198,Norman Levine,1974,NA
1982,Ambrose,Shelter utilization by the molluscan cephalopod octopus bimaculatus,"Ambrose, Richard F.. 1982. Shelter utilization by the molluscan cephalopod octopus bimaculatus. Marine Ecology Progress Series. 7. 1. 67-73",159,Richard F. Ambrose,1982,NA
2023,Chow,Shift in symbiotic lifestyle as the major process shaping the evolution of pea crabs (decapoda: brachyura: pinnotheroidea),"Chow, Lai Him; Ahyong, Shane T.; Tsang, Chandler T. T.; Lam, Yu Fung; Naruse, Tohru; Ng, Peter K. L.; Tsang, Ling Ming. 2023. Shift in symbiotic lifestyle as the major process shaping the evolution of pea crabs (decapoda: brachyura: pinnotheroidea). Molecular Phylogenetics and Evolution. 188. 107904. 10.1016/j.ympev.2023.107904",299,Chow et al,2023,NA
1981,Shimek,"Shimek, r. L. 1981. Neptunea pribiloffensis (dall, 1919) and tealia crassicornis (müller, 1776), on a snail's use of babysitters.","Shimek, Ronald. 1981. Shimek, r. L. 1981. Neptunea pribiloffensis (dall, 1919) and tealia crassicornis (müller, 1776), on a snail's use of babysitters.. The Veliger. 24. 62-66",NA,NA,NA,NA
NA,NA,"Shorebirds and herring roe in prince william sound, alaska","Norton, D. W., Senner, S. E., Jr, R. E. G., Martin, P. D., Wright, J. M., & Fukuyama, A. K. (1990). Shorebirds and herring roe in Prince William Sound, Alaska. American Birds, 44(3), 367–508.",398,Norton,1990,NA
1964,Hart,Shrimps of the genus betaeus on the pacific coast of north america with descriptions of three new species.,"Hart, Josephine F. L.. 1964. Shrimps of the genus betaeus on the pacific coast of north america with descriptions of three new species.. Proceedings of the United States National Museum. 38",107,Josephine Hart,1964,NA
NA,NA,"Shrimps: their diversity, intriguing adaptations and varied lifestyles","Bauer, R. T. (2023). Symbioses. In R. T. Bauer (Ed.), Shrimps: Their Diversity, Intriguing Adaptations and Varied Lifestyles (pp. 515–581). Springer International Publishing. https://doi.org/10.1007/978-3-031-20966-6_10",433,Bauer,2023,NA
1982,Peterson,Siphon nipping: its importance to small fishes and its impact on growth of the bivalve protothaca staminea (conrad),"Peterson, Charles H.; Quammen, Millicent L.. 1982. Siphon nipping: its importance to small fishes and its impact on growth of the bivalve protothaca staminea (conrad). Journal of Experimental Marine Biology and Ecology. 63. 3. 249-268. 10.1016/0022-0981(82)90182-4",146,Charles H.PetersonMillicent L.Quammen,1982,NA
2007,Rice,Sipuncula and echiura,"Rice, Mary E.. 2007. Sipuncula and echiura. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 288-292",NA,NA,NA,NA
1962,Ching,"Six larval trematodes from the snail, littorina scutulata gould of san juan island, u.s.a.., and vancouver, b.c.","Ching, Hilda Lei. 1962. Six larval trematodes from the snail, littorina scutulata gould of san juan island, u.s.a.., and vancouver, b.c.. Canadian Journal of Zoology. 40. 4. 675-676. 10.1139/z62-062",109,Hilda Lei Ching,1964,NA
2021,Goto,Snails riding mantis shrimps: ectoparasites evolved from ancestors living as commensals on the host‚Äôs burrow wall,"Goto, Ryutaro; Takano, Tsuyoshi; Eernisse, Douglas J.; Kato, Makoto; Kano, Yasunori. 2021. Snails riding mantis shrimps: ectoparasites evolved from ancestors living as commensals on the host‚Äôs burrow wall. Molecular Phylogenetics and Evolution. 163. 107122. 10.1016/j.ympev.2021.107122",277,Goto el al,2021,NA
NA,NA,"Snowy egret (egretta thula), version 1.0.","Parsons, K. C. and T. L. Master (2020). Snowy Egret (Egretta thula), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy.library.ucsb.edu/10.2173/bow.snoegr.01",415,Parsons,2020,"Parsons, K. C. and T. L. Master (2020). Snowy Egret (Egretta thula), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy.library.ucsb.edu/10.2173/bow.snoegr.01"
1989,Bingham,Solitary ascidians as predators of invertebrate larvae: evidence from gut analyses and plankton samples,"Bingham, B.L.; Walters, L.J.. 1989. Solitary ascidians as predators of invertebrate larvae: evidence from gut analyses and plankton samples. Journal of Experimental Marine Biology and Ecology. 131. 2. 147-159. 10.1016/0022-0981(89)90004-X",103,NA,NA,NA
1965,McCormick,Some aspects of marine hydroid ecology off oregon,"McCormick, Jon Michael. 1965. Some aspects of marine hydroid ecology off oregon. Oregon State University",NA,NA,NA,NA
1976,Gerard,"Some aspects of material dynamics and energy flow in a kelp forest in monterey bay, california","Gerard, Valrie A.. 1976. Some aspects of material dynamics and energy flow in a kelp forest in monterey bay, california",237,Gerard,1976,NA
1966,Recher,Some aspects of the ecology of migrant shorebirds,"Recher, Harry F.. 1966. Some aspects of the ecology of migrant shorebirds. Ecology. 47. 3. 393-407. 10.2307/1932979",403,Recher,1966,NA
1960,Ching,"Some digenetic trematodes of shore birds at friday harbor, washington","Ching, Hilda Lei. 1960. Some digenetic trematodes of shore birds at friday harbor, washington. Proceedings of the Helminthological Society of Washington. 27. 1. 53-62",388,Ching,1960,NA
1964,Dudley,Some gastrodelphyid copepods from the pacific coast of north america,"Dudley, Patricia L. (Patricia Louise). 1964. Some gastrodelphyid copepods from the pacific coast of north america. American Museum Novitates. 2194",312,Dudley,1964,NA
NA,NA,Some observations on biology and feeding behavior in two southern california pycnogonids,"Bain, B. (1991). Some observations on biology and feeding behavior in two southern California pycnogonids. Bijdragen Tot de Dierkunde, 61(1), 63–64. https://doi.org/10.1163/26660644-06101006",282,Bain,1991,NA
1968,Miller,Some observations on the ecology and behavior of lucapinella callomarginata,"Miller, Richard L.. 1968. Some observations on the ecology and behavior of lucapinella callomarginata. The Veliger. 11. 2. 130 - 132",257,"Miller, RIchard",1986,NA
2009,McLellan,"Sources of food delivered to ring-billed, herring and great black-backed gull chicks in marine environments","McLellan, Nicolas R.; Shutler, Dave. 2009. Sources of food delivered to ring-billed, herring and great black-backed gull chicks in marine environments. Waterbirds. 32. 4. 507-513. 10.1675/063.032.0403",405,NA,NA,NA
1987,Alvariño,"Spadella pimukatharos, a new benthic chaetognath from santa catalina island, california","Alvariño, Angeles. 1987. Spadella pimukatharos, a new benthic chaetognath from santa catalina island, california. Proceedings of the Biological Society of Washington. 100. 125-133",NA,NA,NA,NA
2000,Davis,Spatial and seasonal patterns of habitat partitioning in a guild of southern california tidepool fishes,"Davis, J. L. D.. 2000. Spatial and seasonal patterns of habitat partitioning in a guild of southern california tidepool fishes. Marine Ecology Progress Series. 196. 253-268. DOI 10.3354/meps196253",13,Jana L. D. Davis,2000,NA
NA,NA,Spatio-temporal variation of avian foraging in the rocky intertidal food web,"Hori, M., & Noda, T. (2001). Spatio-Temporal Variation of Avian Foraging in the Rocky Intertidal Food Web. Journal of Animal Ecology, 70(1), 122–137.",336,Hori and Noda,2001,NA
1983,Fukuyama,Specialized feeding in mitrid gastropods - evidence from a temperate species - mitra idae melville,"Fukuyama, A.; Nybakken, J.. 1983. Specialized feeding in mitrid gastropods - evidence from a temperate species - mitra idae melville. The Veliger. 26. 96-100",128,Fukuyama and Nybakken,1983,NA
1983,Tegner,Spiny lobsters and sea urchins: analysis of a predator-prey interaction,"Tegner, M. J.; Levin, L. A.. 1983. Spiny lobsters and sea urchins: analysis of a predator-prey interaction. Journal of Experimental Marine Biology and Ecology. 73. 2. 125-150. 10.1016/0022-0981(83)90079-5",65,M.J.TegnerL.A.Levin1,1983,NA
2000,Goddard,Sponge prey of chromodoris macfarlandi,"Goddard, Jeffrey H. R.. 2000. Sponge prey of chromodoris macfarlandi. Opisthobranch Newsletter. 26. 2. 10-Sep",160,Jeff Goddard,2000,NA
2023,Carney,Stable isotope-determined diets of black oystercatchers haematopus bachmani in the northern gulf of alaska,"Carney, Brooke; Tessler, David; Coletti, Heather; Welker, Jeffrey M.; Causey, Douglas. 2023. Stable isotope-determined diets of black oystercatchers haematopus bachmani in the northern gulf of alaska. Marine Ornithology. 51. 123-135",380,Carney,2023,NA
2015,Wall,"Status of exosphaeroma amplicauda (stimpson, 1857), e. aphrodita (boone, 1923) and description of three new species (crustacea, isopoda, sphaeromatidae) from the north-eastern pacific","Wall, Adam R.; Bruce, Niel L.; Wetzer, Regina. 2015. Status of exosphaeroma amplicauda (stimpson, 1857), e. aphrodita (boone, 1923) and description of three new species (crustacea, isopoda, sphaeromatidae) from the north-eastern pacific. ZooKeys. 504. Nov-58. 10.3897/zookeys.504.8049",NA,NA,NA,NA
1989,Larson,"Stauromedusae of the genus manania (= thaumatoscyphus) (cnidaria, scyphozoa) in the northeast pacific, including descriptions of new species manania gwilliami and manania handi","Larson, Ronald J.; Fautin, Daphne G.. 1989. Stauromedusae of the genus manania (= thaumatoscyphus) (cnidaria, scyphozoa) in the northeast pacific, including descriptions of new species manania gwilliami and manania handi. Canadian Journal of Zoology. 67. 6. 1543-1549. 10.1139/z89-219",190,"Ronald J. Larson, Daphne G. Fautin",1988,NA
1951,Reeder,Stomach analysis of a group of shorebirds,"Reeder, William G.. 1951. Stomach analysis of a group of shorebirds. The Condor. 53. 1. 43-45. 10.2307/1364586",413,Reeder,1951,NA
1959,Barnes,Stomach contents and microfeeding of some common cirripedes,"Barnes, H.. 1959. Stomach contents and microfeeding of some common cirripedes. Canadian Journal of Zoology. 37. 3. 231-236. 10.1139/z59-027",104,NA,NA,NA
1982,Carter,"Stomach contents of immature lobsters (homarus americanus) from placentia bay, newfoundland","Carter, J. A.; Steele, D. H.. 1982. Stomach contents of immature lobsters (homarus americanus) from placentia bay, newfoundland. Canadian Journal of Zoology. 60. 3. 337-347. 10.1139/z82-045",55,J. A. Carter and D. H. Steele,1982,NA
1981,Cross,Structure of a rocky intertidal fish assemblage,"Cross, Jeffrey N.. 1981. Structure of a rocky intertidal fish assemblage. University of Washington",258,Jeffrey N. Cross,1981,NA
NA,NA,Studies of the biology of polychoerus carmelensis (turbellaria: acoela),"Armitage, K. B. (1961). Studies of the Biology of Polychoerus carmelensis (Turbellaria: Acoela). Pacific Science, 15(2), 203–210.",273,Kenneth B. Armitage,1961,NA
1980,Lawler,Studies on amyloodinium ocellatum (dinoflagellata) in mississippi sound: natural and experimental hosts,"Lawler, Adrian. 1980. Studies on amyloodinium ocellatum (dinoflagellata) in mississippi sound: natural and experimental hosts. Gulf and Caribbean Research. 6. 4. 403-413. 10.18785/grr.0604.08",11,Adrian R. Lawler,1980,NA
1959,Anderson,"Studies on the cardiac stomach of a starfish, patiria miniata (brandt)","Anderson, John Maxwell. 1959. Studies on the cardiac stomach of a starfish, patiria miniata (brandt). The Biological Bulletin. 117. 2. 185-201. 10.2307/1538899",22,"
JOHN MAXWELL ANDERSON",1959,NA
1971,McBeth,Studies on the food of nudibranchs,"McBeth, James W.. 1971. Studies on the food of nudibranchs. The Veliger. 14. 2. 158-161",163,McBeth,1971,NA
1943,Johnson,Studies on the life history of the marine annelid nereis vexillosa,"Johnson, Martin W.. 1943. Studies on the life history of the marine annelid nereis vexillosa. The Biological Bulletin. 84. 1. 106-114. 10.2307/1538053",337,Johnson,1943,NA
1903,Caullery,Sur la structure nucleaire d'un infusoire parasite des actinies,"Caullery, M.; Mesnil, F.. 1903. Sur la structure nucleaire d'un infusoire parasite des actinies. Comptes rendus hebdomadaires des séances et mémoires de la Société de biologie. 55. 11. 806-809",291,Caullery and Mesnil,1903,NA
NA,NA,"Surf scoter (melanitta perspicillata), version 1.0. In birds of the world","Anderson, E. M., R. D. Dickson, E. K. Lok, E. C. Palm, J.-P. L. Savard, D. Bordage, and A. Reed (2020). Surf Scoter (Melanitta perspicillata), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy.library.ucsb.edu/10.2173/bow.sursco.01",420,Anderson,2020,"Anderson, E. M., R. D. Dickson, E. K. Lok, E. C. Palm, J.-P. L. Savard, D. Bordage, and A. Reed (2020). Surf Scoter (Melanitta perspicillata), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy.library.ucsb.edu/10.2173/bow.sursco.01"
1965,Duerr,"Survey of digenetic trematode parasitism in some prosobranch gastropods of the cape arago region, oregon","Duerr, Frederick G. 1965. Survey of digenetic trematode parasitism in some prosobranch gastropods of the cape arago region, oregon. The Veliger. 8. 42",391,Duerr,1965,NA
1973,Burreson,"Symbiotic ciliates from solitary ascidians in the pacific northwest, with a description of parahypocoma rhamphisokarya n. sp.","Burreson, Eugene M.. 1973. Symbiotic ciliates from solitary ascidians in the pacific northwest, with a description of parahypocoma rhamphisokarya n. sp.. Transactions of the American Microscopical Society. 92. 3. 517-522. 10.2307/3225258",102,Eugene M. Burreson,1973,NA
2000,Curran,"Syncoelium vermilionensis sp. n., (hemiuroidea: syncoeliidae) and new records for members of azygiidae, ptychogonimidae, and syncoeliidae parasitizing elasmobranchs in the gulf of california","Curran, Stephen S.; Overstreet, Robin M.. 2000. Syncoelium vermilionensis sp. n., (hemiuroidea: syncoeliidae) and new records for members of azygiidae, ptychogonimidae, and syncoeliidae parasitizing elasmobranchs in the gulf of california. Metazoan Parasites in the Neotropics: A Systematic and Ecological Perspective. 117-133",179,Curran and Overstreet,2000,NA
NA,NA,Systematic revision of colonial kamptozoans (entoprocts) of the pacific coast,NA,174,Wasson,1997,NA
1997,Wasson,Systematic revision of colonial kamptozoans (entoprocts) of the pacific coast of north america,"Wasson, Kerstin. 1997. Systematic revision of colonial kamptozoans (entoprocts) of the pacific coast of north america. Zoological Journal of the Linnean Society. 121. 1. Jan-63. 10.1111/j.1096-3642.1997.tb00146.x",209,Kerstin Wasson,1997,12/20/2023 12:14PM
2007,Behrens,Temperature and diet effects on omnivorous fish performance: implications for the latitudinal diversity gradient in herbivorous fishes,"Behrens, Michael D; Lafferty, Kevin D. 2007. Temperature and diet effects on omnivorous fish performance: implications for the latitudinal diversity gradient in herbivorous fishes. Canadian Journal of Fisheries and Aquatic Sciences. 64. 6. 867-873. 10.1139/f07-063",141,"Michael D. Behrens, Kevin D. Lafferty",2007,NA
2023,Moretto,"Temperature-dependent feeding behavior in the brown box crab, lopholithodes foraminatus","Moretto, Wave I.; Taylor, Jennifer R. A.. 2023. Temperature-dependent feeding behavior in the brown box crab, lopholithodes foraminatus. Frontiers in Marine Science. 10.3389/fmars.2023.1241950",305,Moretto and Taylor,2023,NA
1976,Fretter,The anatomy and feeding of the volutacean prosobranch volvarina taeniolata mörch,"Fretter, Vera A. 1976. The anatomy and feeding of the volutacean prosobranch volvarina taeniolata mörch. Journal of Molluscan Studies. 42. 3. 327-336. 10.1093/oxfordjournals.mollus.a065341",279,Fretter,1976,NA
1971,Lloyd,The biology of searlesia dira (mollusca: gastropoda) with emphasis on feeding,"Lloyd, Margaret Champlin. 1971. The biology of searlesia dira (mollusca: gastropoda) with emphasis on feeding. University of Michigan",204,Margaret Champlin Lloyd,1971,NA
NA,NA,"The brown algae egregia menziesii and macrocystis pyrifera on which most sea urchins were feeding, comprised the greatest portion of the isopod diet",NA,285,Vader,1972,NA
1924,Copeland,The chemical sense and feeding behavior of nereis virens. Sars,"Copeland, Manton; Wieman, H. L.. 1924. The chemical sense and feeding behavior of nereis virens. Sars. Biological Bulletin. 47. 4. 231-238. 10.2307/1536502",338,Manton Copeland and H. L. Wieman,1924,NA
1996,Blake;,The cnidaria,"Blake; Scott, Paul H.. 1996. The cnidaria. Taxonomic Atlas of the Benthic Fauna of the Santa Maria Basin and Western Santa Barbara Channel",NA,NA,NA,NA
1970,Stephens,"The comparative ecology of three sympatric species of california blennies of the genus hypsoblennius gill (teleostomi, blenniidae)","Stephens Jr., John S.; Johnson, Robert K.; Key, Gerald S.; McCosker, John E.. 1970. The comparative ecology of three sympatric species of california blennies of the genus hypsoblennius gill (teleostomi, blenniidae). Ecological Monographs. 40. 2. 213-233. 10.2307/1942296",12,"JOHN S. STEPHENS, JR., ROBERT K. JOHNSON,2 GERALD S. KEY,3 AND JOHN E. MCCOSKER2",1970,NA
